"","Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_MM_DD_YYYY","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_ALL","Prod_Merc_Positions_Short_ALL","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_ALL","M_Money_Positions_Short_ALL","M_Money_Positions_Spread_ALL","Other_Rept_Positions_Long_ALL","Other_Rept_Positions_Short_ALL","Other_Rept_Positions_Spread_ALL","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap_Positions_Short_Old","Swap_Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap_Positions_Short_Other","Swap_Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Othr","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Othr","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_SubGroup_Code","FutOnly_or_Combined"
"1","CHEESE (CASH-SETTLED) - CHICAGO MERCANTILE EXCHANGE","120117",2012-01-17,"063642","CME","00","063",7218,6350,1829,0,0,0,0,0,0,0,4626,3,6353,6458,865,760,6964,6121,1691,0,0,0,0,0,0,0,4573,3,6124,6267,840,697,254,229,137,0,0,0,0,0,0,0,53,0,229,190,25,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,88,25.3,0,0,0,0,0,0,0,64.1,0,88,89.5,12,10.5,100,87.9,24.3,0,0,0,0,0,0,0,65.7,0,87.9,90,12.1,10,100,90.1,54,0,0,0,0,0,0,0,20.9,0,90.1,74.9,9.9,25.1,20,11,9,0,0,0,0,0,0,0,4,NA,12,13,20,11,9,0,0,0,0,0,0,0,4,NA,12,13,11,7,NA,0,0,0,0,0,0,0,NA,0,7,5,78.3,68,87.3,85.6,77.4,67.8,86.2,85.1,78.1,69.7,87.3,86,77.3,69.4,86.1,85.5,83,73.7,90.1,74.9,83,73.7,89.3,74.1,"(CONTRACTS OF 20,000 POUNDS)","A25","Combined"
"2","CHEESE (CASH-SETTLED) - CHICAGO MERCANTILE EXCHANGE","120124",2012-01-24,"063642","CME","00","063",7775,7022,1999,0,0,0,0,0,0,0,4864,4,7026,6867,749,907,7518,6785,1862,0,0,0,0,0,0,0,4825,4,6789,6691,728,826,257,237,137,0,0,0,0,0,0,0,39,0,237,176,20,81,557,672,171,0,0,0,0,0,0,0,238,1,673,410,-117,147,100,90.3,25.7,0,0,0,0,0,0,0,62.6,0.1,90.4,88.3,9.6,11.7,100,90.3,24.8,0,0,0,0,0,0,0,64.2,0.1,90.3,89,9.7,11,100,92.1,53.4,0,0,0,0,0,0,0,15.2,0,92.1,68.6,7.9,31.4,21,13,9,0,0,0,0,0,0,0,4,NA,14,13,21,13,9,0,0,0,0,0,0,0,4,NA,14,13,12,8,NA,0,0,0,0,0,0,0,NA,0,8,5,77.7,66.3,87.8,84.1,77,66.3,86.6,83.7,77.5,68.1,87.7,84.7,76.8,68,86.4,84.3,83.2,67.4,92.1,68.6,83.2,67.4,91.3,67.8,"(CONTRACTS OF 20,000 POUNDS)","A25","Combined"
"3","CHEESE (CASH-SETTLED) - CHICAGO MERCANTILE EXCHANGE","120131",2012-01-31,"063642","CME","00","063",7988,7255,2098,0,0,0,0,0,0,0,4891,3,7258,6992,730,996,7695,6985,1940,0,0,0,0,0,0,0,4852,3,6988,6795,706,899,294,270,158,0,0,0,0,0,0,0,39,0,270,197,24,97,214,233,99,0,0,0,0,0,0,0,27,-1,232,125,-19,89,100,90.8,26.3,0,0,0,0,0,0,0,61.2,0,90.9,87.5,9.1,12.5,100,90.8,25.2,0,0,0,0,0,0,0,63.1,0,90.8,88.3,9.2,11.7,100,91.9,53.8,0,0,0,0,0,0,0,13.3,0,91.9,67.1,8.1,32.9,22,13,10,0,0,0,0,0,0,0,4,NA,14,14,22,13,10,0,0,0,0,0,0,0,4,NA,14,14,12,8,NA,0,0,0,0,0,0,0,NA,0,8,5,78.3,65.8,88.4,83,77.8,65.8,87.1,82.6,78.1,66.4,88.3,83.6,77.6,66.2,87,83.3,84,66,91.9,67.1,84,66,91.2,66.4,"(CONTRACTS OF 20,000 POUNDS)","A25","Combined"
"4","CHEESE (CASH-SETTLED) - CHICAGO MERCANTILE EXCHANGE","120207",2012-02-07,"063642","CME","00","063",7201,6565,2008,0,0,0,0,0,0,0,4131,10,6575,6149,625,1051,6880,6271,1835,0,0,0,0,0,0,0,4087,10,6281,5932,599,948,321,295,174,0,0,0,0,0,0,0,44,0,295,218,26,103,-787,-690,-90,0,0,0,0,0,0,0,-760,7,-683,-843,-105,55,100,91.2,27.9,0,0,0,0,0,0,0,57.4,0.1,91.3,85.4,8.7,14.6,100,91.1,26.7,0,0,0,0,0,0,0,59.4,0.1,91.3,86.2,8.7,13.8,100,91.8,54.2,0,0,0,0,0,0,0,13.7,0,91.8,67.9,8.2,32.1,22,13,10,0,0,0,0,0,0,0,4,NA,14,14,22,13,10,0,0,0,0,0,0,0,4,NA,14,14,12,8,NA,0,0,0,0,0,0,0,NA,0,8,5,76.8,63.1,88.4,79.5,76.2,63,86.4,78.9,76.4,63.4,88.3,80,75.8,63.3,86.2,79.5,84.6,66.9,91.8,67.9,84.6,66.9,91.2,67.2,"(CONTRACTS OF 20,000 POUNDS)","A25","Combined"
"5","CHEESE (CASH-SETTLED) - CHICAGO MERCANTILE EXCHANGE","120214",2012-02-14,"063642","CME","00","063",8042,7349,2475,0,0,0,0,0,0,0,4324,11,7360,6809,682,1233,7658,6993,2301,0,0,0,0,0,0,0,4269,11,7004,6580,655,1078,384,357,174,0,0,0,0,0,0,0,55,0,357,229,27,155,841,784,466,0,0,0,0,0,0,0,193,1,785,660,56,181,100,91.4,30.8,0,0,0,0,0,0,0,53.8,0.1,91.5,84.7,8.5,15.3,100,91.3,30,0,0,0,0,0,0,0,55.7,0.1,91.4,85.9,8.6,14.1,100,93,45.3,0,0,0,0,0,0,0,14.3,0,93,59.6,7,40.4,24,14,10,0,0,0,0,0,0,0,6,NA,15,16,24,14,10,0,0,0,0,0,0,0,6,NA,15,16,15,10,NA,0,0,0,0,0,0,0,NA,0,10,6,77.9,57.5,87.2,75.9,77.4,57.3,84.5,73.5,77.4,58.4,87,76.8,76.9,58.3,84.2,74.4,88.3,58,92.3,59.6,88.3,58,92.3,59.1,"(CONTRACTS OF 20,000 POUNDS)","A25","Combined"
"6","CHEESE (CASH-SETTLED) - CHICAGO MERCANTILE EXCHANGE","120221",2012-02-21,"063642","CME","00","063",8544,7661,2805,0,0,0,0,0,0,66,4228,52,7779,7085,765,1460,8142,7292,2632,0,0,0,0,0,0,66,4169,48,7406,6848,736,1293,402,369,173,0,0,0,0,0,0,0,59,4,373,236,29,166,502,312,330,0,0,0,0,0,0,66,-96,41,419,275,83,227,100,89.7,32.8,0,0,0,0,0,0,0.8,49.5,0.6,91,82.9,9,17.1,100,89.6,32.3,0,0,0,0,0,0,0.8,51.2,0.6,91,84.1,9,15.9,100,91.7,43.1,0,0,0,0,0,0,0.1,14.7,1,92.8,58.7,7.2,41.3,26,13,11,0,0,0,0,0,0,NA,6,NA,16,17,26,13,11,0,0,0,0,0,0,NA,6,NA,16,17,15,9,NA,0,0,0,0,0,0,NA,NA,NA,10,7,79.1,57,86.9,74.4,78.6,56.9,85,72.2,78.7,58.7,86.7,75.3,78.2,58.6,84.8,73,86.7,56.7,92,58.7,86.7,56.7,91.2,57.2,"(CONTRACTS OF 20,000 POUNDS)","A25","Combined"
"7","CHEESE (CASH-SETTLED) - CHICAGO MERCANTILE EXCHANGE","120228",2012-02-28,"063642","CME","00","063",9286,8224,3103,0,0,0,0,62,1,61,4431,84,8370,7681,916,1605,8783,7766,2912,0,0,0,0,58,1,61,4349,80,7908,7400,875,1383,503,458,191,0,0,0,0,4,0,0,82,4,462,281,40,222,742,563,298,0,0,0,0,62,1,-5,203,32,591,596,151,145,100,88.6,33.4,0,0,0,0,0.7,0,0.7,47.7,0.9,90.1,82.7,9.9,17.3,100,88.4,33.2,0,0,0,0,0.7,0,0.7,49.5,0.9,90,84.3,10,15.7,100,91.1,37.9,0,0,0,0,0.8,0,0.1,16.3,0.8,92,55.9,8,44.1,28,13,11,0,0,0,0,NA,NA,NA,7,NA,18,19,28,13,11,0,0,0,0,NA,NA,NA,7,NA,18,19,16,9,NA,0,0,0,0,NA,0,NA,NA,NA,10,8,78.5,57.7,85.8,73.8,77.9,57.6,84.1,71.6,78,59.5,85.5,74.9,77.5,59.4,83.9,72.8,85.7,53.2,91.4,55.9,85.7,53.2,90.7,54.7,"(CONTRACTS OF 20,000 POUNDS)","A25","Combined"
"8","CHEESE (CASH-SETTLED) - CHICAGO MERCANTILE EXCHANGE","120306",2012-03-06,"063642","CME","00","063",9112,7875,3074,0,0,0,0,156,0,227,4129,85,8186,7443,926,1668,8566,7395,2868,0,0,0,0,152,0,200,4022,79,7674,7120,892,1445,546,480,206,0,0,0,0,4,0,29,109,4,513,323,34,223,-174,-350,-29,0,0,0,0,94,-1,166,-302,1,-184,-238,10,63,100,86.4,33.7,0,0,0,0,1.7,0,2.5,45.3,0.9,89.8,81.7,10.2,18.3,100,86.3,33.5,0,0,0,0,1.8,0,2.3,47,0.9,89.6,83.1,10.4,16.9,100,87.8,37.8,0,0,0,0,0.7,0,5.3,20,0.7,93.8,59.2,6.2,40.8,29,13,10,0,0,0,0,NA,0,NA,7,4,18,19,29,13,10,0,0,0,0,NA,0,NA,7,4,18,19,16,9,NA,0,0,0,0,NA,0,NA,NA,NA,11,7,77.4,56.5,84,72.3,77.4,56.4,83.6,70.5,77.1,57.9,83.9,73.3,77.1,57.8,83.4,71.6,84.6,57,91.9,59.2,84.6,56.6,91.7,57.5,"(CONTRACTS OF 20,000 POUNDS)","A25","Combined"
"9","CHEESE (CASH-SETTLED) - CHICAGO MERCANTILE EXCHANGE","120313",2012-03-13,"063642","CME","00","063",9355,8084,3118,0,0,0,0,170,0,228,4266,84,8397,7639,958,1716,8789,7586,2912,0,0,0,0,166,0,201,4155,78,7865,7312,924,1478,565,499,206,0,0,0,0,4,0,29,113,4,532,327,34,238,243,210,44,0,0,0,0,14,0,2,137,0,211,196,32,47,100,86.4,33.3,0,0,0,0,1.8,0,2.4,45.6,0.9,89.8,81.7,10.2,18.3,100,86.3,33.1,0,0,0,0,1.9,0,2.3,47.3,0.9,89.5,83.2,10.5,16.8,100,88.2,36.5,0,0,0,0,0.7,0,5.1,20,0.7,94.1,57.9,5.9,42.1,29,13,10,0,0,0,0,NA,0,NA,7,4,18,19,29,13,10,0,0,0,0,NA,0,NA,7,4,18,19,16,9,NA,0,0,0,0,NA,0,NA,NA,NA,11,7,77.6,57.4,84.2,72.9,77.6,57.4,83.7,71.2,77.3,58.9,84,74,77.3,58.8,83.4,72.4,84.2,55.8,92.1,57.9,84.2,55.4,92,56.3,"(CONTRACTS OF 20,000 POUNDS)","A25","Combined"
"10","CHEESE (CASH-SETTLED) - CHICAGO MERCANTILE EXCHANGE","120320",2012-03-20,"063642","CME","00","063",9722,8289,3197,0,0,0,0,229,0,251,4487,90,8630,8003,1092,1719,9136,7769,2991,0,0,0,0,221,0,224,4358,84,8077,7655,1058,1481,586,520,206,0,0,0,0,8,0,29,130,4,553,348,34,238,367,204,79,0,0,0,0,59,0,23,221,6,233,364,135,3,100,85.3,32.9,0,0,0,0,2.4,0,2.6,46.1,0.9,88.8,82.3,11.2,17.7,100,85,32.7,0,0,0,0,2.4,0,2.5,47.7,0.9,88.4,83.8,11.6,16.2,100,88.6,35.2,0,0,0,0,1.4,0,4.9,22.2,0.7,94.3,59.4,5.7,40.6,29,13,11,0,0,0,0,NA,0,NA,6,NA,17,19,29,13,11,0,0,0,0,NA,0,NA,6,NA,17,19,17,9,NA,0,0,0,0,NA,0,NA,NA,NA,11,8,76.8,57.9,83.4,73,76.8,57.7,83,71.3,76.6,59.3,83.1,74,76.6,59.1,82.7,72.3,84.7,56.8,92.4,59.4,84.7,56.8,92.2,57.9,"(CONTRACTS OF 20,000 POUNDS)","A25","Combined"
