"","Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_MM_DD_YYYY","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_ALL","Prod_Merc_Positions_Short_ALL","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_ALL","M_Money_Positions_Short_ALL","M_Money_Positions_Spread_ALL","Other_Rept_Positions_Long_ALL","Other_Rept_Positions_Short_ALL","Other_Rept_Positions_Spread_ALL","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap_Positions_Short_Old","Swap_Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap_Positions_Short_Other","Swap_Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Othr","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Othr","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_SubGroup_Code","FutOnly_or_Combined"
"1","COCOA - ICE FUTURES U.S.","070904",2007-09-04,"073732","NYBT","01","073",133991,41341,70666,16254,11332,15600,31157,8082,5046,3580,6627,10865,123842,128217,10149,5774,121747,33310,60695,16253,14519,11819,32017,8082,4132,4243,6925,9884,111658,116056,10090,5691,12244,8031,9971,3282,94,500,54,914,0,316,681,1,12184,12161,60,83,-3561,-3716,-3167,554,-1091,-826,-312,668,672,-259,-223,72,-3816,-3896,256,335,100,30.9,52.7,12.1,8.5,11.6,23.3,6,3.8,2.7,4.9,8.1,92.4,95.7,7.6,4.3,100,27.4,49.9,13.3,11.9,9.7,26.3,6.6,3.4,3.5,5.7,8.1,91.7,95.3,8.3,4.7,100,65.6,81.4,26.8,0.8,4.1,0.4,7.5,0,2.6,5.6,0,99.5,99.3,0.5,0.7,153,34,32,15,4,4,32,16,9,22,19,27,124,95,153,34,32,15,4,4,32,16,9,27,18,26,123,95,33,6,13,NA,NA,NA,NA,NA,0,NA,NA,NA,12,24,32.4,38.1,43.2,50.3,20.8,25.6,28.4,33.7,28.4,38.8,39.5,50.8,21.6,28.2,28.5,37.1,95.2,65.4,98.9,84.7,91.2,65.4,94.5,83,"(CONTRACTS OF 10 METRIC TONS)","A50","Combined"
"2","COCOA - ICE FUTURES U.S.","070911",2007-09-11,"073732","NYBT","01","073",132036,38861,71349,16296,11071,14621,32440,7673,5157,3540,5633,10397,121310,125900,10726,6136,119386,31041,61221,16295,14456,10617,32878,7673,4243,4417,5880,9228,108718,113317,10667,6068,12650,7820,10128,3505,119,500,476,914,0,290,920,1,12592,12582,58,68,-1955,-2480,683,42,-261,-979,1283,-409,110,-40,-994,-468,-2531,-2317,576,362,100,29.4,54,12.3,8.4,11.1,24.6,5.8,3.9,2.7,4.3,7.9,91.9,95.4,8.1,4.6,100,26,51.3,13.6,12.1,8.9,27.5,6.4,3.6,3.7,4.9,7.7,91.1,94.9,8.9,5.1,100,61.8,80.1,27.7,0.9,4,3.8,7.2,0,2.3,7.3,0,99.5,99.5,0.5,0.5,158,35,32,15,NA,4,36,18,9,22,17,24,130,90,158,35,32,15,NA,4,36,18,9,28,14,23,129,90,32,6,14,NA,NA,NA,NA,NA,0,NA,NA,NA,11,25,32.2,38.8,42.3,51.2,21.4,27.4,28.7,35.6,27.9,39.7,38.5,52,21.7,30.4,28.7,39.5,95.4,63.3,99.3,82,91.5,63.3,94.7,80.4,"(CONTRACTS OF 10 METRIC TONS)","A50","Combined"
"3","COCOA - ICE FUTURES U.S.","070918",2007-09-18,"073732","NYBT","01","073",132869,39693,75164,16356,11519,12548,34074,7142,4605,3421,5226,11155,121851,127358,11018,5510,119880,31883,65046,16355,15105,8343,34413,7142,3691,4635,5504,9641,108960,114471,10920,5409,12988,7810,10118,3706,119,500,575,914,0,290,1226,10,12891,12887,97,101,833,832,3814,60,448,-2073,1634,-531,-552,-119,-407,758,541,1459,292,-626,100,29.9,56.6,12.3,8.7,9.4,25.6,5.4,3.5,2.6,3.9,8.4,91.7,95.9,8.3,4.1,100,26.6,54.3,13.6,12.6,7,28.7,6,3.1,3.9,4.6,8,90.9,95.5,9.1,4.5,100,60.1,77.9,28.5,0.9,3.8,4.4,7,0,2.2,9.4,0.1,99.3,99.2,0.7,0.8,159,37,35,15,NA,4,37,17,8,21,16,24,130,93,158,37,35,15,NA,4,36,17,8,26,15,23,128,93,32,6,14,NA,NA,NA,NA,NA,0,NA,NA,NA,12,25,31.4,38.8,42.2,51.3,22.3,28.1,29.5,36.5,27.2,38.9,38.1,51.2,22.4,31.4,29.3,41,95.2,61.3,98.9,79.6,91.3,61.3,94.5,78.6,"(CONTRACTS OF 10 METRIC TONS)","A50","Combined"
"4","COCOA - ICE FUTURES U.S.","070925",2007-09-25,"073732","NYBT","01","073",138930,40116,88204,15820,12212,9474,44445,3712,3773,3074,5405,11248,127950,134029,10980,4901,126107,32475,78079,15819,15799,5268,44721,3712,2859,4171,5688,9859,115172,121264,10936,4843,12822,7641,10125,3707,119,500,638,914,0,290,1104,2,12778,12764,44,58,6061,423,13041,-537,693,-3074,10371,-3431,-831,-347,179,93,6099,6670,-37,-609,100,28.9,63.5,11.4,8.8,6.8,32,2.7,2.7,2.2,3.9,8.1,92.1,96.5,7.9,3.5,100,25.8,61.9,12.5,12.5,4.2,35.5,2.9,2.3,3.3,4.5,7.8,91.3,96.2,8.7,3.8,100,59.6,79,28.9,0.9,3.9,5,7.1,0,2.3,8.6,0,99.7,99.5,0.3,0.5,161,33,38,14,4,4,43,13,16,23,15,25,136,98,160,33,38,14,4,4,42,13,16,27,14,24,134,98,33,6,15,NA,NA,NA,NA,NA,0,NA,NA,NA,13,26,29,41.7,39.2,54.7,20.8,30.4,29.1,39.6,24.9,41.2,34.9,54.9,20.8,33.9,29.1,43.8,95.6,57,99,75.4,91.7,57,94.7,74.4,"(CONTRACTS OF 10 METRIC TONS)","A50","Combined"
"5","COCOA - ICE FUTURES U.S.","071002",2007-10-02,"073732","NYBT","01","073",144051,38699,94889,16053,11989,6574,49775,3464,3890,3669,5200,13469,132130,139475,11922,4576,130462,29795,84104,15977,14911,2938,50051,3464,2976,4680,5451,12168,118585,126012,11877,4450,13589,8904,10785,3117,119,595,638,914,0,290,1049,1,13545,13463,44,126,5121,-1416,6685,234,-223,-2900,5330,-247,117,595,-205,2221,4180,5447,942,-325,100,26.9,65.9,11.1,8.3,4.6,34.6,2.4,2.7,2.5,3.6,9.4,91.7,96.8,8.3,3.2,100,22.8,64.5,12.2,11.4,2.3,38.4,2.7,2.3,3.6,4.2,9.3,90.9,96.6,9.1,3.4,100,65.5,79.4,22.9,0.9,4.4,4.7,6.7,0,2.1,7.7,0,99.7,99.1,0.3,0.9,160,31,39,14,4,4,43,11,17,21,17,24,135,97,159,31,39,14,4,4,42,11,17,27,15,23,133,97,35,7,15,NA,NA,NA,NA,NA,0,NA,NA,NA,14,26,25.7,41,36.8,53.4,19.3,31.3,28,41.4,22.6,40.6,33.1,53.7,19.6,34.4,27.9,44.7,95.1,55.2,98.4,75.7,90.7,55.2,93.8,74.4,"(CONTRACTS OF 10 METRIC TONS)","A50","Combined"
"6","COCOA - ICE FUTURES U.S.","071009",2007-10-09,"073732","NYBT","01","073",140354,40032,90867,16495,10645,7305,43684,3597,3674,4229,5616,14256,129677,135961,10677,4393,126529,31023,80017,16419,13533,3597,44023,3597,2760,5268,5815,12876,115967,122195,10562,4333,13825,9009,10850,3083,119,701,575,914,0,290,1129,52,13710,13765,115,60,-3697,1333,-4022,442,-1344,731,-6090,132,-216,560,416,787,-2453,-3515,-1244,-183,100,28.5,64.7,11.8,7.6,5.2,31.1,2.6,2.6,3,4,10.2,92.4,96.9,7.6,3.1,100,24.5,63.2,13,10.7,2.8,34.8,2.8,2.2,4.2,4.6,10.2,91.7,96.6,8.3,3.4,100,65.2,78.5,22.3,0.9,5.1,4.2,6.6,0,2.1,8.2,0.4,99.2,99.6,0.8,0.4,159,31,37,14,4,5,44,9,15,21,17,25,139,92,158,31,37,14,4,5,43,9,15,27,14,24,137,92,34,7,15,NA,NA,NA,NA,NA,0,NA,NA,NA,14,26,27.4,40.5,39.2,53.1,20.5,30.9,28.9,39.4,24.1,40,35.7,53.4,20.2,34.1,28.4,43.9,94.7,54.3,98,75.2,89.6,54.3,92.1,73.2,"(CONTRACTS OF 10 METRIC TONS)","A50","Combined"
"7","COCOA - ICE FUTURES U.S.","071016",2007-10-16,"073732","NYBT","01","073",143105,42064,90928,18405,10417,7756,41204,5122,3910,4336,4672,14175,131850,136980,11255,6125,126401,30741,77786,18329,13438,3915,41544,5122,2995,5585,4926,12514,115623,120696,10778,5704,16704,11323,13142,3216,119,701,575,915,0,290,1284,122,16227,16283,477,421,2751,2032,61,1910,-227,450,-2480,1526,236,107,-944,-81,2173,1019,578,1732,100,29.4,63.5,12.9,7.3,5.4,28.8,3.6,2.7,3,3.3,9.9,92.1,95.7,7.9,4.3,100,24.3,61.5,14.5,10.6,3.1,32.9,4.1,2.4,4.4,3.9,9.9,91.5,95.5,8.5,4.5,100,67.8,78.7,19.3,0.7,4.2,3.4,5.5,0,1.7,7.7,0.7,97.1,97.5,2.9,2.5,154,33,36,15,4,6,38,12,19,22,15,22,135,92,153,33,36,15,4,6,37,12,19,28,13,21,133,92,34,9,17,NA,NA,NA,NA,NA,0,NA,NA,NA,17,28,26.4,39.9,39.5,52.6,19,30.6,27.4,39.1,24.3,40.4,36.2,53.4,20.4,35.4,28.8,44.8,84.2,50.6,94.6,71.8,62.3,37.8,65.1,49.8,"(CONTRACTS OF 10 METRIC TONS)","A50","Combined"
"8","COCOA - ICE FUTURES U.S.","071023",2007-10-23,"073732","NYBT","01","073",144154,41684,87899,18549,10288,8249,40548,6513,4054,4985,4750,15346,133416,137099,10738,7055,126391,29234,73562,18473,13439,4278,40888,6513,3139,6273,4972,13643,115929,119547,10462,6844,17763,12450,14337,3346,119,701,575,915,0,290,1355,125,17487,17552,276,211,1049,-379,-3028,144,-130,493,-656,1391,144,649,78,1171,1566,119,-517,930,100,28.9,61,12.9,7.1,5.7,28.1,4.5,2.8,3.5,3.3,10.6,92.6,95.1,7.4,4.9,100,23.1,58.2,14.6,10.6,3.4,32.4,5.2,2.5,5,3.9,10.8,91.7,94.6,8.3,5.4,100,70.1,80.7,18.8,0.7,3.9,3.2,5.2,0,1.6,7.6,0.7,98.4,98.8,1.6,1.2,162,33,39,14,6,6,39,10,20,23,17,26,139,103,161,33,39,14,6,6,38,10,20,29,14,25,137,103,34,10,17,NA,NA,NA,NA,NA,0,NA,NA,NA,18,28,26.1,37.6,38.5,50.4,19.4,29,27.6,37.5,22.8,39.4,34.9,51.2,20.5,34.8,28.5,44.3,81.7,54.1,94.8,74,55.2,35.5,60.4,47.4,"(CONTRACTS OF 10 METRIC TONS)","A50","Combined"
"9","COCOA - ICE FUTURES U.S.","071030",2007-10-30,"073732","NYBT","01","073",147901,41775,90828,18462,11303,9371,44631,7034,5050,3642,4322,13959,136888,141866,11013,6035,130018,29198,75805,18386,14461,5391,44728,7034,4378,4543,4546,12505,119128,124119,10890,5899,17883,12577,15023,3353,119,703,575,672,0,290,968,262,17760,17747,123,136,3747,90,2928,-87,1015,1122,4083,521,995,-1344,-427,-1387,3472,4767,274,-1020,100,28.2,61.4,12.5,7.6,6.3,30.2,4.8,3.4,2.5,2.9,9.4,92.6,95.9,7.4,4.1,100,22.5,58.3,14.1,11.1,4.1,34.4,5.4,3.4,3.5,3.5,9.6,91.6,95.5,8.4,4.5,100,70.3,84,18.7,0.7,3.9,3.2,3.8,0,1.6,5.4,1.5,99.3,99.2,0.7,0.8,163,35,39,15,5,6,44,10,22,21,15,23,142,101,162,35,39,15,5,6,43,10,22,25,14,22,140,101,34,9,18,NA,NA,NA,NA,NA,0,NA,NA,NA,17,28,27.1,39.1,39,51.6,19.7,30.7,27.8,39.3,22.5,41.5,34.8,52.8,20,36.5,28.5,45.8,83.4,53.7,96.5,74.9,57,37.3,62.3,50.2,"(CONTRACTS OF 10 METRIC TONS)","A50","Combined"
"10","COCOA - ICE FUTURES U.S.","071106",2007-11-06,"073732","NYBT","01","073",143592,37893,92299,16277,11248,7893,52170,6928,2927,3999,4649,11251,132410,137194,11182,6398,124611,24641,76020,16201,14431,3778,52267,6928,2255,4646,4976,9902,113690,118289,10920,6321,18981,13252,16279,3378,119,813,575,672,0,336,655,366,18720,18904,261,77,-4309,-3882,1471,-2184,-55,-1478,7539,-107,-2123,358,327,-2708,-4478,-4673,169,364,100,26.4,64.3,11.3,7.8,5.5,36.3,4.8,2,2.8,3.2,7.8,92.2,95.5,7.8,4.5,100,19.8,61,13,11.6,3,41.9,5.6,1.8,3.7,4,7.9,91.2,94.9,8.8,5.1,100,69.8,85.8,17.8,0.6,4.3,3,3.5,0,1.8,3.5,1.9,98.6,99.6,1.4,0.4,160,31,39,14,5,4,47,9,14,17,17,19,134,90,159,29,39,14,5,4,46,9,14,21,16,18,130,90,35,10,19,NA,NA,NA,NA,NA,0,NA,NA,4,19,29,27.3,40.8,40.5,55.4,22.1,33,30.4,42.8,24.6,43.9,36.2,55.6,21.8,39.4,30.6,48.6,82.4,52.8,94.8,77.6,60.7,44.9,65.7,56.8,"(CONTRACTS OF 10 METRIC TONS)","A50","Combined"
