"","Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_MM_DD_YYYY","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_ALL","Prod_Merc_Positions_Short_ALL","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_ALL","M_Money_Positions_Short_ALL","M_Money_Positions_Spread_ALL","Other_Rept_Positions_Long_ALL","Other_Rept_Positions_Short_ALL","Other_Rept_Positions_Spread_ALL","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap_Positions_Short_Old","Swap_Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap_Positions_Short_Other","Swap_Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Othr","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Othr","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_SubGroup_Code","FutOnly_or_Combined"
"1","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","060613",2006-06-13,"085692","CMX","01","085",81852,16910,17103,29530,22311,3002,6177,6569,5809,2116,7431,7669,71211,69892,10641,11959,81852,16910,17103,29530,22311,3002,6177,6569,5809,2116,7431,7669,71211,69892,10641,11959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,20.7,20.9,36.1,27.3,3.7,7.5,8,7.1,2.6,9.1,9.4,87,85.4,13,14.6,100,20.7,20.9,36.1,27.3,3.7,7.5,8,7.1,2.6,9.1,9.4,87,85.4,13,14.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,25,21,9,8,7,26,20,19,7,27,29,107,101,137,25,21,9,8,7,26,20,19,7,27,29,107,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.7,35.9,44.2,44.6,31.7,32.8,42.7,38.5,31.7,35.9,44.2,44.6,31.7,32.8,42.7,38.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 25,000 POUNDS)","N20","Combined"
"2","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","060620",2006-06-20,"085692","CMX","01","085",79307,14502,17690,29512,21472,3316,6204,5095,5238,2169,6665,7076,68018,66552,11289,12754,79307,14502,17690,29512,21472,3316,6204,5095,5238,2169,6665,7076,68018,66552,11289,12754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2545,-2408,587,-18,-839,314,27,-1474,-570,54,-766,-592,-3193,-3340,648,795,100,18.3,22.3,37.2,27.1,4.2,7.8,6.4,6.6,2.7,8.4,8.9,85.8,83.9,14.2,16.1,100,18.3,22.3,37.2,27.1,4.2,7.8,6.4,6.6,2.7,8.4,8.9,85.8,83.9,14.2,16.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,26,23,9,7,7,23,18,20,9,15,27,105,99,131,26,23,9,7,7,23,18,20,9,15,27,105,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2,34.6,43.9,42.9,32.2,31.2,42,37.1,32.2,34.6,43.9,42.9,32.2,31.2,42,37.1,0,0,0,0,0,0,0,0,"(CONTRACTS OF 25,000 POUNDS)","N20","Combined"
"3","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","060627",2006-06-27,"085692","CMX","01","085",75069,14580,18630,29751,20747,1785,6137,5723,3812,2038,6393,6566,64669,63656,10400,11413,75069,14580,18630,29751,20747,1785,6137,5723,3812,2038,6393,6566,64669,63656,10400,11413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4238,78,941,239,-725,-1531,-67,629,-1426,-132,-273,-510,-3348,-2896,-889,-1342,100,19.4,24.8,39.6,27.6,2.4,8.2,7.6,5.1,2.7,8.5,8.7,86.1,84.8,13.9,15.2,100,19.4,24.8,39.6,27.6,2.4,8.2,7.6,5.1,2.7,8.5,8.7,86.1,84.8,13.9,15.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,27,25,8,8,6,23,18,19,NA,20,21,101,94,127,27,25,8,8,6,23,18,19,NA,20,21,101,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,36.2,47.5,44.1,34.4,32.3,45.1,38.4,34.5,36.2,47.5,44.1,34.4,32.3,45.1,38.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 25,000 POUNDS)","N20","Combined"
"4","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","060703",2006-07-03,"085692","CMX","01","085",74597,14012,19216,29790,21255,1549,6543,4742,3450,1897,6373,6487,63726,63071,10871,11526,74597,14012,19216,29790,21255,1549,6543,4742,3450,1897,6373,6487,63726,63071,10871,11526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-472,-569,586,39,508,-237,406,-981,-362,-141,-20,-79,-943,-585,472,113,100,18.8,25.8,39.9,28.5,2.1,8.8,6.4,4.6,2.5,8.5,8.7,85.4,84.5,14.6,15.5,100,18.8,25.8,39.9,28.5,2.1,8.8,6.4,4.6,2.5,8.5,8.7,85.4,84.5,14.6,15.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,25,24,8,8,6,25,15,12,4,19,26,100,93,132,25,24,8,8,6,25,15,12,4,19,26,100,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1,36.3,47.1,44.6,34.1,33.3,45,40,34.1,36.3,47.1,44.6,34.1,33.3,45,40,0,0,0,0,0,0,0,0,"(CONTRACTS OF 25,000 POUNDS)","N20","Combined"
"5","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","060711",2006-07-11,"085692","CMX","01","085",76417,13234,20867,30101,20196,1223,8601,6027,3252,1977,7091,6426,64813,65081,11604,11336,76417,13234,20867,30101,20196,1223,8601,6027,3252,1977,7091,6426,64813,65081,11604,11336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1820,-778,1651,311,-1059,-326,2058,1285,-198,80,718,-61,1087,2010,733,-190,100,17.3,27.3,39.4,26.4,1.6,11.3,7.9,4.3,2.6,9.3,8.4,84.8,85.2,15.2,14.8,100,17.3,27.3,39.4,26.4,1.6,11.3,7.9,4.3,2.6,9.3,8.4,84.8,85.2,15.2,14.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,27,25,8,8,6,27,19,11,NA,26,21,101,93,136,27,25,8,8,6,27,19,11,NA,26,21,101,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.2,34.3,45.4,43.7,33.2,31.6,43.6,39.1,33.2,34.3,45.4,43.7,33.2,31.6,43.6,39.1,0,0,0,0,0,0,0,0,"(CONTRACTS OF 25,000 POUNDS)","N20","Combined"
"6","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","060718",2006-07-18,"085692","CMX","01","085",78028,13978,20852,30470,19093,1319,8819,6203,3243,1993,8295,7076,66897,66081,11131,11947,78028,13978,20852,30470,19093,1319,8819,6203,3243,1993,8295,7076,66897,66081,11131,11947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610,744,-15,369,-1103,97,218,176,-9,16,1204,649,2084,1000,-474,611,100,17.9,26.7,39,24.5,1.7,11.3,7.9,4.2,2.6,10.6,9.1,85.7,84.7,14.3,15.3,100,17.9,26.7,39,24.5,1.7,11.3,7.9,4.2,2.6,10.6,9.1,85.7,84.7,14.3,15.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,26,23,9,7,7,27,19,12,NA,28,23,103,97,139,26,23,9,7,7,27,19,12,NA,28,23,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,33.3,45.4,42.7,32.5,30.4,42.8,37.8,33.3,33.3,45.4,42.7,32.5,30.4,42.8,37.8,0,0,0,0,0,0,0,0,"(CONTRACTS OF 25,000 POUNDS)","N20","Combined"
"7","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","060725",2006-07-25,"085692","CMX","01","085",75062,13854,20013,30699,17603,1188,6411,6138,3676,2029,8174,7360,65218,64153,9845,10910,75062,13854,20013,30699,17603,1188,6411,6138,3676,2029,8174,7360,65218,64153,9845,10910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2965,-124,-839,229,-1490,-131,-2408,-64,433,36,-121,285,-1680,-1928,-1286,-1037,100,18.5,26.7,40.9,23.5,1.6,8.5,8.2,4.9,2.7,10.9,9.8,86.9,85.5,13.1,14.5,100,18.5,26.7,40.9,23.5,1.6,8.5,8.2,4.9,2.7,10.9,9.8,86.9,85.5,13.1,14.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,29,24,9,7,9,22,19,11,7,28,28,105,103,138,29,24,9,7,9,22,19,11,7,28,28,105,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3,32.6,47,42.1,34.3,30.3,45,38.1,34.3,32.6,47,42.1,34.3,30.3,45,38.1,0,0,0,0,0,0,0,0,"(CONTRACTS OF 25,000 POUNDS)","N20","Combined"
"8","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","060801",2006-08-01,"085692","CMX","01","085",73081,12204,19757,30710,16459,1423,6432,6503,3732,2250,8624,5900,62652,62398,10429,10683,73081,12204,19757,30710,16459,1423,6432,6503,3732,2250,8624,5900,62652,62398,10429,10683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1981,-1651,-256,11,-1144,235,21,365,57,221,450,-1460,-2566,-1754,585,-227,100,16.7,27,42,22.5,1.9,8.8,8.9,5.1,3.1,11.8,8.1,85.7,85.4,14.3,14.6,100,16.7,27,42,22.5,1.9,8.8,8.9,5.1,3.1,11.8,8.1,85.7,85.4,14.3,14.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,25,19,9,6,7,22,17,11,5,24,24,98,90,130,25,19,9,6,7,22,17,11,5,24,24,98,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8,32.5,48.9,42.5,35.8,30.2,46.6,38.4,35.8,32.5,48.9,42.5,35.8,30.2,46.6,38.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 25,000 POUNDS)","N20","Combined"
"9","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","060808",2006-08-08,"085692","CMX","01","085",73948,12939,20215,30294,16079,2364,7051,7496,3165,2373,8651,4440,62626,62409,11322,11539,73948,12939,20215,30294,16079,2364,7051,7496,3165,2373,8651,4440,62626,62409,11322,11539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,736,458,-416,-380,941,619,993,-568,123,27,-1461,-26,11,893,856,100,17.5,27.3,41,21.7,3.2,9.5,10.1,4.3,3.2,11.7,6,84.7,84.4,15.3,15.6,100,17.5,27.3,41,21.7,3.2,9.5,10.1,4.3,3.2,11.7,6,84.7,84.4,15.3,15.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,24,19,9,7,7,22,16,10,8,22,18,92,83,124,24,19,9,7,7,22,16,10,8,22,18,92,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7,32.2,48.7,43.4,34.8,29.1,45.5,38,35.7,32.2,48.7,43.4,34.8,29.1,45.5,38,0,0,0,0,0,0,0,0,"(CONTRACTS OF 25,000 POUNDS)","N20","Combined"
"10","COPPER-GRADE #1 - COMMODITY EXCHANGE INC.","060815",2006-08-15,"085692","CMX","01","085",75901,14326,20871,30026,14823,2658,6975,8351,2217,2348,9152,6519,65068,64592,10833,11310,75901,14326,20871,30026,14823,2658,6975,8351,2217,2348,9152,6519,65068,64592,10833,11310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1953,1386,657,-268,-1256,293,-76,855,-948,-25,501,2080,2442,2182,-489,-229,100,18.9,27.5,39.6,19.5,3.5,9.2,11,2.9,3.1,12.1,8.6,85.7,85.1,14.3,14.9,100,18.9,27.5,39.6,19.5,3.5,9.2,11,2.9,3.1,12.1,8.6,85.7,85.1,14.3,14.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,26,21,9,7,8,24,16,10,6,26,27,103,94,133,26,21,9,7,8,24,16,10,6,26,27,103,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8,31.1,47.5,43.6,33.6,27.3,43.9,36.5,34.8,31.1,47.5,43.6,33.6,27.3,43.9,36.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 25,000 POUNDS)","N20","Combined"
