"","Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_MM_DD_YYYY","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_ALL","Prod_Merc_Positions_Short_ALL","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_ALL","M_Money_Positions_Short_ALL","M_Money_Positions_Spread_ALL","Other_Rept_Positions_Long_ALL","Other_Rept_Positions_Short_ALL","Other_Rept_Positions_Spread_ALL","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap_Positions_Short_Old","Swap_Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap_Positions_Short_Other","Swap_Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Othr","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Othr","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_SubGroup_Code","FutOnly_or_Combined"
"1","FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE","060613",2006-06-13,"061641","CME","00","061",30523,4362,7384,4370,86,0,7980,2487,377,2900,798,4259,24249,15391,6274,15132,30523,4362,7384,4370,86,0,7980,2487,377,2900,798,4259,24249,15391,6274,15132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,14.3,24.2,14.3,0.3,0,26.1,8.1,1.2,9.5,2.6,14,79.4,50.4,20.6,49.6,100,14.3,24.2,14.3,0.3,0,26.1,8.1,1.2,9.5,2.6,14,79.4,50.4,20.6,49.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,32,57,9,NA,0,28,8,6,17,16,19,98,98,145,32,57,9,NA,0,28,8,6,17,16,19,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,10.1,28,16.1,16.5,7.6,25.7,12.4,18.1,10.1,28,16.1,16.5,7.6,25.7,12.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 50,000 POUNDS)","A20","Combined"
"2","FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE","060620",2006-06-20,"061641","CME","00","061",30185,4492,8473,4366,113,0,7542,2040,394,3416,386,4630,24839,16036,5346,14150,30185,4492,8473,4366,113,0,7542,2040,394,3416,386,4630,24839,16036,5346,14150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-338,130,1089,-4,27,0,-438,-447,17,516,-412,370,590,644,-928,-982,100,14.9,28.1,14.5,0.4,0,25,6.8,1.3,11.3,1.3,15.3,82.3,53.1,17.7,46.9,100,14.9,28.1,14.5,0.4,0,25,6.8,1.3,11.3,1.3,15.3,82.3,53.1,17.7,46.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,33,61,10,NA,0,33,6,5,16,11,18,104,94,150,33,61,10,NA,0,33,6,5,16,11,18,104,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10.6,28.6,17,16.2,7.4,24.9,12.4,19,10.6,28.6,17,16.2,7.4,24.9,12.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 50,000 POUNDS)","A20","Combined"
"3","FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE","060627",2006-06-27,"061641","CME","00","061",32416,4718,8966,4411,125,0,9490,1967,482,2729,522,5351,27181,17413,5235,15004,32416,4718,8966,4411,125,0,9490,1967,482,2729,522,5351,27181,17413,5235,15004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2231,226,493,45,12,0,1948,-73,88,-687,135,721,2342,1377,-111,854,100,14.6,27.7,13.6,0.4,0,29.3,6.1,1.5,8.4,1.6,16.5,83.9,53.7,16.1,46.3,100,14.6,27.7,13.6,0.4,0,29.3,6.1,1.5,8.4,1.6,16.5,83.9,53.7,16.1,46.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,30,58,10,NA,0,34,6,7,18,10,20,105,95,150,30,58,10,NA,0,34,6,7,18,10,20,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10.7,25.1,16.7,12.3,7.1,20.7,11.9,16,10.7,25.1,16.7,12.3,7.1,20.7,11.9,0,0,0,0,0,0,0,0,"(CONTRACTS OF 50,000 POUNDS)","A20","Combined"
"4","FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE","060703",2006-07-03,"061641","CME","00","061",34576,4465,9345,4413,131,0,11103,1694,472,2286,876,6271,29010,18789,5565,15787,34576,4465,9345,4413,131,0,11103,1694,472,2286,876,6271,29010,18789,5565,15787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2159,-253,379,2,6,0,1613,-273,-10,-443,354,920,1829,1376,330,783,100,12.9,27,12.8,0.4,0,32.1,4.9,1.4,6.6,2.5,18.1,83.9,54.3,16.1,45.7,100,12.9,27,12.8,0.4,0,32.1,4.9,1.4,6.6,2.5,18.1,83.9,54.3,16.1,45.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,32,60,10,NA,0,34,6,6,18,15,21,109,99,155,32,60,10,NA,0,34,6,6,18,15,21,109,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,9.9,26.4,16.3,13,6,21.9,10.5,15.8,9.9,26.4,16.3,13,6,21.9,10.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 50,000 POUNDS)","A20","Combined"
"5","FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE","060711",2006-07-11,"061641","CME","00","061",35338,5909,9883,4317,128,24,11273,1580,390,1181,860,6043,29137,18907,6201,16431,35338,5909,9883,4317,128,24,11273,1580,390,1181,860,6043,29137,18907,6201,16431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,1444,538,-96,-3,24,170,-114,-82,-1105,-16,-229,127,118,636,644,100,16.7,28,12.2,0.4,0.1,31.9,4.5,1.1,3.3,2.4,17.1,82.5,53.5,17.5,46.5,100,16.7,28,12.2,0.4,0.1,31.9,4.5,1.1,3.3,2.4,17.1,82.5,53.5,17.5,46.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,36,64,9,NA,NA,33,6,4,17,12,17,105,99,152,36,64,9,NA,NA,33,6,4,17,12,17,105,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,11,26,17.8,14.1,5.8,21.2,9.8,16.4,11,26,17.8,14.1,5.8,21.2,9.8,0,0,0,0,0,0,0,0,"(CONTRACTS OF 50,000 POUNDS)","A20","Combined"
"6","FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE","060718",2006-07-18,"061641","CME","00","061",36110,6068,10341,4311,128,24,11229,1474,967,962,1070,6195,29756,20199,6354,15911,36110,6068,10341,4311,128,24,11229,1474,967,962,1070,6195,29756,20199,6354,15911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,159,459,-6,0,0,-44,-106,577,-219,210,152,619,1292,153,-520,100,16.8,28.6,11.9,0.4,0.1,31.1,4.1,2.7,2.7,3,17.2,82.4,55.9,17.6,44.1,100,16.8,28.6,11.9,0.4,0.1,31.1,4.1,2.7,2.7,3,17.2,82.4,55.9,17.6,44.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,39,65,10,NA,NA,35,8,7,18,16,20,118,107,165,39,65,10,NA,NA,35,8,7,18,16,20,118,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,11,25.3,17.3,13.9,5.4,21.2,9.5,15.7,11,25.3,17.3,13.9,5.4,21.2,9.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 50,000 POUNDS)","A20","Combined"
"7","FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE","060725",2006-07-25,"061641","CME","00","061",36285,6155,11289,4320,141,24,10295,1280,950,2587,766,5809,30140,20260,6145,16025,36285,6155,11289,4320,141,24,10295,1280,950,2587,766,5809,30140,20260,6145,16025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,86,948,9,13,0,-934,-194,-17,1625,-304,-386,384,60,-209,114,100,17,31.1,11.9,0.4,0.1,28.4,3.5,2.6,7.1,2.1,16,83.1,55.8,16.9,44.2,100,17,31.1,11.9,0.4,0.1,28.4,3.5,2.6,7.1,2.1,16,83.1,55.8,16.9,44.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,39,65,10,NA,NA,32,6,7,23,13,24,118,110,164,39,65,10,NA,NA,32,6,7,23,13,24,118,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,9.6,27.3,16.5,15.2,6,23.1,10.2,17.4,9.6,27.3,16.5,15.2,6,23.1,10.2,0,0,0,0,0,0,0,0,"(CONTRACTS OF 50,000 POUNDS)","A20","Combined"
"8","FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE","060801",2006-08-01,"061641","CME","00","061",37107,6071,11287,4411,163,8,10000,1433,1074,2802,710,6296,30662,20971,6445,16136,37107,6071,11287,4411,163,8,10000,1433,1074,2802,710,6296,30662,20971,6445,16136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822,-84,-2,91,22,-16,-295,153,124,215,-56,486,522,712,300,111,100,16.4,30.4,11.9,0.4,0,26.9,3.9,2.9,7.6,1.9,17,82.6,56.5,17.4,43.5,100,16.4,30.4,11.9,0.4,0,26.9,3.9,2.9,7.6,1.9,17,82.6,56.5,17.4,43.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,38,64,10,NA,NA,31,6,10,18,14,23,117,112,166,38,64,10,NA,NA,31,6,10,18,14,23,117,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,9.9,28.6,16.6,15.8,6.3,24.3,10.5,18.6,9.9,28.6,16.6,15.8,6.3,24.3,10.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 50,000 POUNDS)","A20","Combined"
"9","FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE","060808",2006-08-08,"061641","CME","00","061",37469,6033,10954,4375,192,0,9808,1755,876,2798,772,6385,30275,20934,7194,16535,37469,6033,10954,4375,192,0,9808,1755,876,2798,772,6385,30275,20934,7194,16535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,-38,-334,-36,29,-8,-192,322,-198,-4,62,90,-386,-37,749,399,100,16.1,29.2,11.7,0.5,0,26.2,4.7,2.3,7.5,2.1,17,80.8,55.9,19.2,44.1,100,16.1,29.2,11.7,0.5,0,26.2,4.7,2.3,7.5,2.1,17,80.8,55.9,19.2,44.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,44,64,9,NA,0,32,7,8,19,13,21,118,106,161,44,64,9,NA,0,32,7,8,19,13,21,118,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,10.4,27.7,16.9,14.8,6.5,23,10.7,18.2,10.4,27.7,16.9,14.8,6.5,23,10.7,0,0,0,0,0,0,0,0,"(CONTRACTS OF 50,000 POUNDS)","A20","Combined"
"10","FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE","060815",2006-08-15,"061641","CME","00","061",38650,4967,10903,4385,192,0,9882,1609,1244,3467,787,7339,31284,22073,7365,16577,38650,4967,10903,4385,192,0,9882,1609,1244,3467,787,7339,31284,22073,7365,16577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,-1066,-51,10,-1,0,74,-146,368,670,15,953,1009,1139,172,42,100,12.9,28.2,11.3,0.5,0,25.6,4.2,3.2,9,2,19,80.9,57.1,19.1,42.9,100,12.9,28.2,11.3,0.5,0,25.6,4.2,3.2,9,2,19,80.9,57.1,19.1,42.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,40,66,9,NA,0,34,5,7,21,16,25,120,112,164,40,66,9,NA,0,34,5,7,21,16,25,120,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8,11,27.6,17.4,14.9,7.1,22.7,11,17.8,11,27.6,17.4,14.9,7.1,22.7,11,0,0,0,0,0,0,0,0,"(CONTRACTS OF 50,000 POUNDS)","A20","Combined"
