"","Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_MM_DD_YYYY","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_ALL","Prod_Merc_Positions_Short_ALL","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_ALL","M_Money_Positions_Short_ALL","M_Money_Positions_Spread_ALL","Other_Rept_Positions_Long_ALL","Other_Rept_Positions_Short_ALL","Other_Rept_Positions_Spread_ALL","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap_Positions_Short_Old","Swap_Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap_Positions_Short_Other","Swap_Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Othr","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Othr","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_SubGroup_Code","FutOnly_or_Combined"
"1","GOLD - COMMODITY EXCHANGE INC.","060613",2006-06-13,"088691","CMX","01","088",382474,42587,128892,19370,66611,22998,103211,30916,46704,33230,10656,58412,326513,365190,55961,17284,382474,42587,128892,19370,66611,22998,103211,30916,46704,33230,10656,58412,326513,365190,55961,17284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,11.1,33.7,5.1,17.4,6,27,8.1,12.2,8.7,2.8,15.3,85.4,95.5,14.6,4.5,100,11.1,33.7,5.1,17.4,6,27,8.1,12.2,8.7,2.8,15.3,85.4,95.5,14.6,4.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,23,28,10,12,14,64,16,23,92,33,57,230,143,260,23,28,10,12,14,64,16,23,92,33,57,230,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5,32.9,33.7,48.1,15.1,25,20.4,33,25.5,32.9,33.7,48.1,15.1,25,20.4,33,0,0,0,0,0,0,0,0,"(CONTRACTS OF 100 TROY OUNCES)","N20","Combined"
"2","GOLD - COMMODITY EXCHANGE INC.","060620",2006-06-20,"088691","CMX","01","088",390281,47440,126992,22404,64682,25806,94632,30963,48730,32947,11142,64458,336417,372774,53864,17507,390281,47440,126992,22404,64682,25806,94632,30963,48730,32947,11142,64458,336417,372774,53864,17507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7806,4853,-1900,3034,-1929,2808,-8579,47,2026,-283,486,6046,9904,7584,-2097,223,100,12.2,32.5,5.7,16.6,6.6,24.2,7.9,12.5,8.4,2.9,16.5,86.2,95.5,13.8,4.5,100,12.2,32.5,5.7,16.6,6.6,24.2,7.9,12.5,8.4,2.9,16.5,86.2,95.5,13.8,4.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,23,25,10,13,13,54,19,23,97,30,60,224,144,254,23,25,10,13,13,54,19,23,97,30,60,224,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,32.6,34.8,48.1,15.7,23.9,20.7,31.9,26,32.6,34.8,48.1,15.7,23.9,20.7,31.9,0,0,0,0,0,0,0,0,"(CONTRACTS OF 100 TROY OUNCES)","N20","Combined"
"3","GOLD - COMMODITY EXCHANGE INC.","060627",2006-06-27,"088691","CMX","01","088",384321,48449,121890,22425,62640,25151,91042,32287,49614,31307,11386,59762,327749,362729,56572,21592,384321,48449,121890,22425,62640,25151,91042,32287,49614,31307,11386,59762,327749,362729,56572,21592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5959,1009,-5102,21,-2042,-656,-3589,1324,884,-1640,244,-4696,-8667,-10044,2708,4085,100,12.6,31.7,5.8,16.3,6.5,23.7,8.4,12.9,8.1,3,15.5,85.3,94.4,14.7,5.6,100,12.6,31.7,5.8,16.3,6.5,23.7,8.4,12.9,8.1,3,15.5,85.3,94.4,14.7,5.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,23,25,9,12,14,48,23,22,85,33,57,210,141,241,23,25,9,12,14,48,23,22,85,33,57,210,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,32.6,35.6,49,15.9,23.4,21,31.8,26.6,32.6,35.6,49,15.9,23.4,21,31.8,0,0,0,0,0,0,0,0,"(CONTRACTS OF 100 TROY OUNCES)","N20","Combined"
"4","GOLD - COMMODITY EXCHANGE INC.","060703",2006-07-03,"088691","CMX","01","088",392868,48087,122568,22720,69714,26352,92545,30452,50821,32874,8677,63514,336914,372098,55955,20771,392868,48087,122568,22720,69714,26352,92545,30452,50821,32874,8677,63514,336914,372098,55955,20771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8547,-362,678,295,7073,1201,1503,-1835,1207,1568,-2709,3752,9164,9368,-617,-821,100,12.2,31.2,5.8,17.7,6.7,23.6,7.8,12.9,8.4,2.2,16.2,85.8,94.7,14.2,5.3,100,12.2,31.2,5.8,17.7,6.7,23.6,7.8,12.9,8.4,2.2,16.2,85.8,94.7,14.2,5.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,22,23,9,12,13,52,21,21,91,28,60,215,139,243,22,23,9,12,13,52,21,21,91,28,60,215,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,32.3,35.3,49.2,15.8,23.2,20.9,32.4,26.6,32.3,35.3,49.2,15.8,23.2,20.9,32.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 100 TROY OUNCES)","N20","Combined"
"5","GOLD - COMMODITY EXCHANGE INC.","060711",2006-07-11,"088691","CMX","01","088",427008,54509,130618,21840,79217,28805,104213,27624,54922,33165,11194,70944,368398,403323,58611,23685,427008,54509,130618,21840,79217,28805,104213,27624,54922,33165,11194,70944,368398,403323,58611,23685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34140,6422,8050,-880,9503,2453,11668,-2829,4101,291,2517,7430,31484,31225,2656,2915,100,12.8,30.6,5.1,18.6,6.7,24.4,6.5,12.9,7.8,2.6,16.6,86.3,94.5,13.7,5.5,100,12.8,30.6,5.1,18.6,6.7,24.4,6.5,12.9,7.8,2.6,16.6,86.3,94.5,13.7,5.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,26,28,11,13,13,59,17,21,83,42,64,231,148,260,26,28,11,13,13,59,17,21,83,42,64,231,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1,31.8,34.6,48.6,14.8,22.1,19.7,31.4,26.1,31.8,34.6,48.6,14.8,22.1,19.7,31.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 100 TROY OUNCES)","N20","Combined"
"6","GOLD - COMMODITY EXCHANGE INC.","060718",2006-07-18,"088691","CMX","01","088",443519,49863,131166,21681,83183,33352,107413,24296,62395,31760,9442,74272,380737,418105,62782,25414,443519,49863,131166,21681,83183,33352,107413,24296,62395,31760,9442,74272,380737,418105,62782,25414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16511,-4646,548,-159,3966,4547,3200,-3328,7473,-1405,-1752,3328,12339,14782,4172,1728,100,11.2,29.6,4.9,18.8,7.5,24.2,5.5,14.1,7.2,2.1,16.7,85.8,94.3,14.2,5.7,100,11.2,29.6,4.9,18.8,7.5,24.2,5.5,14.1,7.2,2.1,16.7,85.8,94.3,14.2,5.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,27,28,9,14,14,57,22,27,84,38,69,233,158,258,27,28,9,14,14,57,22,27,84,38,69,233,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,31.9,34.3,48.5,14,22,18.7,30.8,25.8,31.9,34.3,48.5,14,22,18.7,30.8,0,0,0,0,0,0,0,0,"(CONTRACTS OF 100 TROY OUNCES)","N20","Combined"
"7","GOLD - COMMODITY EXCHANGE INC.","060725",2006-07-25,"088691","CMX","01","088",432413,52859,133290,22956,85604,28832,99087,22386,64810,29740,6244,73980,372265,415146,60148,17266,432413,52859,133290,22956,85604,28832,99087,22386,64810,29740,6244,73980,372265,415146,60148,17266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11106,2996,2125,1275,2421,-4520,-8325,-1909,2415,-2020,-3198,-293,-8472,-2959,-2634,-8147,100,12.2,30.8,5.3,19.8,6.7,22.9,5.2,15,6.9,1.4,17.1,86.1,96,13.9,4,100,12.2,30.8,5.3,19.8,6.7,22.9,5.2,15,6.9,1.4,17.1,86.1,96,13.9,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,29,28,9,14,15,59,19,26,91,32,73,237,160,260,29,28,9,14,15,59,19,26,91,32,73,237,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2,33.2,35.3,50.5,13.8,22.5,18.3,33.2,27.2,33.2,35.3,50.5,13.8,22.5,18.3,33.2,0,0,0,0,0,0,0,0,"(CONTRACTS OF 100 TROY OUNCES)","N20","Combined"
"8","GOLD - COMMODITY EXCHANGE INC.","060801",2006-08-01,"088691","CMX","01","088",394609,45161,135988,21250,73244,23643,99330,24391,54618,32195,4758,57618,333815,374260,60795,20350,394609,45161,135988,21250,73244,23643,99330,24391,54618,32195,4758,57618,333815,374260,60795,20350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37803,-7698,2697,-1706,-12359,-5189,243,2005,-10192,2454,-1486,-16362,-38450,-40886,647,3083,100,11.4,34.5,5.4,18.6,6,25.2,6.2,13.8,8.2,1.2,14.6,84.6,94.8,15.4,5.2,100,11.4,34.5,5.4,18.6,6,25.2,6.2,13.8,8.2,1.2,14.6,84.6,94.8,15.4,5.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,20,24,8,13,14,60,18,23,87,25,59,215,137,240,20,24,8,13,14,60,18,23,87,25,59,215,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2,36.7,36.9,53.4,14.6,24.9,19.4,34.5,29.2,36.7,36.9,53.4,14.6,24.9,19.4,34.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 100 TROY OUNCES)","N20","Combined"
"9","GOLD - COMMODITY EXCHANGE INC.","060808",2006-08-08,"088691","CMX","01","088",402899,46203,142240,20703,72061,24259,104600,24271,57785,33123,6489,57914,344587,385020,58312,17880,402899,46203,142240,20703,72061,24259,104600,24271,57785,33123,6489,57914,344587,385020,58312,17880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8290,1042,6253,-547,-1183,615,5270,-120,3167,928,1732,296,10772,10760,-2482,-2470,100,11.5,35.3,5.1,17.9,6,26,6,14.3,8.2,1.6,14.4,85.5,95.6,14.5,4.4,100,11.5,35.3,5.1,17.9,6,26,6,14.3,8.2,1.6,14.4,85.5,95.6,14.5,4.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,24,24,8,13,14,65,16,22,85,33,60,226,139,251,24,24,8,13,14,65,16,22,85,33,60,226,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,37,36.2,53.1,14.1,25,19.3,34.7,28.6,37,36.2,53.1,14.1,25,19.3,34.7,0,0,0,0,0,0,0,0,"(CONTRACTS OF 100 TROY OUNCES)","N20","Combined"
"10","GOLD - COMMODITY EXCHANGE INC.","060815",2006-08-15,"088691","CMX","01","088",402702,46986,139790,20326,66040,25523,96966,24602,58658,33047,5839,56914,338420,377366,64282,25336,402702,46986,139790,20326,66040,25523,96966,24602,58658,33047,5839,56914,338420,377366,64282,25336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-197,783,-2451,-377,-6021,1264,-7635,331,874,-76,-651,-1000,-6167,-7654,5970,7457,100,11.7,34.7,5,16.4,6.3,24.1,6.1,14.6,8.2,1.4,14.1,84,93.7,16,6.3,100,11.7,34.7,5,16.4,6.3,24.1,6.1,14.6,8.2,1.4,14.1,84,93.7,16,6.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,24,25,8,11,13,67,16,24,80,40,62,228,145,255,24,25,8,11,13,67,16,24,80,40,62,228,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,37.1,36.4,53,13.7,24.3,18.2,33.4,29,37.1,36.4,53,13.7,24.3,18.2,33.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 100 TROY OUNCES)","N20","Combined"
