"","Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_MM_DD_YYYY","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_ALL","Prod_Merc_Positions_Short_ALL","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_ALL","M_Money_Positions_Short_ALL","M_Money_Positions_Spread_ALL","Other_Rept_Positions_Long_ALL","Other_Rept_Positions_Short_ALL","Other_Rept_Positions_Spread_ALL","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap_Positions_Short_Old","Swap_Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap_Positions_Short_Other","Swap_Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Othr","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Othr","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_SubGroup_Code","FutOnly_or_Combined"
"1","LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE","060613",2006-06-13,"057642","CME","00","057",274024,42090,112293,72176,1824,6190,49172,21732,29054,10606,4594,33164,242454,208851,31570,65173,274024,42090,112293,72176,1824,6190,49172,21732,29054,10606,4594,33164,242454,208851,31570,65173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,15.4,41,26.3,0.7,2.3,17.9,7.9,10.6,3.9,1.7,12.1,88.5,76.2,11.5,23.8,100,15.4,41,26.3,0.7,2.3,17.9,7.9,10.6,3.9,1.7,12.1,88.5,76.2,11.5,23.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,86,141,13,4,4,51,40,37,29,28,45,230,260,318,86,141,13,4,4,51,40,37,29,28,45,230,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,11.1,33.2,20,18.6,8.5,27.5,13,20.2,11.1,33.2,20,18.6,8.5,27.5,13,0,0,0,0,0,0,0,0,"(CONTRACTS OF 40,000 POUNDS)","A20","Combined"
"2","LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE","060620",2006-06-20,"057642","CME","00","057",257008,40204,116166,72825,1946,7057,45403,13161,24947,10207,3964,32571,233214,199811,23794,57197,257008,40204,116166,72825,1946,7057,45403,13161,24947,10207,3964,32571,233214,199811,23794,57197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17016,-1887,3873,648,122,867,-3770,-8571,-4108,-399,-630,-594,-9240,-9040,-7776,-7976,100,15.6,45.2,28.3,0.8,2.7,17.7,5.1,9.7,4,1.5,12.7,90.7,77.7,9.3,22.3,100,15.6,45.2,28.3,0.8,2.7,17.7,5.1,9.7,4,1.5,12.7,90.7,77.7,9.3,22.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,81,143,14,NA,5,55,27,28,29,15,34,208,230,290,81,143,14,NA,5,55,27,28,29,15,34,208,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9,12.2,35.8,21.7,19.7,9.7,29.1,14.7,21.9,12.2,35.8,21.7,19.7,9.7,29.1,14.7,0,0,0,0,0,0,0,0,"(CONTRACTS OF 40,000 POUNDS)","A20","Combined"
"3","LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE","060627",2006-06-27,"057642","CME","00","057",270201,38634,118744,72619,2116,8720,47885,9449,26676,9958,3425,41762,246253,210891,23948,59310,270201,38634,118744,72619,2116,8720,47885,9449,26676,9958,3425,41762,246253,210891,23948,59310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13193,-1570,2578,-206,170,1663,2482,-3713,1729,-250,-539,9192,13039,11080,154,2114,100,14.3,43.9,26.9,0.8,3.2,17.7,3.5,9.9,3.7,1.3,15.5,91.1,78,8.9,22,100,14.3,43.9,26.9,0.8,3.2,17.7,3.5,9.9,3.7,1.3,15.5,91.1,78,8.9,22,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,85,143,14,NA,5,56,26,31,26,22,33,216,234,297,85,143,14,NA,5,56,26,31,26,22,33,216,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1,12,34.5,21.4,18.8,9.3,27.4,13.9,21.1,12,34.5,21.4,18.8,9.3,27.4,13.9,0,0,0,0,0,0,0,0,"(CONTRACTS OF 40,000 POUNDS)","A20","Combined"
"4","LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE","060703",2006-07-03,"057642","CME","00","057",267968,37913,124069,72885,2074,5032,52146,6367,26433,11157,2971,39051,244616,205996,23352,61972,267968,37913,124069,72885,2074,5032,52146,6367,26433,11157,2971,39051,244616,205996,23352,61972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2233,-721,5326,266,-42,-3689,4261,-3082,-243,1199,-454,-2711,-1637,-4895,-596,2662,100,14.1,46.3,27.2,0.8,1.9,19.5,2.4,9.9,4.2,1.1,14.6,91.3,76.9,8.7,23.1,100,14.1,46.3,27.2,0.8,1.9,19.5,2.4,9.9,4.2,1.1,14.6,91.3,76.9,8.7,23.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,84,146,14,NA,5,63,17,35,29,22,40,234,236,308,84,146,14,NA,5,63,17,35,29,22,40,234,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,11.9,32.2,20,19.3,9.1,27.6,14,19.3,11.9,32.2,20,19.3,9.1,27.6,14,0,0,0,0,0,0,0,0,"(CONTRACTS OF 40,000 POUNDS)","A20","Combined"
"5","LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE","060711",2006-07-11,"057642","CME","00","057",274538,45710,128991,73393,1983,4946,51338,6503,27417,8187,2443,38852,249843,211135,24695,63403,274538,45710,128991,73393,1983,4946,51338,6503,27417,8187,2443,38852,249843,211135,24695,63403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6570,7797,4921,509,-91,-86,-808,137,984,-2970,-527,-199,5227,5139,1343,1431,100,16.6,47,26.7,0.7,1.8,18.7,2.4,10,3,0.9,14.2,91,76.9,9,23.1,100,16.6,47,26.7,0.7,1.8,18.7,2.4,10,3,0.9,14.2,91,76.9,9,23.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,89,151,14,NA,5,63,17,34,36,22,46,246,251,324,89,151,14,NA,5,63,17,34,36,22,46,246,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,10.5,30.2,18.3,19.1,8.3,27.1,13,19.1,10.5,30.2,18.3,19.1,8.3,27.1,13,0,0,0,0,0,0,0,0,"(CONTRACTS OF 40,000 POUNDS)","A20","Combined"
"6","LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE","060718",2006-07-18,"057642","CME","00","057",273328,41994,121164,72801,1905,5131,48948,6802,29143,7575,4539,42119,247710,210803,25618,62525,273328,41994,121164,72801,1905,5131,48948,6802,29143,7575,4539,42119,247710,210803,25618,62525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1210,-3716,-7826,-592,-78,185,-2391,298,1726,-612,2096,3267,-2133,-332,923,-878,100,15.4,44.3,26.6,0.7,1.9,17.9,2.5,10.7,2.8,1.7,15.4,90.6,77.1,9.4,22.9,100,15.4,44.3,26.6,0.7,1.9,17.9,2.5,10.7,2.8,1.7,15.4,90.6,77.1,9.4,22.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,85,149,14,NA,5,63,16,46,42,25,47,253,261,333,85,149,14,NA,5,63,16,46,42,25,47,253,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,9.9,29.4,17.5,18.9,8,26.9,12.8,18.9,9.9,29.4,17.5,18.9,8,26.9,12.8,0,0,0,0,0,0,0,0,"(CONTRACTS OF 40,000 POUNDS)","A20","Combined"
"7","LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE","060725",2006-07-25,"057642","CME","00","057",275833,42861,121387,73707,1781,5336,46440,7681,30536,6794,5126,42404,248077,214251,27756,61582,275833,42861,121387,73707,1781,5336,46440,7681,30536,6794,5126,42404,248077,214251,27756,61582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505,867,223,906,-124,206,-2508,880,1393,-781,587,285,367,3448,2138,-942,100,15.5,44,26.7,0.6,1.9,16.8,2.8,11.1,2.5,1.9,15.4,89.9,77.7,10.1,22.3,100,15.5,44,26.7,0.6,1.9,16.8,2.8,11.1,2.5,1.9,15.4,89.9,77.7,10.1,22.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,85,142,14,NA,6,57,17,47,38,24,48,253,263,329,85,142,14,NA,6,57,17,47,38,24,48,253,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,9.6,29.2,17.4,19,7.8,27,12.3,19.1,9.6,29.2,17.4,19,7.8,27,12.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 40,000 POUNDS)","A20","Combined"
"8","LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE","060801",2006-08-01,"057642","CME","00","057",276029,43128,120874,74952,1948,4069,44902,8681,31545,7845,4185,40672,247114,211975,28914,64053,276029,43128,120874,74952,1948,4069,44902,8681,31545,7845,4185,40672,247114,211975,28914,64053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,267,-513,1245,167,-1267,-1538,1000,1010,1051,-941,-1732,-963,-2276,1158,2471,100,15.6,43.8,27.2,0.7,1.5,16.3,3.1,11.4,2.8,1.5,14.7,89.5,76.8,10.5,23.2,100,15.6,43.8,27.2,0.7,1.5,16.3,3.1,11.4,2.8,1.5,14.7,89.5,76.8,10.5,23.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,94,147,14,NA,6,58,20,47,39,27,53,268,267,340,94,147,14,NA,6,58,20,47,39,27,53,268,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,10.6,29.5,17.3,19.3,8.7,27.5,13.3,19.3,10.6,29.5,17.3,19.3,8.7,27.5,13.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 40,000 POUNDS)","A20","Combined"
"9","LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE","060808",2006-08-08,"057642","CME","00","057",262157,39597,120382,74844,2056,3348,46228,8507,26112,8632,4479,33354,232116,198238,30042,63919,262157,39597,120382,74844,2056,3348,46228,8507,26112,8632,4479,33354,232116,198238,30042,63919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13871,-3531,-492,-108,108,-721,1327,-174,-5434,787,294,-7318,-14999,-13737,1128,-134,100,15.1,45.9,28.5,0.8,1.3,17.6,3.2,10,3.3,1.7,12.7,88.5,75.6,11.5,24.4,100,15.1,45.9,28.5,0.8,1.3,17.6,3.2,10,3.3,1.7,12.7,88.5,75.6,11.5,24.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,93,145,14,NA,5,60,22,41,40,31,59,274,269,349,93,145,14,NA,5,60,22,41,40,31,59,274,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,11.6,29.9,18,20.1,10.6,28.9,15.6,20.1,11.6,29.9,18,20.1,10.6,28.9,15.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 40,000 POUNDS)","A20","Combined"
"10","LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE","060815",2006-08-15,"057642","CME","00","057",235116,25225,105415,74717,1993,3070,45852,5970,21952,6666,6110,30889,208371,175399,26745,59718,235116,25225,105415,74717,1993,3070,45852,5970,21952,6666,6110,30889,208371,175399,26745,59718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27041,-14372,-14967,-127,-62,-279,-376,-2538,-4160,-1966,1630,-2465,-23745,-22840,-3296,-4202,100,10.7,44.8,31.8,0.8,1.3,19.5,2.5,9.3,2.8,2.6,13.1,88.6,74.6,11.4,25.4,100,10.7,44.8,31.8,0.8,1.3,19.5,2.5,9.3,2.8,2.6,13.1,88.6,74.6,11.4,25.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,83,142,14,NA,5,63,24,36,40,28,49,257,252,339,83,142,14,NA,5,63,24,36,40,28,49,257,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2,13.1,33.1,20.5,22.2,12,32.1,16.7,22.2,13.1,33.1,20.5,22.2,12,32.1,16.7,0,0,0,0,0,0,0,0,"(CONTRACTS OF 40,000 POUNDS)","A20","Combined"
