"","Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_MM_DD_YYYY","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_ALL","Prod_Merc_Positions_Short_ALL","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_ALL","M_Money_Positions_Short_ALL","M_Money_Positions_Spread_ALL","Other_Rept_Positions_Long_ALL","Other_Rept_Positions_Short_ALL","Other_Rept_Positions_Spread_ALL","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap_Positions_Short_Old","Swap_Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap_Positions_Short_Other","Swap_Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Othr","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Othr","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_SubGroup_Code","FutOnly_or_Combined"
"1","MILK, Class III - CHICAGO MERCANTILE EXCHANGE","060613",2006-06-13,"052641","CME","00","052",37396,27566,17477,0,0,0,0,108,0,907,1766,3974,32448,23326,4948,14070,37396,27566,17477,0,0,0,0,108,0,907,1766,3974,32448,23326,4948,14070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,73.7,46.7,0,0,0,0,0.3,0,2.4,4.7,10.6,86.8,62.4,13.2,37.6,100,73.7,46.7,0,0,0,0,0.3,0,2.4,4.7,10.6,86.8,62.4,13.2,37.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,22,17,0,0,0,0,NA,0,7,5,8,31,29,42,22,17,0,0,0,0,NA,0,7,5,8,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.8,29.8,67.2,42.6,48.7,28.7,64.4,37.6,48.8,29.8,67.2,42.6,48.7,28.7,64.4,37.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)","A25","Combined"
"2","MILK, Class III - CHICAGO MERCANTILE EXCHANGE","060620",2006-06-20,"052641","CME","00","052",38322,29469,18382,0,0,0,0,110,0,712,2251,3857,34038,24600,4284,13722,38322,29469,18382,0,0,0,0,110,0,712,2251,3857,34038,24600,4284,13722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926,1903,905,0,0,0,0,2,0,-195,485,-117,1590,1274,-664,-348,100,76.9,48,0,0,0,0,0.3,0,1.9,5.9,10.1,88.8,64.2,11.2,35.8,100,76.9,48,0,0,0,0,0.3,0,1.9,5.9,10.1,88.8,64.2,11.2,35.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,24,18,0,0,0,0,NA,0,4,9,7,33,30,45,24,18,0,0,0,0,NA,0,4,9,7,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.1,30.8,68.4,43.4,51,29.7,66.3,38.1,51.1,30.8,68.4,43.4,51,29.7,66.3,38.1,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)","A25","Combined"
"3","MILK, Class III - CHICAGO MERCANTILE EXCHANGE","060627",2006-06-27,"052641","CME","00","052",39079,30416,18625,0,0,0,0,613,0,672,2434,3735,34823,25406,4257,13673,39079,30416,18625,0,0,0,0,613,0,672,2434,3735,34823,25406,4257,13673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757,947,243,0,0,0,0,503,0,-40,183,-122,784,806,-27,-49,100,77.8,47.7,0,0,0,0,1.6,0,1.7,6.2,9.6,89.1,65,10.9,35,100,77.8,47.7,0,0,0,0,1.6,0,1.7,6.2,9.6,89.1,65,10.9,35,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,26,19,0,0,0,0,NA,0,4,9,9,36,33,48,26,19,0,0,0,0,NA,0,4,9,9,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,30.7,67.6,43.2,50.9,29.2,65.9,37.6,51,30.7,67.6,43.2,50.9,29.2,65.9,37.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)","A25","Combined"
"4","MILK, Class III - CHICAGO MERCANTILE EXCHANGE","060703",2006-07-03,"052641","CME","00","052",35412,27019,16981,0,0,0,24,633,0,599,2183,3271,30913,23067,4499,12345,35412,27019,16981,0,0,0,24,633,0,599,2183,3271,30913,23067,4499,12345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3667,-3396,-1644,0,0,0,24,20,0,-73,-251,-464,-3909,-2339,242,-1329,100,76.3,48,0,0,0,0.1,1.8,0,1.7,6.2,9.2,87.3,65.1,12.7,34.9,100,76.3,48,0,0,0,0.1,1.8,0,1.7,6.2,9.2,87.3,65.1,12.7,34.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,25,19,0,0,0,NA,NA,0,NA,11,9,36,33,48,25,19,0,0,0,NA,NA,0,NA,11,9,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,31,66.9,43.1,49.9,30,65.3,38.1,50,31,66.9,43.1,49.9,30,65.3,38.1,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)","A25","Combined"
"5","MILK, Class III - CHICAGO MERCANTILE EXCHANGE","060711",2006-07-11,"052641","CME","00","052",36111,27748,17087,0,0,0,75,1158,0,595,2698,3112,31531,24055,4581,12056,36111,27748,17087,0,0,0,75,1158,0,595,2698,3112,31531,24055,4581,12056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,729,106,0,0,0,51,525,0,-4,515,-158,617,988,82,-288,100,76.8,47.3,0,0,0,0.2,3.2,0,1.6,7.5,8.6,87.3,66.6,12.7,33.4,100,76.8,47.3,0,0,0,0.2,3.2,0,1.6,7.5,8.6,87.3,66.6,12.7,33.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,25,19,0,0,0,NA,4,0,NA,13,10,37,36,51,25,19,0,0,0,NA,4,0,NA,13,10,37,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.7,30.4,67,42.8,50.6,29.4,65.8,37.2,50.7,30.4,67,42.8,50.6,29.4,65.8,37.2,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)","A25","Combined"
"6","MILK, Class III - CHICAGO MERCANTILE EXCHANGE","060718",2006-07-18,"052641","CME","00","052",37063,28242,17437,0,0,0,104,1531,0,686,2764,3216,32249,24949,4814,12114,37063,28242,17437,0,0,0,104,1531,0,686,2764,3216,32249,24949,4814,12114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951,494,351,0,0,0,29,373,0,91,66,104,718,893,233,58,100,76.2,47,0,0,0,0.3,4.1,0,1.9,7.5,8.7,87,67.3,13,32.7,100,76.2,47,0,0,0,0.3,4.1,0,1.9,7.5,8.7,87,67.3,13,32.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,26,19,0,0,0,NA,4,0,NA,13,11,39,37,52,26,19,0,0,0,NA,4,0,NA,13,11,39,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.7,31.1,66.4,43.4,50.7,29.4,65.1,37.5,50.7,31.1,66.4,43.4,50.7,29.4,65.1,37.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)","A25","Combined"
"7","MILK, Class III - CHICAGO MERCANTILE EXCHANGE","060725",2006-07-25,"052641","CME","00","052",37949,28644,17731,0,0,0,152,1956,0,673,3244,3328,32797,26258,5152,11692,37949,28644,17731,0,0,0,152,1956,0,673,3244,3328,32797,26258,5152,11692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,402,293,0,0,0,48,425,0,-13,480,111,549,1309,338,-423,100,75.5,46.7,0,0,0,0.4,5.2,0,1.8,8.5,8.8,86.4,69.2,13.6,30.8,100,75.5,46.7,0,0,0,0.4,5.2,0,1.8,8.5,8.8,86.4,69.2,13.6,30.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,26,19,0,0,0,NA,5,0,4,15,12,41,41,57,26,19,0,0,0,NA,5,0,4,15,12,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.8,31.3,66.1,43.6,50.8,29.2,64.7,38.1,50.8,31.3,66.1,43.6,50.8,29.2,64.7,38.1,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)","A25","Combined"
"8","MILK, Class III - CHICAGO MERCANTILE EXCHANGE","060801",2006-08-01,"052641","CME","00","052",38542,29383,18002,0,0,0,156,2064,0,706,3720,3325,33571,27111,4971,11431,38542,29383,18002,0,0,0,156,2064,0,706,3720,3325,33571,27111,4971,11431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,739,271,0,0,0,4,108,0,33,476,-2,774,853,-182,-261,100,76.2,46.7,0,0,0,0.4,5.4,0,1.8,9.7,8.6,87.1,70.3,12.9,29.7,100,76.2,46.7,0,0,0,0.4,5.4,0,1.8,9.7,8.6,87.1,70.3,12.9,29.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,29,20,0,0,0,NA,5,0,4,16,14,46,43,60,29,20,0,0,0,NA,5,0,4,16,14,46,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9,31.8,64.4,43.9,49.8,29.2,63.4,38.9,49.9,31.8,64.4,43.9,49.8,29.2,63.4,38.9,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)","A25","Combined"
"9","MILK, Class III - CHICAGO MERCANTILE EXCHANGE","060808",2006-08-08,"052641","CME","00","052",34755,26501,16336,0,0,0,168,2086,0,801,2999,2981,30450,24402,4305,10353,34755,26501,16336,0,0,0,168,2086,0,801,2999,2981,30450,24402,4305,10353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3787,-2883,-1666,0,0,0,11,23,0,95,-721,-345,-3121,-2709,-666,-1077,100,76.2,47,0,0,0,0.5,6,0,2.3,8.6,8.6,87.6,70.2,12.4,29.8,100,76.2,47,0,0,0,0.5,6,0,2.3,8.6,8.6,87.6,70.2,12.4,29.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,27,18,0,0,0,NA,5,0,5,15,13,43,41,58,27,18,0,0,0,NA,5,0,5,15,13,43,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.7,32.4,63.5,44,48.7,30.7,62.4,39.7,48.7,32.4,63.5,44,48.7,30.7,62.4,39.7,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)","A25","Combined"
"10","MILK, Class III - CHICAGO MERCANTILE EXCHANGE","060815",2006-08-15,"052641","CME","00","052",34938,26469,16454,0,0,0,123,2012,0,905,2484,2873,30370,23824,4568,11114,34938,26469,16454,0,0,0,123,2012,0,905,2484,2873,30370,23824,4568,11114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,-32,119,0,0,0,-45,-74,0,104,-516,-107,-80,-578,263,761,100,75.8,47.1,0,0,0,0.4,5.8,0,2.6,7.1,8.2,86.9,68.2,13.1,31.8,100,75.8,47.1,0,0,0,0.4,5.8,0,2.6,7.1,8.2,86.9,68.2,13.1,31.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,26,17,0,0,0,NA,5,0,6,14,15,44,40,57,26,17,0,0,0,NA,5,0,6,14,15,44,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5,32.4,62.7,44.4,48.5,31.2,61.9,40.3,48.5,32.4,62.7,44.4,48.5,31.2,61.9,40.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)","A25","Combined"
