"","Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_MM_DD_YYYY","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_ALL","Prod_Merc_Positions_Short_ALL","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_ALL","M_Money_Positions_Short_ALL","M_Money_Positions_Spread_ALL","Other_Rept_Positions_Long_ALL","Other_Rept_Positions_Short_ALL","Other_Rept_Positions_Spread_ALL","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap_Positions_Short_Old","Swap_Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap_Positions_Short_Other","Swap_Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Othr","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Othr","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_SubGroup_Code","FutOnly_or_Combined"
"1","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","060613",2006-06-13,"023651","NYME","01","023",1266505,196619,210564,49803,87411,242971,82672,64990,469769,16412,19730,128706,1186951,1224141,79554,42363,1266505,196619,210564,49803,87411,242971,82672,64990,469769,16412,19730,128706,1186951,1224141,79554,42363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,15.5,16.6,3.9,6.9,19.2,6.5,5.1,37.1,1.3,1.6,10.2,93.7,96.7,6.3,3.3,100,15.5,16.6,3.9,6.9,19.2,6.5,5.1,37.1,1.3,1.6,10.2,93.7,96.7,6.3,3.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,66,59,10,17,25,39,41,48,33,26,50,213,207,238,66,59,10,17,25,39,41,48,33,26,50,213,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,28,43.3,41.7,6.4,5.5,8.3,8.2,30.3,28,43.3,41.7,6.4,5.5,8.3,8.2,0,0,0,0,0,0,0,0,"(10,000 MMBTU'S)","N10","Combined"
"2","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","060620",2006-06-20,"023651","NYME","01","023",1314953,201615,219146,48392,89675,250704,76908,51055,504933,13605,20683,133281,1229438,1269477,85515,45476,1314953,201615,219146,48392,89675,250704,76908,51055,504933,13605,20683,133281,1229438,1269477,85515,45476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48448,4996,8582,-1411,2263,7733,-5764,-13936,35165,-2806,952,4575,42487,45335,5961,3113,100,15.3,16.7,3.7,6.8,19.1,5.8,3.9,38.4,1,1.6,10.1,93.5,96.5,6.5,3.5,100,15.3,16.7,3.7,6.8,19.1,5.8,3.9,38.4,1,1.6,10.1,93.5,96.5,6.5,3.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,66,61,9,17,24,46,32,47,29,23,49,212,199,231,66,61,9,17,24,46,32,47,29,23,49,212,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,28.4,43.7,42.4,6,5.6,7.8,7.9,30.5,28.4,43.7,42.4,6,5.6,7.8,7.9,0,0,0,0,0,0,0,0,"(10,000 MMBTU'S)","N10","Combined"
"3","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","060627",2006-06-27,"023651","NYME","01","023",1276105,193286,206879,49710,95195,244356,84494,62551,489915,13699,18806,115702,1191161,1233405,84943,42700,1276105,193286,206879,49710,95195,244356,84494,62551,489915,13699,18806,115702,1191161,1233405,84943,42700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38848,-8328,-12267,1318,5520,-6348,7586,11496,-15019,93,-1877,-17579,-38277,-36072,-571,-2776,100,15.1,16.2,3.9,7.5,19.1,6.6,4.9,38.4,1.1,1.5,9.1,93.3,96.7,6.7,3.3,100,15.1,16.2,3.9,7.5,19.1,6.6,4.9,38.4,1.1,1.5,9.1,93.3,96.7,6.7,3.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,69,61,9,16,22,39,40,44,28,25,47,208,198,233,69,61,9,16,22,39,40,44,28,25,47,208,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28.7,44.1,42.8,6.8,5.5,8.7,8.1,31,28.7,44.1,42.8,6.8,5.5,8.7,8.1,0,0,0,0,0,0,0,0,"(10,000 MMBTU'S)","N10","Combined"
"4","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","060703",2006-07-03,"023651","NYME","01","023",1273955,196401,207792,50636,93243,247657,82459,63430,486447,16270,19123,114582,1194452,1232274,79504,41682,1273955,196401,207792,50636,93243,247657,82459,63430,486447,16270,19123,114582,1194452,1232274,79504,41682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2149,3114,912,926,-1952,3301,-2034,879,-3468,2572,317,-1120,3291,-1131,-5440,-1018,100,15.4,16.3,4,7.3,19.4,6.5,5,38.2,1.3,1.5,9,93.8,96.7,6.2,3.3,100,15.4,16.3,4,7.3,19.4,6.5,5,38.2,1.3,1.5,9,93.8,96.7,6.2,3.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,68,59,9,16,22,37,37,42,30,28,50,208,197,231,68,59,9,16,22,37,37,42,30,28,50,208,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28.7,44.1,42.9,6.8,5.6,8.8,8.3,31,28.7,44.1,42.9,6.8,5.6,8.8,8.3,0,0,0,0,0,0,0,0,"(10,000 MMBTU'S)","N10","Combined"
"5","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","060711",2006-07-11,"023651","NYME","01","023",1323842,205644,215392,50326,93101,258061,87172,72656,500562,17314,18581,122213,1241292,1280566,82550,43277,1323842,205644,215392,50326,93101,258061,87172,72656,500562,17314,18581,122213,1241292,1280566,82550,43277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49887,9244,7601,-309,-141,10404,4712,9226,14116,1044,-543,7630,46840,48292,3047,1595,100,15.5,16.3,3.8,7,19.5,6.6,5.5,37.8,1.3,1.4,9.2,93.8,96.7,6.2,3.3,100,15.5,16.3,3.8,7,19.5,6.6,5.5,37.8,1.3,1.4,9.2,93.8,96.7,6.2,3.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,70,61,9,16,22,37,43,44,29,29,50,210,206,238,70,61,9,16,22,37,43,44,29,29,50,210,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,28.1,43.5,42,6.4,5.4,8.4,8.1,30.3,28.1,43.5,42,6.4,5.4,8.4,8.1,0,0,0,0,0,0,0,0,"(10,000 MMBTU'S)","N10","Combined"
"6","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","060718",2006-07-18,"023651","NYME","01","023",1370264,219812,230759,49520,96239,264173,90891,69898,524304,14994,19887,120480,1284175,1325740,86090,44524,1370264,219812,230759,49520,96239,264173,90891,69898,524304,14994,19887,120480,1284175,1325740,86090,44524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46422,14168,15367,-806,3138,6112,3719,-2758,23742,-2320,1306,-1733,42883,45175,3540,1248,100,16,16.8,3.6,7,19.3,6.6,5.1,38.3,1.1,1.5,8.8,93.7,96.8,6.3,3.2,100,16,16.8,3.6,7,19.3,6.6,5.1,38.3,1.1,1.5,8.8,93.7,96.8,6.3,3.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,70,61,9,16,22,35,45,46,30,30,52,216,209,242,70,61,9,16,22,35,45,46,30,30,52,216,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,28,44,42,6.3,5.3,8.3,8,30.4,28,44,42,6.3,5.3,8.3,8,0,0,0,0,0,0,0,0,"(10,000 MMBTU'S)","N10","Combined"
"7","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","060725",2006-07-25,"023651","NYME","01","023",1385753,211918,225823,50532,97216,272488,85821,56946,543226,12313,19760,126062,1302360,1341521,83393,44232,1385753,211918,225823,50532,97216,272488,85821,56946,543226,12313,19760,126062,1302360,1341521,83393,44232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15488,-7895,-4936,1012,977,8315,-5070,-12952,18922,-2681,-127,5582,18185,15781,-2697,-292,100,15.3,16.3,3.6,7,19.7,6.2,4.1,39.2,0.9,1.4,9.1,94,96.8,6,3.2,100,15.3,16.3,3.6,7,19.7,6.2,4.1,39.2,0.9,1.4,9.1,94,96.8,6,3.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,70,62,9,18,25,38,37,42,33,27,53,215,205,237,70,62,9,18,25,38,37,42,33,27,53,215,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.1,27.6,44.3,42.3,6.1,5.4,8,7.9,30.1,27.6,44.3,42.3,6.1,5.4,8,7.9,0,0,0,0,0,0,0,0,"(10,000 MMBTU'S)","N10","Combined"
"8","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","060801",2006-08-01,"023651","NYME","01","023",1401570,209169,227894,50278,92100,280002,77717,47811,576275,10163,19718,117079,1320682,1360880,80888,40690,1401570,209169,227894,50278,92100,280002,77717,47811,576275,10163,19718,117079,1320682,1360880,80888,40690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15817,-2749,2071,-254,-5116,7514,-8105,-9135,33049,-2151,-42,-8982,18322,19359,-2505,-3542,100,14.9,16.3,3.6,6.6,20,5.5,3.4,41.1,0.7,1.4,8.4,94.2,97.1,5.8,2.9,100,14.9,16.3,3.6,6.6,20,5.5,3.4,41.1,0.7,1.4,8.4,94.2,97.1,5.8,2.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,70,61,9,18,26,35,34,39,30,30,54,214,199,233,70,61,9,18,26,35,34,39,30,30,54,214,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.2,29.2,45.4,43.8,5.6,5.3,7.5,7.7,31.2,29.2,45.4,43.8,5.6,5.3,7.5,7.7,0,0,0,0,0,0,0,0,"(10,000 MMBTU'S)","N10","Combined"
"9","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","060808",2006-08-08,"023651","NYME","01","023",1431438,211762,232814,52217,101488,271280,80899,48179,600922,11560,18102,120252,1348891,1393036,82547,38402,1431438,211762,232814,52217,101488,271280,80899,48179,600922,11560,18102,120252,1348891,1393036,82547,38402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29868,2593,4919,1939,9387,-8723,3183,369,24648,1397,-1616,3172,28209,32156,1659,-2289,100,14.8,16.3,3.6,7.1,19,5.7,3.4,42,0.8,1.3,8.4,94.2,97.3,5.8,2.7,100,14.8,16.3,3.6,7.1,19,5.7,3.4,42,0.8,1.3,8.4,94.2,97.3,5.8,2.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,71,61,10,18,26,40,33,40,28,31,55,220,198,235,71,61,10,18,26,40,33,40,28,31,55,220,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2,30.1,46.4,45,5.6,5.9,7.5,8.4,32.2,30.1,46.4,45,5.6,5.9,7.5,8.4,0,0,0,0,0,0,0,0,"(10,000 MMBTU'S)","N10","Combined"
"10","NATURAL GAS - NEW YORK MERCANTILE EXCHANGE","060815",2006-08-15,"023651","NYME","01","023",1439389,201948,225087,52753,105007,273370,88999,51923,598717,12799,19909,127375,1355961,1401388,83427,38001,1439389,201948,225087,52753,105007,273370,88999,51923,598717,12799,19909,127375,1355961,1401388,83427,38001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7951,-9813,-7727,536,3520,2090,8100,3743,-2205,1240,1807,7123,7070,8352,881,-401,100,14,15.6,3.7,7.3,19,6.2,3.6,41.6,0.9,1.4,8.8,94.2,97.4,5.8,2.6,100,14,15.6,3.7,7.3,19,6.2,3.6,41.6,0.9,1.4,8.8,94.2,97.4,5.8,2.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,67,59,10,18,26,40,29,40,29,33,59,218,199,233,67,59,10,18,26,40,29,40,29,33,59,218,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29.5,46.2,44.6,5.9,6.2,7.9,8.8,32,29.5,46.2,44.6,5.9,6.2,7.9,8.8,0,0,0,0,0,0,0,0,"(10,000 MMBTU'S)","N10","Combined"
