"","Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_MM_DD_YYYY","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_ALL","Prod_Merc_Positions_Short_ALL","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_ALL","M_Money_Positions_Short_ALL","M_Money_Positions_Spread_ALL","Other_Rept_Positions_Long_ALL","Other_Rept_Positions_Short_ALL","Other_Rept_Positions_Spread_ALL","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap_Positions_Short_Old","Swap_Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap_Positions_Short_Other","Swap_Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Othr","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Othr","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_SubGroup_Code","FutOnly_or_Combined"
"1","OATS - CHICAGO BOARD OF TRADE","060613",2006-06-13,"004603","CBT","00","004",15379,2324,10642,1930,0,94,2951,196,536,2382,88,1278,11495,12834,3884,2545,15378,2323,10642,1930,0,94,2951,196,536,2382,88,1278,11494,12834,3884,2544,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,15.1,69.2,12.5,0,0.6,19.2,1.3,3.5,15.5,0.6,8.3,74.7,83.4,25.3,16.6,100,15.1,69.2,12.6,0,0.6,19.2,1.3,3.5,15.5,0.6,8.3,74.7,83.5,25.3,16.5,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,100,52,8,15,NA,0,NA,11,NA,4,13,NA,9,44,30,52,8,15,NA,0,NA,11,NA,4,13,NA,9,44,30,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,25.7,39.1,39.2,57.4,20.3,38.1,33.3,51.5,25.7,39.1,39.2,57.4,20.3,38.1,33.3,51.5,100,0,100,0,100,0,100,0,"(CONTRACTS OF 5,000 BUSHELS)","A10","Combined"
"2","OATS - CHICAGO BOARD OF TRADE","060620",2006-06-20,"004603","CBT","00","004",15409,2403,11009,1930,0,94,3341,195,536,2449,82,1351,12103,13267,3305,2141,15408,2402,11009,1930,0,94,3341,195,536,2450,82,1350,12102,13266,3305,2141,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,30,78,367,0,0,0,390,-1,0,67,-6,73,608,434,-578,-404,100,15.6,71.4,12.5,0,0.6,21.7,1.3,3.5,15.9,0.5,8.8,78.5,86.1,21.5,13.9,100,15.6,71.5,12.5,0,0.6,21.7,1.3,3.5,15.9,0.5,8.8,78.5,86.1,21.5,13.9,100,100,0,0,0,0,0,0,0,0,100,0,100,100,0,0,56,11,15,NA,0,NA,13,NA,4,13,4,9,51,30,56,11,15,NA,0,NA,13,NA,4,13,4,9,51,30,NA,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA,25.8,40.6,39.9,58.9,20.7,39.5,34,52.9,25.8,40.6,39.9,58.9,20.7,39.6,34,52.9,100,100,100,100,100,100,100,100,"(CONTRACTS OF 5,000 BUSHELS)","A10","Combined"
"3","OATS - CHICAGO BOARD OF TRADE","060627",2006-06-27,"004603","CBT","00","004",15369,2074,11697,1941,0,94,4599,191,443,2223,0,487,11861,12913,3508,2456,15368,2073,11697,1941,0,94,4599,191,443,2223,0,487,11860,12913,3508,2455,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-40,-329,688,11,0,0,1258,-4,-93,-226,-82,-863,-243,-355,203,315,100,13.5,76.1,12.6,0,0.6,29.9,1.2,2.9,14.5,0,3.2,77.2,84,22.8,16,100,13.5,76.1,12.6,0,0.6,29.9,1.2,2.9,14.5,0,3.2,77.2,84,22.8,16,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,100,48,8,14,NA,0,NA,16,NA,NA,9,NA,4,42,22,48,8,14,NA,0,NA,16,NA,NA,9,NA,4,42,22,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,24.9,44.8,39.5,64,20.9,43.6,34.4,59,24.9,44.8,39.5,64,20.9,43.6,34.4,59,100,0,100,0,100,0,100,0,"(CONTRACTS OF 5,000 BUSHELS)","A10","Combined"
"4","OATS - CHICAGO BOARD OF TRADE","060703",2006-07-03,"004603","CBT","00","004",14845,1715,11182,1960,0,94,4249,195,443,2228,81,473,11162,12468,3683,2377,14844,1714,11182,1960,0,94,4249,195,443,2228,81,473,11161,12468,3683,2376,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-524,-359,-515,19,0,0,-350,4,0,6,81,-14,-698,-445,175,-79,100,11.6,75.3,13.2,0,0.6,28.6,1.3,3,15,0.5,3.2,75.2,84,24.8,16,100,11.5,75.3,13.2,0,0.6,28.6,1.3,3,15,0.5,3.2,75.2,84,24.8,16,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,100,48,6,13,NA,0,NA,16,NA,NA,9,NA,4,40,22,48,6,13,NA,0,NA,16,NA,NA,9,NA,4,40,22,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,23.5,41.6,38.6,62.3,21.3,40.7,35.2,57.7,23.5,41.6,38.6,62.3,21.3,40.7,35.2,57.7,100,0,100,0,100,0,100,0,"(CONTRACTS OF 5,000 BUSHELS)","A10","Combined"
"5","OATS - CHICAGO BOARD OF TRADE","060711",2006-07-11,"004603","CBT","00","004",15702,1617,12031,1981,0,94,4651,241,293,2371,123,729,11735,13511,3966,2191,15690,1616,12031,1981,0,94,4651,241,293,2371,123,729,11734,13511,3955,2179,12,1,0,0,0,0,0,0,0,0,0,0,1,0,11,12,856,-98,849,21,0,0,402,47,-150,142,42,256,573,1043,283,-186,100,10.3,76.6,12.6,0,0.6,29.6,1.5,1.9,15.1,0.8,4.6,74.7,86,25.3,14,100,10.3,76.7,12.6,0,0.6,29.6,1.5,1.9,15.1,0.8,4.6,74.8,86.1,25.2,13.9,100,8.3,0,0,0,0,0,0,0,0,0,0,8.3,0,91.7,100,52,7,16,NA,0,NA,15,NA,NA,11,NA,5,42,26,52,7,16,NA,0,NA,15,NA,NA,11,NA,5,42,26,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,22.7,40.7,37.1,62.2,20.9,39.9,34.3,57.9,22.7,40.8,37.1,62.3,20.9,39.9,34.4,57.9,8.3,0,8.3,0,8.3,0,8.3,0,"(CONTRACTS OF 5,000 BUSHELS)","A10","Combined"
"6","OATS - CHICAGO BOARD OF TRADE","060718",2006-07-18,"004603","CBT","00","004",16095,1895,11947,1977,10,84,4918,280,223,2406,164,991,12494,13699,3601,2396,16072,1894,11947,1977,10,84,4918,280,223,2402,164,985,12483,13693,3589,2379,23,1,0,0,0,0,0,0,0,10,6,0,11,6,12,17,394,278,-84,-4,10,-10,267,39,-70,36,41,262,759,188,-365,205,100,11.8,74.2,12.3,0.1,0.5,30.6,1.7,1.4,15,1,6.2,77.6,85.1,22.4,14.9,100,11.8,74.3,12.3,0.1,0.5,30.6,1.7,1.4,14.9,1,6.1,77.7,85.2,22.3,14.8,100,4.3,0,0,0,0,0,0,0,43.5,26.1,0,47.8,26.1,52.2,73.9,53,7,16,NA,NA,NA,17,NA,NA,10,NA,6,43,26,53,7,16,NA,NA,NA,17,NA,NA,10,NA,6,43,26,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,24.3,39.5,39.1,60.1,20.9,38.4,34.6,55.4,24.4,39.6,39.1,60.2,20.9,38.5,34.7,55.5,47.8,26.1,47.8,26.1,47.8,26.1,47.8,26.1,"(CONTRACTS OF 5,000 BUSHELS)","A10","Combined"
"7","OATS - CHICAGO BOARD OF TRADE","060725",2006-07-25,"004603","CBT","00","004",15346,2027,11673,1986,0,94,4009,295,173,2395,156,941,11624,13332,3721,2014,15310,2026,11673,1986,0,94,4009,295,173,2380,156,941,11608,13332,3701,1978,36,1,0,0,0,0,0,0,0,15,0,0,16,0,20,36,-750,132,-274,9,-10,10,-909,14,-50,-12,-8,-50,-870,-367,120,-383,100,13.2,76.1,12.9,0,0.6,26.1,1.9,1.1,15.6,1,6.1,75.8,86.9,24.2,13.1,100,13.2,76.2,13,0,0.6,26.2,1.9,1.1,15.5,1,6.1,75.8,87.1,24.2,12.9,100,2.8,0,0,0,0,0,0,0,41.7,0,0,44.4,0,55.6,100,52,8,16,NA,0,NA,16,NA,NA,12,NA,5,42,25,52,8,16,NA,0,NA,16,NA,NA,12,NA,5,42,25,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,25.4,40.1,40,62,21.6,39.1,34.8,56.2,25.4,40.2,40.1,62.1,21.7,39.2,34.9,56.3,44.4,0,44.4,0,44.4,0,44.4,0,"(CONTRACTS OF 5,000 BUSHELS)","A10","Combined"
"8","OATS - CHICAGO BOARD OF TRADE","060801",2006-08-01,"004603","CBT","00","004",15204,1540,10747,1920,0,94,3777,333,223,2296,170,1523,11373,13090,3831,2114,15162,1539,10737,1920,0,94,3777,333,223,2286,170,1510,11349,13067,3813,2095,42,1,10,0,0,0,0,0,0,15,5,8,24,23,18,19,-141,-487,-926,-66,0,0,-232,38,50,-99,14,582,-252,-242,110,101,100,10.1,70.7,12.6,0,0.6,24.8,2.2,1.5,15.1,1.1,10,74.8,86.1,25.2,13.9,100,10.2,70.8,12.7,0,0.6,24.9,2.2,1.5,15.1,1.1,10,74.8,86.2,25.2,13.8,100,2.4,23.8,0,0,0,0,0,0,35.7,11.9,19,57.1,54.8,42.9,45.2,53,9,15,NA,0,NA,14,NA,NA,11,4,8,45,27,53,9,15,NA,0,NA,14,NA,NA,12,4,8,45,27,5,NA,NA,0,0,0,0,0,0,NA,NA,NA,4,NA,23.5,38.9,38.1,57.4,21.8,37.4,35.1,53.5,23.6,38.9,38.2,57.5,21.8,37.4,35.2,53.6,57.1,54.8,57.1,54.8,38.1,35.7,38.1,35.7,"(CONTRACTS OF 5,000 BUSHELS)","A10","Combined"
"9","OATS - CHICAGO BOARD OF TRADE","060808",2006-08-08,"004603","CBT","00","004",14326,1809,10307,1989,0,69,3437,336,273,2133,166,1174,10884,12326,3442,2000,14282,1808,10295,1989,0,69,3437,336,273,2120,166,1168,10864,12308,3418,1974,44,1,12,0,0,0,0,0,0,15,2,4,20,18,24,26,-878,268,-440,69,0,-25,-340,3,50,-163,-3,-348,-489,-764,-389,-114,100,12.6,71.9,13.9,0,0.5,24,2.3,1.9,14.9,1.2,8.2,76,86,24,14,100,12.7,72.1,13.9,0,0.5,24.1,2.4,1.9,14.8,1.2,8.2,76.1,86.2,23.9,13.8,100,2.3,27.3,0,0,0,0,0,0,34.1,4.5,9.1,45.5,40.9,54.5,59.1,50,10,16,NA,0,NA,13,NA,NA,9,NA,5,41,25,50,10,16,NA,0,NA,13,NA,NA,10,NA,5,41,25,4,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,24.2,38,41.1,57.6,24.2,35.9,38.9,52.5,24.3,38,41.3,57.7,24.3,36,39,52.6,45.5,40.9,45.5,40.9,36.4,31.8,36.4,31.8,"(CONTRACTS OF 5,000 BUSHELS)","A10","Combined"
"10","OATS - CHICAGO BOARD OF TRADE","060815",2006-08-15,"004603","CBT","00","004",13530,1877,9680,1988,0,0,2919,289,323,2026,18,1040,10173,11349,3357,2180,13486,1876,9663,1988,0,0,2919,289,323,2013,18,1034,10153,11326,3333,2159,44,1,17,0,0,0,0,0,0,15,2,4,20,23,24,21,-797,69,-628,-1,0,-69,-518,-47,50,-107,-149,-135,-711,-977,-85,180,100,13.9,71.5,14.7,0,0,21.6,2.1,2.4,15,0.1,7.7,75.2,83.9,24.8,16.1,100,13.9,71.7,14.7,0,0,21.6,2.1,2.4,14.9,0.1,7.7,75.3,84,24.7,16,100,2.3,38.6,0,0,0,0,0,0,34.1,4.5,9.1,45.5,52.3,54.5,47.7,42,10,15,NA,0,0,9,NA,NA,8,NA,5,35,22,42,10,15,NA,0,0,9,NA,NA,8,NA,5,35,22,4,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,25.7,36.6,43.5,58.5,25.7,34.5,42,52.3,25.8,36.6,43.7,58.5,25.8,34.5,42.2,52.4,45.5,52.3,45.5,52.3,36.4,43.2,36.4,43.2,"(CONTRACTS OF 5,000 BUSHELS)","A10","Combined"
