"","Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_MM_DD_YYYY","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_ALL","Prod_Merc_Positions_Short_ALL","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_ALL","M_Money_Positions_Short_ALL","M_Money_Positions_Spread_ALL","Other_Rept_Positions_Long_ALL","Other_Rept_Positions_Short_ALL","Other_Rept_Positions_Spread_ALL","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap_Positions_Short_Old","Swap_Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap_Positions_Short_Other","Swap_Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Othr","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Othr","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_SubGroup_Code","FutOnly_or_Combined"
"1","ROUGH RICE - CHICAGO BOARD OF TRADE","060613",2006-06-13,"039601","CBT","00","039",15900,3632,11525,1220,0,0,2926,169,94,1929,97,1729,11530,13614,4369,2286,5844,397,4801,0,0,0,1875,159,0,1902,96,158,4333,5215,1512,629,10055,3235,6724,1220,0,0,1126,84,20,719,693,879,7198,8399,2858,1656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,22.8,72.5,7.7,0,0,18.4,1.1,0.6,12.1,0.6,10.9,72.5,85.6,27.5,14.4,100,6.8,82.2,0,0,0,32.1,2.7,0,32.5,1.6,2.7,74.1,89.2,25.9,10.8,100,32.2,66.9,12.1,0,0,11.2,0.8,0.2,7.1,6.9,8.7,71.6,83.5,28.4,16.5,72,21,23,NA,0,0,17,NA,NA,14,6,8,62,37,51,7,18,0,0,0,12,NA,0,12,NA,4,33,26,57,20,19,NA,0,0,9,NA,NA,8,6,7,47,31,18.7,51.3,29,62.1,11.1,44.6,20.4,51.5,34,53.8,49.8,71.5,34,53.7,48.9,71.4,24.7,53.2,37.3,64.9,20.9,44.9,31.4,53.2,"(CONTRACTS OF 200,000 POUNDS)","A10","Combined"
"2","ROUGH RICE - CHICAGO BOARD OF TRADE","060620",2006-06-20,"039601","CBT","00","039",15514,3605,10898,1221,0,0,2299,153,94,1954,232,2134,11306,13511,4208,2003,4692,207,3555,0,0,0,1185,139,0,1852,115,296,3540,4106,1152,586,10822,3398,7342,1221,0,0,1188,88,20,803,818,1136,7766,9405,3056,1417,-386,-27,-628,1,0,0,-627,-15,0,25,136,404,-224,-103,-161,-283,100,23.2,70.2,7.9,0,0,14.8,1,0.6,12.6,1.5,13.8,72.9,87.1,27.1,12.9,100,4.4,75.8,0,0,0,25.3,3,0,39.5,2.5,6.3,75.4,87.5,24.6,12.5,100,31.4,67.8,11.3,0,0,11,0.8,0.2,7.4,7.6,10.5,71.8,86.9,28.2,13.1,71,22,23,NA,0,0,14,NA,NA,15,6,11,59,41,46,8,18,0,0,0,7,NA,0,11,5,6,27,30,61,21,19,NA,0,0,9,NA,NA,9,9,9,49,34,20.3,51.8,30.9,63,12.3,45.6,21.8,52.6,44.3,52.6,57.3,67.4,44.3,52.5,55,67.2,23.1,55.7,35.3,67,19.6,48.1,30.6,56,"(CONTRACTS OF 200,000 POUNDS)","A10","Combined"
"3","ROUGH RICE - CHICAGO BOARD OF TRADE","060627",2006-06-27,"039601","CBT","00","039",14574,3760,10763,1250,0,0,2217,83,74,1777,210,1642,10720,12772,3854,1802,2312,303,1838,0,0,0,314,57,0,1279,55,17,1913,1967,399,345,12262,3457,8925,1250,0,0,1960,83,17,914,571,1209,8807,10805,3455,1457,-940,155,-134,29,0,0,-82,-70,-20,-176,-22,-492,-586,-739,-354,-201,100,25.8,73.9,8.6,0,0,15.2,0.6,0.5,12.2,1.4,11.3,73.6,87.6,26.4,12.4,100,13.1,79.5,0,0,0,13.6,2.5,0,55.3,2.4,0.7,82.7,85.1,17.3,14.9,100,28.2,72.8,10.2,0,0,16,0.7,0.1,7.5,4.7,9.9,71.8,88.1,28.2,11.9,65,21,24,NA,0,0,12,NA,NA,11,7,9,53,38,30,NA,14,0,0,0,NA,NA,0,9,NA,NA,14,17,63,21,20,NA,0,0,12,NA,NA,10,8,8,52,33,18,55.8,30.6,66.4,15.6,50.3,26.8,57.4,51.5,49.2,70.6,69.3,51.5,49.2,69.9,69.3,19.8,57.9,31.3,70.3,17.3,51.4,28.1,58.9,"(CONTRACTS OF 200,000 POUNDS)","A10","Combined"
"4","ROUGH RICE - CHICAGO BOARD OF TRADE","060703",2006-07-03,"039601","CBT","00","039",14925,3408,11276,1279,0,0,2522,159,74,2085,232,1693,11062,13434,3863,1491,14925,3408,11276,1279,0,0,2522,159,74,2085,232,1693,11062,13434,3863,1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,-352,512,29,0,0,305,76,0,308,22,52,342,662,9,-312,100,22.8,75.5,8.6,0,0,16.9,1.1,0.5,14,1.6,11.3,74.1,90,25.9,10,100,22.8,75.5,8.6,0,0,16.9,1.1,0.5,14,1.6,11.3,74.1,90,25.9,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,18,22,NA,0,0,12,NA,NA,16,4,10,51,38,66,18,22,NA,0,0,12,NA,NA,16,4,10,51,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,58.9,30.8,70.3,16.8,54,27.2,62.6,18.5,58.9,30.8,70.3,16.8,54,27.2,62.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)","A10","Combined"
"5","ROUGH RICE - CHICAGO BOARD OF TRADE","060711",2006-07-11,"039601","CBT","00","039",14342,3355,10997,1279,0,0,2779,153,74,1691,291,1305,10483,12819,3859,1523,14342,3355,10997,1279,0,0,2779,153,74,1691,291,1305,10483,12819,3859,1523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-583,-53,-279,0,0,0,257,-6,0,-394,59,-389,-578,-615,-5,32,100,23.4,76.7,8.9,0,0,19.4,1.1,0.5,11.8,2,9.1,73.1,89.4,26.9,10.6,100,23.4,76.7,8.9,0,0,19.4,1.1,0.5,11.8,2,9.1,73.1,89.4,26.9,10.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,18,24,NA,0,0,13,NA,NA,15,4,9,51,39,67,18,24,NA,0,0,13,NA,NA,15,4,9,51,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,59.1,28.8,69.9,15.3,54,26.4,63,17,59.1,28.8,69.9,15.3,54,26.4,63,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)","A10","Combined"
"6","ROUGH RICE - CHICAGO BOARD OF TRADE","060718",2006-07-18,"039601","CBT","00","039",14532,3405,11256,1285,0,0,2959,116,74,1531,295,1083,10337,12823,4194,1708,14532,3405,11256,1285,0,0,2959,116,74,1531,295,1083,10337,12823,4194,1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,50,259,6,0,0,180,-37,0,-159,4,-222,-146,4,336,185,100,23.4,77.5,8.8,0,0,20.4,0.8,0.5,10.5,2,7.5,71.1,88.2,28.9,11.8,100,23.4,77.5,8.8,0,0,20.4,0.8,0.5,10.5,2,7.5,71.1,88.2,28.9,11.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,18,23,NA,0,0,14,NA,NA,12,5,6,50,34,64,18,23,NA,0,0,14,NA,NA,12,5,6,50,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,58.8,28.5,70,15.3,53.7,26,63.6,17.1,58.8,28.5,70,15.3,53.7,26,63.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)","A10","Combined"
"7","ROUGH RICE - CHICAGO BOARD OF TRADE","060725",2006-07-25,"039601","CBT","00","039",14640,3626,11334,1295,0,0,2926,115,74,1447,290,1170,10539,12983,4101,1657,14640,3626,11334,1295,0,0,2926,115,74,1447,290,1170,10539,12983,4101,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,221,78,10,0,0,-33,-1,0,-84,-5,88,201,159,-93,-51,100,24.8,77.4,8.8,0,0,20,0.8,0.5,9.9,2,8,72,88.7,28,11.3,100,24.8,77.4,8.8,0,0,20,0.8,0.5,9.9,2,8,72,88.7,28,11.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,20,23,NA,0,0,13,NA,NA,11,6,7,51,35,63,20,23,NA,0,0,13,NA,NA,11,6,7,51,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,58.6,28.8,70.5,15.7,53.4,26.3,63.3,17,58.6,28.8,70.5,15.7,53.4,26.3,63.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)","A10","Combined"
"8","ROUGH RICE - CHICAGO BOARD OF TRADE","060801",2006-08-01,"039601","CBT","00","039",14882,4164,10888,1285,0,0,2380,94,94,1429,301,1640,10992,13018,3890,1864,14882,4164,10888,1285,0,0,2380,94,94,1429,301,1640,10992,13018,3890,1864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,538,-446,-10,0,0,-547,-20,20,-18,12,470,453,35,-211,207,100,28,73.2,8.6,0,0,16,0.6,0.6,9.6,2,11,73.9,87.5,26.1,12.5,100,28,73.2,8.6,0,0,16,0.6,0.6,9.6,2,11,73.9,87.5,26.1,12.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,20,23,NA,0,0,13,NA,NA,13,5,9,53,37,64,20,23,NA,0,0,13,NA,NA,13,5,9,53,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,56.5,31.4,68.4,15.7,50.9,26.8,59,18,56.5,31.4,68.4,15.7,50.9,26.8,59,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)","A10","Combined"
"9","ROUGH RICE - CHICAGO BOARD OF TRADE","060808",2006-08-08,"039601","CBT","00","039",14838,4576,10672,1311,0,0,2209,43,74,1236,371,2144,11550,13305,3288,1534,14838,4576,10672,1311,0,0,2209,43,74,1236,371,2144,11550,13305,3288,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43,412,-216,26,0,0,-170,-51,-20,-193,70,504,558,287,-602,-330,100,30.8,71.9,8.8,0,0,14.9,0.3,0.5,8.3,2.5,14.5,77.8,89.7,22.2,10.3,100,30.8,71.9,8.8,0,0,14.9,0.3,0.5,8.3,2.5,14.5,77.8,89.7,22.2,10.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,20,23,NA,0,0,13,NA,NA,13,5,10,52,37,64,20,23,NA,0,0,13,NA,NA,13,5,10,52,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,58.8,34.6,71.4,17.5,51.1,28.5,58.6,20.2,58.8,34.6,71.4,17.5,51.1,28.5,58.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 200,000 POUNDS)","A10","Combined"
"10","ROUGH RICE - CHICAGO BOARD OF TRADE","060815",2006-08-15,"039601","CBT","00","039",16864,4591,12361,1309,0,0,2821,27,61,2078,425,2401,13261,15275,3602,1589,16800,4536,12308,1309,0,0,2821,27,61,2078,426,2400,13205,15222,3594,1578,64,55,53,0,0,0,0,0,0,1,0,0,56,53,8,11,2025,15,1689,-2,0,0,612,-16,-13,842,54,256,1711,1970,314,55,100,27.2,73.3,7.8,0,0,16.7,0.2,0.4,12.3,2.5,14.2,78.6,90.6,21.4,9.4,100,27,73.3,7.8,0,0,16.8,0.2,0.4,12.4,2.5,14.3,78.6,90.6,21.4,9.4,100,85.9,82.8,0,0,0,0,0,0,1.6,0,0,87.5,82.8,12.5,17.2,72,21,23,NA,0,0,15,NA,NA,19,4,10,60,37,72,20,23,NA,0,0,15,NA,NA,19,4,10,59,37,5,NA,NA,0,0,0,0,0,0,NA,0,0,NA,NA,19.1,58,31.9,69.2,15.6,51.3,25.8,59.3,19,58.2,31.8,69.5,15.6,51.9,25.9,59.8,87.5,82.8,87.5,82.8,87.5,82.8,87.5,82.8,"(CONTRACTS OF 200,000 POUNDS)","A10","Combined"
