"","Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_MM_DD_YYYY","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_ALL","Prod_Merc_Positions_Short_ALL","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_ALL","M_Money_Positions_Short_ALL","M_Money_Positions_Spread_ALL","Other_Rept_Positions_Long_ALL","Other_Rept_Positions_Short_ALL","Other_Rept_Positions_Spread_ALL","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap_Positions_Short_Old","Swap_Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap_Positions_Short_Other","Swap_Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Othr","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Othr","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_SubGroup_Code","FutOnly_or_Combined"
"1","SILVER - COMMODITY EXCHANGE INC.","060613",2006-06-13,"084691","CMX","01","084",163132,20386,42554,4276,26423,12876,21445,5659,18283,8721,2186,41148,127135,149130,35997,14003,163132,20386,42554,4276,26423,12876,21445,5659,18283,8721,2186,41148,127135,149130,35997,14003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,12.5,26.1,2.6,16.2,7.9,13.1,3.5,11.2,5.3,1.3,25.2,77.9,91.4,22.1,8.6,100,12.5,26.1,2.6,16.2,7.9,13.1,3.5,11.2,5.3,1.3,25.2,77.9,91.4,22.1,8.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,17,24,6,7,11,42,10,18,53,20,52,151,115,171,17,24,6,7,11,42,10,18,53,20,52,151,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,27.8,24.9,39.7,6.8,21.4,9.2,26.5,14.3,27.8,24.9,39.7,6.8,21.4,9.2,26.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 5,000 TROY OUNCES)","N20","Combined"
"2","SILVER - COMMODITY EXCHANGE INC.","060620",2006-06-20,"084691","CMX","01","084",161702,22672,43904,5739,25298,11921,20212,6584,18500,8778,2277,40564,128386,149049,33315,12653,161702,22672,43904,5739,25298,11921,20212,6584,18500,8778,2277,40564,128386,149049,33315,12653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1431,2286,1350,1463,-1125,-954,-1233,925,217,56,91,-584,1251,-80,-2682,-1350,100,14,27.2,3.5,15.6,7.4,12.5,4.1,11.4,5.4,1.4,25.1,79.4,92.2,20.6,7.8,100,14,27.2,3.5,15.6,7.4,12.5,4.1,11.4,5.4,1.4,25.1,79.4,92.2,20.6,7.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,18,24,6,6,12,41,12,21,52,25,48,153,116,174,18,24,6,6,12,41,12,21,52,25,48,153,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,28.3,25.8,40.3,6.6,20.6,9.4,26,14.6,28.3,25.8,40.3,6.6,20.6,9.4,26,0,0,0,0,0,0,0,0,"(CONTRACTS OF 5,000 TROY OUNCES)","N20","Combined"
"3","SILVER - COMMODITY EXCHANGE INC.","060627",2006-06-27,"084691","CMX","01","084",141778,21210,37728,5479,24855,13288,19131,6351,16541,8047,4725,27334,111030,130822,30748,10956,141778,21210,37728,5479,24855,13288,19131,6351,16541,8047,4725,27334,111030,130822,30748,10956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19924,-1462,-6176,-260,-443,1366,-1081,-233,-1959,-730,2447,-13231,-17356,-18228,-2568,-1696,100,15,26.6,3.9,17.5,9.4,13.5,4.5,11.7,5.7,3.3,19.3,78.3,92.3,21.7,7.7,100,15,26.6,3.9,17.5,9.4,13.5,4.5,11.7,5.7,3.3,19.3,78.3,92.3,21.7,7.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,18,21,5,7,12,41,10,18,34,25,35,133,95,150,18,21,5,7,12,41,10,18,34,25,35,133,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,32.2,27.9,44.1,7.5,23.1,10.6,29.6,17.2,32.2,27.9,44.1,7.5,23.1,10.6,29.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 5,000 TROY OUNCES)","N20","Combined"
"4","SILVER - COMMODITY EXCHANGE INC.","060703",2006-07-03,"084691","CMX","01","084",131659,17188,39594,7627,24463,9217,19253,2699,15986,7805,4555,24247,101322,120760,30337,10899,131659,17188,39594,7627,24463,9217,19253,2699,15986,7805,4555,24247,101322,120760,30337,10899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10119,-4022,1866,2147,-392,-4071,123,-3652,-555,-243,-170,-3087,-9708,-10061,-411,-58,100,13.1,30.1,5.8,18.6,7,14.6,2,12.1,5.9,3.5,18.4,77,91.7,23,8.3,100,13.1,30.1,5.8,18.6,7,14.6,2,12.1,5.9,3.5,18.4,77,91.7,23,8.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,16,21,7,5,11,35,8,13,42,23,41,129,96,147,16,21,7,5,11,35,8,13,42,23,41,129,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,34.5,27.7,46.7,8.5,26.6,12,33.3,16.6,34.5,27.7,46.7,8.5,26.6,12,33.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 5,000 TROY OUNCES)","N20","Combined"
"5","SILVER - COMMODITY EXCHANGE INC.","060711",2006-07-11,"084691","CMX","01","084",135926,17402,40416,7162,23318,9146,20355,2292,17320,7085,5190,26255,104725,123937,31201,11989,135926,17402,40416,7162,23318,9146,20355,2292,17320,7085,5190,26255,104725,123937,31201,11989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4267,214,822,-465,-1145,-71,1102,-407,1334,-719,635,2008,3402,3176,864,1090,100,12.8,29.7,5.3,17.2,6.7,15,1.7,12.7,5.2,3.8,19.3,77,91.2,23,8.8,100,12.8,29.7,5.3,17.2,6.7,15,1.7,12.7,5.2,3.8,19.3,77,91.2,23,8.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,16,21,6,6,11,37,9,13,48,19,43,132,99,152,16,21,6,6,11,37,9,13,48,19,43,132,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,32.3,27,44.6,8.1,25.2,11.5,31.9,16.2,32.3,27,44.6,8.1,25.2,11.5,31.9,0,0,0,0,0,0,0,0,"(CONTRACTS OF 5,000 TROY OUNCES)","N20","Combined"
"6","SILVER - COMMODITY EXCHANGE INC.","060718",2006-07-18,"084691","CMX","01","084",135165,15498,40448,9919,23180,6989,19678,3993,17848,7578,4556,26198,103706,123210,31460,11955,135165,15498,40448,9919,23180,6989,19678,3993,17848,7578,4556,26198,103706,123210,31460,11955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-760,-1904,33,2757,-139,-2157,-677,1701,528,492,-634,-57,-1019,-726,259,-34,100,11.5,29.9,7.3,17.1,5.2,14.6,3,13.2,5.6,3.4,19.4,76.7,91.2,23.3,8.8,100,11.5,29.9,7.3,17.1,5.2,14.6,3,13.2,5.6,3.4,19.4,76.7,91.2,23.3,8.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,12,19,7,5,11,35,13,15,50,19,47,132,105,154,12,19,7,5,11,35,13,15,50,19,47,132,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,32.6,27.6,45.7,9.4,25.5,13,31.9,16.5,32.6,27.6,45.7,9.4,25.5,13,31.9,0,0,0,0,0,0,0,0,"(CONTRACTS OF 5,000 TROY OUNCES)","N20","Combined"
"7","SILVER - COMMODITY EXCHANGE INC.","060725",2006-07-25,"084691","CMX","01","084",132941,14678,39511,9412,23491,6531,19518,3560,18148,7462,4203,26259,102008,121703,30933,11238,132941,14678,39511,9412,23491,6531,19518,3560,18148,7462,4203,26259,102008,121703,30933,11238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2224,-819,-937,-506,311,-457,-160,-433,300,-116,-352,61,-1697,-1507,-527,-717,100,11,29.7,7.1,17.7,4.9,14.7,2.7,13.7,5.6,3.2,19.8,76.7,91.5,23.3,8.5,100,11,29.7,7.1,17.7,4.9,14.7,2.7,13.7,5.6,3.2,19.8,76.7,91.5,23.3,8.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,11,20,6,6,11,36,8,16,47,18,43,131,98,150,11,20,6,6,11,36,8,16,47,18,43,131,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,32.8,27.6,46.3,9.6,25.5,13.2,32.2,17.1,32.8,27.6,46.3,9.6,25.5,13.2,32.2,0,0,0,0,0,0,0,0,"(CONTRACTS OF 5,000 TROY OUNCES)","N20","Combined"
"8","SILVER - COMMODITY EXCHANGE INC.","060801",2006-08-01,"084691","CMX","01","084",133573,14914,40195,8586,25262,5160,22655,3932,18559,6004,4474,25949,101827,123531,31746,10042,133573,14914,40195,8586,25262,5160,22655,3932,18559,6004,4474,25949,101827,123531,31746,10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,236,684,-827,1771,-1371,3137,373,410,-1457,271,-310,-181,1828,814,-1196,100,11.2,30.1,6.4,18.9,3.9,17,2.9,13.9,4.5,3.3,19.4,76.2,92.5,23.8,7.5,100,11.2,30.1,6.4,18.9,3.9,17,2.9,13.9,4.5,3.3,19.4,76.2,92.5,23.8,7.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,12,21,6,6,9,41,9,12,42,21,43,131,97,153,12,21,6,6,9,41,9,12,42,21,43,131,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,33.5,27.2,46.7,9.1,25.8,13.3,32.8,17.3,33.5,27.2,46.7,9.1,25.8,13.3,32.8,0,0,0,0,0,0,0,0,"(CONTRACTS OF 5,000 TROY OUNCES)","N20","Combined"
"9","SILVER - COMMODITY EXCHANGE INC.","060808",2006-08-08,"084691","CMX","01","084",146644,14215,42261,9410,27453,5361,27083,3344,22233,6309,4841,28291,112903,133785,33741,12859,146644,14215,42261,9410,27453,5361,27083,3344,22233,6309,4841,28291,112903,133785,33741,12859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13071,-699,2066,824,2191,201,4428,-588,3675,305,367,2342,11076,10253,1994,2817,100,9.7,28.8,6.4,18.7,3.7,18.5,2.3,15.2,4.3,3.3,19.3,77,91.2,23,8.8,100,9.7,28.8,6.4,18.7,3.7,18.5,2.3,15.2,4.3,3.3,19.3,77,91.2,23,8.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,11,22,6,6,9,47,8,12,44,22,43,137,98,161,11,22,6,6,9,47,8,12,44,22,43,137,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,33.5,27.9,46.2,8.3,24.3,13.2,31.8,18,33.5,27.9,46.2,8.3,24.3,13.2,31.8,0,0,0,0,0,0,0,0,"(CONTRACTS OF 5,000 TROY OUNCES)","N20","Combined"
"10","SILVER - COMMODITY EXCHANGE INC.","060815",2006-08-15,"084691","CMX","01","084",149122,15603,42727,8961,27248,7208,27005,3294,22683,5791,4971,29677,116928,137808,32194,11314,149122,15603,42727,8961,27248,7208,27005,3294,22683,5791,4971,29677,116928,137808,32194,11314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2478,1388,466,-449,-205,1847,-78,-51,450,-518,130,1385,4025,4023,-1547,-1545,100,10.5,28.7,6,18.3,4.8,18.1,2.2,15.2,3.9,3.3,19.9,78.4,92.4,21.6,7.6,100,10.5,28.7,6,18.3,4.8,18.1,2.2,15.2,3.9,3.3,19.9,78.4,92.4,21.6,7.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,11,21,6,6,9,41,9,12,42,21,46,137,100,159,11,21,6,6,9,41,9,12,42,21,46,137,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,33.1,28.6,46.2,8.2,23.8,12.9,30.7,18.2,33.1,28.6,46.2,8.2,23.8,12.9,30.7,0,0,0,0,0,0,0,0,"(CONTRACTS OF 5,000 TROY OUNCES)","N20","Combined"
