"","Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_MM_DD_YYYY","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_ALL","Prod_Merc_Positions_Short_ALL","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_ALL","M_Money_Positions_Short_ALL","M_Money_Positions_Spread_ALL","Other_Rept_Positions_Long_ALL","Other_Rept_Positions_Short_ALL","Other_Rept_Positions_Spread_ALL","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap_Positions_Short_Old","Swap_Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap_Positions_Short_Other","Swap_Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Othr","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Othr","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_SubGroup_Code","FutOnly_or_Combined"
"1","SUGAR NO. 11 - ICE FUTURES U.S.","070904",2007-09-04,"080732","NYBT","01","080",877867,277912,429586,187501,53410,34555,105307,115622,48055,29234,15084,116667,799232,812980,78635,64886,877867,277912,429586,187501,53410,34555,105307,115622,48055,29234,15084,116667,799232,812980,78635,64886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21531,4871,7892,342,567,2885,3043,-227,1024,-637,-84,6265,17792,18323,3739,3208,100,31.7,48.9,21.4,6.1,3.9,12,13.2,5.5,3.3,1.7,13.3,91,92.6,9,7.4,100,31.7,48.9,21.4,6.1,3.9,12,13.2,5.5,3.3,1.7,13.3,91,92.6,9,7.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,60,60,16,8,17,39,34,28,32,28,45,199,178,236,60,60,16,8,17,39,34,28,32,28,45,199,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,22.7,35.1,33.5,12.5,10.1,19.6,18.2,25.1,22.7,35.1,33.5,12.5,10.1,19.6,18.2,0,0,0,0,0,0,0,0,"(CONTRACTS OF 112,000 POUNDS)","A50","Combined"
"2","SUGAR NO. 11 - ICE FUTURES U.S.","070911",2007-09-11,"080732","NYBT","01","080",872886,280119,412940,185733,53886,36508,102518,128602,45386,29056,14115,109593,788913,801029,83973,71856,872886,280119,412940,185733,53886,36508,102518,128602,45386,29056,14115,109593,788913,801029,83973,71856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4981,2207,-16646,-1768,476,1952,-2789,12980,-2669,-178,-969,-7075,-10319,-11951,5338,6970,100,32.1,47.3,21.3,6.2,4.2,11.7,14.7,5.2,3.3,1.6,12.6,90.4,91.8,9.6,8.2,100,32.1,47.3,21.3,6.2,4.2,11.7,14.7,5.2,3.3,1.6,12.6,90.4,91.8,9.6,8.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,64,63,17,7,16,36,41,26,38,22,42,198,180,238,64,63,17,7,16,36,41,26,38,22,42,198,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,19.9,33.5,31.1,12.1,10.7,19,18.9,23.6,19.9,33.5,31.1,12.1,10.7,19,18.9,0,0,0,0,0,0,0,0,"(CONTRACTS OF 112,000 POUNDS)","A50","Combined"
"3","SUGAR NO. 11 - ICE FUTURES U.S.","070918",2007-09-18,"080732","NYBT","01","080",789201,234415,397939,208204,41871,23349,102635,123544,32200,26239,15210,78107,705150,712220,84051,76981,789201,234415,397939,208204,41871,23349,102635,123544,32200,26239,15210,78107,705150,712220,84051,76981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83684,-45704,-15000,22471,-12015,-13159,117,-5058,-13186,-2817,1095,-31486,-83763,-88809,79,5125,100,29.7,50.4,26.4,5.3,3,13,15.7,4.1,3.3,1.9,9.9,89.3,90.2,10.7,9.8,100,29.7,50.4,26.4,5.3,3,13,15.7,4.1,3.3,1.9,9.9,89.3,90.2,10.7,9.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,60,59,15,7,14,35,40,22,29,20,32,176,160,218,60,59,15,7,14,35,40,22,29,20,32,176,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,22.2,34.1,32.9,15,11.9,22.7,20.5,23.6,22.2,34.1,32.9,15,11.9,22.7,20.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 112,000 POUNDS)","A50","Combined"
"4","SUGAR NO. 11 - ICE FUTURES U.S.","070925",2007-09-25,"080732","NYBT","01","080",824027,219523,464917,219134,40191,23302,117639,91237,39628,29830,16110,80873,729928,756258,94099,67769,824027,219523,464917,219134,40191,23302,117639,91237,39628,29830,16110,80873,729928,756258,94099,67769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34826,-14893,66978,10930,-1679,-47,15004,-32308,7428,3591,900,2766,24779,44038,10047,-9212,100,26.6,56.4,26.6,4.9,2.8,14.3,11.1,4.8,3.6,2,9.8,88.6,91.8,11.4,8.2,100,26.6,56.4,26.6,4.9,2.8,14.3,11.1,4.8,3.6,2,9.8,88.6,91.8,11.4,8.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,55,58,16,7,12,42,32,24,36,15,30,178,151,217,55,58,16,7,12,42,32,24,36,15,30,178,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,26.1,34.1,38.3,15,13.4,22.8,22.4,23.5,26.1,34.1,38.3,15,13.4,22.8,22.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 112,000 POUNDS)","A50","Combined"
"5","SUGAR NO. 11 - ICE FUTURES U.S.","071002",2007-10-02,"080732","NYBT","01","080",807474,202718,460152,225963,41915,23584,120655,86747,34104,30695,17271,83119,720839,746893,86634,60581,807474,202718,460152,225963,41915,23584,120655,86747,34104,30695,17271,83119,720839,746893,86634,60581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16553,-16805,-4765,6829,1724,282,3016,-4490,-5524,865,1162,2246,-9089,-9365,-7464,-7188,100,25.1,57,28,5.2,2.9,14.9,10.7,4.2,3.8,2.1,10.3,89.3,92.5,10.7,7.5,100,25.1,57,28,5.2,2.9,14.9,10.7,4.2,3.8,2.1,10.3,89.3,92.5,10.7,7.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,50,55,16,8,14,42,29,20,32,24,31,174,150,220,50,55,16,8,14,42,29,20,32,24,31,174,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27.4,35.3,39.8,15.6,13.9,23.8,23.4,24,27.4,35.3,39.8,15.6,13.9,23.8,23.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 112,000 POUNDS)","A50","Combined"
"6","SUGAR NO. 11 - ICE FUTURES U.S.","071009",2007-10-09,"080732","NYBT","01","080",807356,209770,458996,225791,41428,24137,118925,86706,32597,29027,13888,85061,725309,742814,82047,64542,807356,209770,458996,225791,41428,24137,118925,86706,32597,29027,13888,85061,725309,742814,82047,64542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-118,7052,-1156,-173,-487,553,-1730,-41,-1507,-1668,-3383,1942,4470,-4079,-4587,3961,100,26,56.9,28,5.1,3,14.7,10.7,4,3.6,1.7,10.5,89.8,92,10.2,8,100,26,56.9,28,5.1,3,14.7,10.7,4,3.6,1.7,10.5,89.8,92,10.2,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,55,54,16,7,14,39,30,20,35,17,31,175,145,214,55,54,16,7,14,39,30,20,35,17,31,175,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,29.8,35.6,41.5,15.7,16.1,23.8,25.2,24.5,29.8,35.6,41.5,15.7,16.1,23.8,25.2,0,0,0,0,0,0,0,0,"(CONTRACTS OF 112,000 POUNDS)","A50","Combined"
"7","SUGAR NO. 11 - ICE FUTURES U.S.","071016",2007-10-16,"080732","NYBT","01","080",882113,229897,501719,229182,42097,22734,124127,85651,39078,31377,16928,111712,788107,819919,94007,62194,882113,229897,501719,229182,42097,22734,124127,85651,39078,31377,16928,111712,788107,819919,94007,62194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74757,20127,42723,3391,669,-1403,5202,-1055,6481,2350,3040,26650,62798,77105,11960,-2348,100,26.1,56.9,26,4.8,2.6,14.1,9.7,4.4,3.6,1.9,12.7,89.3,92.9,10.7,7.1,100,26.1,56.9,26,4.8,2.6,14.1,9.7,4.4,3.6,1.9,12.7,89.3,92.9,10.7,7.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,56,55,16,8,15,40,30,19,33,28,36,188,153,229,56,55,16,8,15,40,30,19,33,28,36,188,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1,31.5,34.5,42.6,14.5,17.5,22.1,26,24.1,31.5,34.5,42.6,14.5,17.5,22.1,26,0,0,0,0,0,0,0,0,"(CONTRACTS OF 112,000 POUNDS)","A50","Combined"
"8","SUGAR NO. 11 - ICE FUTURES U.S.","071023",2007-10-23,"080732","NYBT","01","080",950044,257223,548297,235476,41513,22298,129861,82998,41594,34215,19972,130253,850920,886925,99124,63119,950044,257223,548297,235476,41513,22298,129861,82998,41594,34215,19972,130253,850920,886925,99124,63119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67931,27327,46578,6294,-584,-436,5733,-2653,2515,2838,3044,18541,62813,67006,5117,925,100,27.1,57.7,24.8,4.4,2.3,13.7,8.7,4.4,3.6,2.1,13.7,89.6,93.4,10.4,6.6,100,27.1,57.7,24.8,4.4,2.3,13.7,8.7,4.4,3.6,2.1,13.7,89.6,93.4,10.4,6.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,58,58,16,7,14,47,29,20,34,28,36,195,156,238,58,58,16,7,14,47,29,20,34,28,36,195,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,32.7,35.9,43.4,13.9,16.4,21.2,24.5,25.8,32.7,35.9,43.4,13.9,16.4,21.2,24.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 112,000 POUNDS)","A50","Combined"
"9","SUGAR NO. 11 - ICE FUTURES U.S.","071030",2007-10-30,"080732","NYBT","01","080",988992,273177,567739,240020,41924,24683,133799,70706,38160,34586,25717,130958,875383,899887,113608,89105,988992,273177,567739,240020,41924,24683,133799,70706,38160,34586,25717,130958,875383,899887,113608,89105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38947,15954,19441,4544,410,2385,3939,-12292,-3434,371,5746,705,24463,12962,14484,25986,100,27.6,57.4,24.3,4.2,2.5,13.5,7.1,3.9,3.5,2.6,13.2,88.5,91,11.5,9,100,27.6,57.4,24.3,4.2,2.5,13.5,7.1,3.9,3.5,2.6,13.2,88.5,91,11.5,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,60,60,16,7,14,49,27,22,34,27,38,199,159,238,60,60,16,7,14,49,27,22,34,27,38,199,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7,32.3,35.2,42.8,13.4,15.6,20.4,23.5,25.7,32.3,35.2,42.8,13.4,15.6,20.4,23.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 112,000 POUNDS)","A50","Combined"
"10","SUGAR NO. 11 - ICE FUTURES U.S.","071106",2007-11-06,"080732","NYBT","01","080",1026771,298349,622693,258493,40089,23599,129917,81939,38007,36908,15281,138730,924003,960338,102768,66433,1026771,298349,622693,258493,40089,23599,129917,81939,38007,36908,15281,138730,924003,960338,102768,66433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37779,25172,54954,18473,-1835,-1084,-3882,11233,-153,2322,-10437,7771,48619,60451,-10840,-22672,100,29.1,60.6,25.2,3.9,2.3,12.7,8,3.7,3.6,1.5,13.5,90,93.5,10,6.5,100,29.1,60.6,25.2,3.9,2.3,12.7,8,3.7,3.6,1.5,13.5,90,93.5,10,6.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,65,63,17,7,14,46,29,25,37,23,36,204,163,242,65,63,17,7,14,46,29,25,37,23,36,204,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,35.4,36.5,45.6,14.4,17.8,21.3,25.6,27.1,35.4,36.5,45.6,14.4,17.8,21.3,25.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 112,000 POUNDS)","A50","Combined"
"11","SUGAR NO. 11 - ICE FUTURES U.S.","071113",2007-11-13,"080732","NYBT","01","080",1024234,301515,604880,256209,41380,23880,129668,98803,34132,38252,15542,140846,924503,959464,99731,64770,1024234,301515,604880,256209,41380,23880,129668,98803,34132,38252,15542,140846,924503,959464,99731,64770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2537,3166,-17813,-2284,1291,281,-249,16864,-3875,1345,262,2116,500,-874,-3037,-1663,100,29.4,59.1,25,4,2.3,12.7,9.6,3.3,3.7,1.5,13.8,90.3,93.7,9.7,6.3,100,29.4,59.1,25,4,2.3,12.7,9.6,3.3,3.7,1.5,13.8,90.3,93.7,9.7,6.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,65,63,16,8,14,39,37,19,36,28,41,198,172,246,65,63,16,8,14,39,37,19,36,28,41,198,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3,32.5,36.6,42.8,14.2,14.4,21.3,22.7,27.3,32.5,36.6,42.8,14.2,14.4,21.3,22.7,0,0,0,0,0,0,0,0,"(CONTRACTS OF 112,000 POUNDS)","A50","Combined"
