"","Coffee2[-1, 1]","Rd_Long_Tot","Rd_Long_NoProd","Rd_Short_Tot","Rd_Short_NoProd","Rd_Net","Rd_Net_NoProd","Rd_Merc_Long","Rd_Merc_Short","Rd_Swap_Long","Rd_Swap_Short","Rd_Money_Long","Rd_Money_Short","Rd_Other_Long","Rd_Other_Short"
"1","2007-09-11",0.995953313235987,3.45596418238383,1.16498077031633,9.1570396390134,-249,113,-5.04731251904484,-1.53392291002152,2.57155217767302,23.4867576021503,3.58359649381459,2.79466832794117,6.02912884800144,42.5952875358536
"2","2007-09-18",4.93955981543426,6.1164059098072,4.57643989503165,-13.8856343668746,337,10205,1.85774172954805,10.4072083195453,2.81152920746557,33.7559045585679,7.98186555834111,-31.1532005768047,10.6476745250514,31.2435343843413
"3","2007-09-25",2.91122260460845,3.36838400638495,3.64640039700603,-21.0132525399104,-1119,8975,1.67786882390075,9.57219731274108,1.91014201895499,19.015456858326,7.27207938025671,-43.8193988146253,-5.29272881283021,9.66581459786475
"4","2007-10-02",2.29944759165832,3.42882913803262,3.2905665282847,-2.47060780439732,-1533,4097,-0.839507749206092,4.43576236803214,-0.54546894738845,-4.21326106973758,6.22679865595224,-7.73830445247174,5.98715012118145,6.20812536694491
"5","2007-10-09",2.98431400911792,1.22999726725084,2.41211679815816,-1.35969257400905,694,1606,7.80406587392797,3.12032410677077,-2.27836765028666,-2.63992788899827,6.24243959798108,1.76190016113154,-7.13928236820092,-5.37288892439225
"6","2007-10-16",-0.715712673623514,3.42947255124493,-0.339801930984862,-8.67883264795033,-526,5607,-12.6533483548201,1.11841021795289,-1.28938429518719,-8.20234276481653,5.56378028696969,-4.13722698459331,9.28151158969612,-16.159271191864
"7","2007-10-23",-2.48343335836569,-2.07480744114772,-2.59218847040756,-10.3754977249173,288,-140,-3.77028783058453,-1.35342423308895,3.89347733105883,6.96234502269011,-6.16826764117597,6.29478122831433,-4.02000709361321,-60.5420116418433
"8","2007-10-30",-1.76301469341027,-3.2769535507791,-3.33501730611268,-2.24385270017944,2316,-3017,2.89875368732524,-3.50203051518054,4.49101332219346,-12.0144311842063,-12.0192381308614,5.41963384959843,3.72824904566098,-22.2465355289572
"9","2007-11-06",-1.76071699752889,-0.951735411590349,-2.38794337546935,5.8852675489673,911,-2117,-4.21590138893926,-3.72532202384868,1.551614469507,-1.62605208717803,-3.88749767029015,12.1794568809575,0.640747787064733,-18.0425051213327
"10","2007-11-13",-1.7960298339613,-0.204358078972078,-1.92540545760114,-0.0653118664729391,206,-196,-6.87217095564261,-2.24426632113968,0.491743533375022,15.0906597427369,0.379610000328157,-5.9699187738973,-4.42208545404768,13.8189628895925
"11","2007-11-20",-3.01691319782744,-0.425699514872413,-2.02454278520587,-4.28699406353292,-1257,401,-12.071240761342,-1.63761754303042,-0.820921112874373,-4.03971697540779,1.47086166931665,-8.22048181517729,-5.66498280988306,12.6389614093394
"12","2007-11-27",-1.91303658540232,-0.308142382997723,-1.65198335902126,7.61816443808296,-285,-1822,-8.09414203888714,-3.30486614477046,0.0654708847280361,-4.63415716658258,1.11824369679514,13.8468992895156,-7.05079189498115,-7.26946797862063
"13","2007-12-04",2.74552682478255,3.94785565224467,4.28483563721205,9.55222726310812,-2157,2022,-2.22000652745624,3.26147662575753,1.38511336331621,49.659332185921,6.30636300952876,-14.5289544357803,4.25021811132069,52.5132971464059
"14","2007-12-11",2.11530355192533,1.51074768872181,2.60413177682963,3.24705261851506,-791,859,4.65034985851673,2.47474808169947,-0.374640850295549,5.93238734098449,1.00187661815543,-11.0448863353144,10.0908745390983,29.837788873875
"15","2007-12-18",0.724874187378077,1.68215893161481,1.52232525502871,1.72154862294711,-1166,1411,-3.32678343043682,1.48202954417354,1.40433362485712,10.9703790420156,4.85245680578323,-9.11241436800054,-9.79408949025746,10.7021145168062
"16","2007-12-24",1.73380971381274,1.54681702354065,0.965238057360551,0.662032083620012,974,1540,2.54134285619116,1.0265274059595,0.0880824508636024,-2.24422883666904,3.61758040481757,-5.15392665939327,-1.95343063662783,10.121555550991
"17","2007-12-31",3.53085060718445,2.98330227714114,4.17067523545036,6.57384691099079,-1173,1723,5.85019449836928,3.67870692757943,3.9786064574864,8.59505210375104,3.66511464513479,-5.30427359844801,-4.13887630105041,17.5771227825122
"18","2008-01-08",1.55784550860663,1.62566999926153,0.757744338958943,3.10702361604953,1087,1061,1.27413445561757,0.262807977096458,5.05854967881056,2.13853463168725,-0.598869385656009,13.7522552660714,-2.2562337307086,-7.20602266518267
"19","2008-01-15",5.52117196104547,6.10942141960411,5.67849455146767,7.52635269959274,-609,5236,3.01784663262108,5.27916123994459,13.2225970157668,4.91210526078998,1.71083161487591,17.3712639332493,-6.27801872270375,-3.03881727753428
"20","2008-01-22",-2.06627043761021,-3.6469610174775,-3.3282232843538,-12.4485946521251,2090,-1081,4.49186038792053,-1.44112333346289,-1.52856327500821,-7.33504520347346,-5.79765751707626,5.52167041296148,-3.89577653545246,-50.3637315235324
"21","2008-01-29",2.67444283660154,1.90953910807892,3.14581346822589,-0.119536213779448,-876,2319,5.66512179880831,3.77276238138577,4.52930036453285,-5.16264611405912,-1.64989643314222,7.90566934261836,5.41819258799627,-16.1061557367105
"22","2008-02-05",6.15257050657281,6.93068198863287,6.07487347712734,-15.6752205614763,-233,12324,3.10925283608654,9.68935969467868,1.57924355514449,14.2900890295788,13.837976751131,-46.9574507070837,0.514813698445948,16.874545905902
"23","2008-02-12",4.55860522662661,3.38897299078482,4.4789287400592,-9.05321709144875,-138,6327,9.09022832734827,6.31125691711922,-0.109452495919271,-7.97899955293744,10.1903434790339,-17.3152033897322,-19.0176055376158,2.00277330164234
"24","2008-02-19",6.56233623279903,2.29576735184551,7.32553011682473,12.7610750111373,-1853,450,21.1705951679427,6.62315064404986,4.77193378211087,27.8844449386119,0.538220941262679,12.087928466129,-1.60495164343519,-6.76157769383643
"25","2008-02-26",-4.48865409347476,-0.521416451350021,-4.74636388174599,-12.36872781603,815,1875,-17.9776593288565,-3.77331895526822,0.960754246914419,-35.9604344152341,-0.838826933793868,0.221406604458885,-9.13707321864852,-1.07610569562979
"26","2008-03-04",-2.06131584981364,-4.40218642690997,-1.93658372979861,-0.745243610441015,-75,-5736,6.17976537266802,-2.0832123540492,-3.91456236981593,31.9516880760672,-5.55854906675197,-9.64632130497431,1.08785067805144,-36.3098711736535
"27","2008-03-11",-2.83682401248857,-7.33137250493598,-3.01896954509413,-12.8930863117979,515,-6878,10.8600769038198,-1.86072144880711,-1.44143937651666,-10.677144580429,-14.0508861769526,-13.3220125673981,-2.76131772326895,-17.1051964535723
"28","2008-03-18",-7.56931040541122,-16.7991630832224,-7.50685276293144,-26.264407280061,389,-14819,14.3840292021455,-5.62682074765153,-5.43031676565189,-12.2644043021046,-34.5189851805072,-49.8887790918607,1.86187380822886,-15.6295364308489
"29","2008-03-25",-3.56779283241107,-6.93686073073447,-4.08860568987297,2.89095763212508,1020,-7268,2.96736782623039,-4.74329941217384,-2.96032839056686,-3.95120929627222,-15.2684381575371,0.457226160521884,2.29495899814491,21.3618563515869
"30","2008-04-01",0.854282481548729,-0.75865901643386,-1.39756536296627,24.3132407624977,3390,-4462,3.76553786793252,-4.29570770277579,-0.93899125558714,-3.71142761488645,-1.44694593974641,61.6061281689438,3.13883807712685,12.2027568143039
"31","2008-04-08",-1.6749540239184,-0.283350464239085,-0.843465518674513,4.64806466411183,-1207,-1093,-4.17884140346612,-1.57834251689568,0.378857995363369,1.87293118796887,-3.76619471875266,11.3161955344316,8.23256677453248,-6.04696751436062
"32","2008-04-15",0.051873593409546,-2.16027507818879,1.56410723811486,-11.8968768398817,-2282,9,3.98747867565277,3.28762084060763,0.658655435680799,1.5155508854626,-0.186142099383702,-18.2831181767341,-29.4124261642581,-22.372903142461
"33","2008-04-22",-5.09887881234281,1.23300312493484,-6.07533824339637,-0.672732074942672,1671,1259,-17.0648006308351,-6.7358246720099,0.276801662722725,-7.57390806105054,-0.457195168386093,1.20225313233746,15.4947743319903,8.95703255620264
"34","2008-04-29",-1.65512031984889,-1.04347656141304,-1.70201567304318,6.57877405380027,127,-2063,-2.93431076589439,-2.79578227732955,-0.375323838179753,-31.3602468001028,-1.33519404166993,27.0152957667438,-4.60827995563449,11.7634281472398
"35","2008-05-06",-3.47938688542673,-2.7894579067862,-3.18969536638054,-3.95110174597839,-271,-1895,-4.95184081963025,-3.08478366382712,0.52796510639137,-45.6017387270996,-4.71073084733256,7.87999401773849,-21.03486648084,2.6425495372898
"36","2008-05-13",-0.710796509764222,2.44135782417008,-2.37979065746536,-23.4993591231705,2265,5674,-7.86991076574441,0.198581625541827,2.88500475576416,-63.5695861305429,2.05283313617333,-16.8693906237216,0.275996603479811,-18.7143362981607
"37","2008-05-20",-0.363796233212099,-0.295162472443344,0.981962968965,-0.316224088279426,-1789,-232,-0.528142893877437,1.12147919376486,-0.429606325169196,-16.0095293695216,-4.18020436011499,0.742818111877952,17.6277604689098,3.50190262995813
"38","2008-05-27",0.0160440677403173,-2.09200290084635,-0.609598552916957,15.6036006265932,837,-4098,4.89582579859533,-2.50553496100121,-1.0329198546577,-6.2870464036874,-5.72531753808416,23.1420711785566,3.4336417010179,-0.94915966815714
"39","2008-06-03",0.292924262788574,0.224199244605749,-1.71182057664101,3.35335858504866,2649,-313,0.446390777625005,-2.37846830981319,0.67438838311169,22.082976546394,-0.211593152055833,-1.19957817959655,-1.56191130241847,11.8690888646563
"40","2008-06-10",-3.12878486627959,-1.74494200605384,-3.50072006969224,-5.48415422685533,469,-733,-6.28633333526718,-3.23511062048194,-0.880465026927446,-6.93493141925607,-3.77146015321941,-5.06294849630571,-1.05948821816995,-6.27252840133909
"41","2008-06-17",1.33961940265994,2.00495713646038,2.6248512398185,-6.30453525548926,-1653,2709,-0.230862162455203,3.74962784279873,-2.5268594174884,0.0763650285296791,11.0545015374624,-10.6665035683289,2.21342369643764,4.59489259363277
"42","2008-06-24",-3.6910037633163,4.43254560879858,-1.98038576686628,-8.01385872488627,-2123,5190,-26.2558641712307,-1.28169664050368,1.51180531362343,26.1776892938123,12.363565033769,-20.6668626694331,-7.07558835823079,8.31847270552384
"43","2008-07-01",4.51116791347488,6.02920622847503,4.52460408097242,3.25736734478514,-166,5479,-0.578818295520378,4.66547971028035,3.12723372284065,57.87368293822,12.7371613719291,-16.6994285707238,-4.30951588864019,7.10098943297552
"44","2008-07-08",-2.96702545595853,-4.5445088798802,-4.12303326849113,-21.0014669704536,1587,-1971,2.31557843828547,-2.42315595003486,0.0983059852714518,-19.3450447488664,-11.3153436558159,-10.4117507418231,-8.62190743691702,-43.6661158160788
"45","2008-07-15",-2.47294545820047,-4.01537155210949,-0.0289092992289852,-10.4440956361532,-3046,-2729,2.36155712781674,0.873738793937129,-0.395566658849233,-14.5594265073798,-11.2203524612243,-14.1350505060295,-0.711286542304812,1.49830703309579
"46","2008-07-22",0.0844251832003096,-2.67730028328437,-1.11822565288886,16.8403676814917,1527,-4223,8.03074290180525,-2.74172916967643,-3.40424860709536,3.45331906456963,-1.05283729504571,20.404337994079,-3.90390294640834,20.3334493129185
"47","2008-07-29",-0.505992440293568,-3.35230700705313,-1.29404540953644,25.9022377193549,1005,-6361,6.87024306198794,-4.45540628459291,-0.124010666219121,-5.27282342369251,-10.5005132161271,43.5213210984063,0.404040953700502,4.42663674290813
"48","2008-08-05",1.75587767694889,3.87654590633506,-0.092904059221155,6.30977990108761,2288,2480,-3.66720701184757,-0.988782769619334,0.917312640024726,-3.05951205782025,5.59733106981444,12.5305010111072,21.3826084676359,-7.89712183316489
"49","2008-08-12",-7.07012247855783,-4.83633573889666,-5.30905950378013,5.93516703702885,-2065,-5247,-13.2569262813382,-7.05092595215397,-1.59662202980808,-2.01036434707893,-8.36054122914405,12.6941124190834,-17.1231468629985,-16.7826106626934
"50","2008-08-19",1.18245415302667,-3.18181660757784,-2.38566643628761,18.1168796003265,4173,-6038,12.8165133436291,-6.21783595510781,-0.15444870409862,5.77360907695681,-7.10517460019453,15.7126318995179,-14.8291209677454,37.2809145134112
"51","2008-08-26",-1.71798723497947,4.76233238249613,3.47394447898264,-12.1094667979625,-6089,6375,-19.7298979728412,6.46956673624555,-1.36729564505167,-13.9224452440155,17.092978537816,-17.4552372321038,6.34875488915974,7.56282543897324
"52","2008-09-02",1.82842065485733,3.6345665907378,0.74609812178057,-4.28231537535684,1238,3995,-4.07488165581391,1.60068885699278,-1.03316970518037,1.17522720149017,11.7607192929665,-2.47651691197142,4.28808620304544,-12.9618638286273
"53","2008-09-09",-1.19059192960069,-4.42974254347899,-2.23144901854049,0.636405592676859,1266,-4052,9.09052234916405,-2.71267827311519,0.606945067997877,-0.853338511543011,-11.2836091088399,0.981146329682403,-15.4570512739928,0.262429076109605
"54","2008-09-16",0.754093935941746,-7.27578371338282,0.109373487411268,36.0671138936461,752,-13571,21.3731427003019,-7.56093958830544,-3.34113589116107,-6.01560652966002,-15.1058137024119,39.216264548066,-7.08422331438321,43.3981058082791
"55","2008-09-23",-2.5599905611621,-4.93925989509183,-2.77610648536388,6.59476074415473,267,-5581,2.54685234183505,-5.40338997977958,-5.33088325678044,1.69208774883369,-5.89774262513654,8.06461525750297,3.83789622618291,3.2120091603705
"56","2008-09-30",9.12889542011293,-3.46515066575677,8.46817096161487,1.95240087358499,783,-3143,31.0165663331162,10.3280437589616,-2.73183881116417,-8.8843438570767,-5.01122813045605,5.25226700641834,-3.56481549771424,-6.74540284451837
"57","2008-10-07",-4.85183057640679,-21.8364673799101,-4.79783804993961,10.995820781762,-79,-17719,15.7510442499623,-9.59364081860006,-8.82987447299666,-1.29192815059351,-56.6025883833465,20.0439900644506,-24.9607713292175,-29.7898271326503
