"","GOLD2[-1, 1]","Rd_Long_Tot","Rd_Long_NoProd","Rd_Short_Tot","Rd_Short_NoProd","Rd_Net","Rd_Net_NoProd","Rd_Merc_Long","Rd_Merc_Short","Rd_Swap_Long","Rd_Swap_Short","Rd_Money_Long","Rd_Money_Short","Rd_Other_Long","Rd_Other_Short"
"1","2006-06-20",-0.492647925174516,-3.8121779941747,-1.40003221251952,-1.29880413464551,2321,-4432,10.7916712305499,-1.48507520553895,14.5514036928681,-2.93867733829032,-8.67797512710933,0.151909400728201,-0.855287260399074,4.45986378005898
"2","2006-06-27",-2.15036725911961,-3.53480485221169,-2.41406409401943,-0.444862300999205,1376,-4735,2.10459435994199,-4.10050936807753,0.093689359727378,-3.20789040077933,-3.86747467411634,4.18717291810022,-5.10584950480641,2.1662778930267
"3","2006-07-03",1.54220938786302,2.29771163729922,1.39597666582691,2.35189036701584,-205,835,-0.749982797703552,0.554697934570747,1.30691859080923,10.6997106746231,1.63740742064071,-5.85129989889417,4.8840357069885,-27.1708683717538
"4","2006-07-11",8.54324434976519,7.21233101544243,7.18629998771139,8.10747137240639,259,1887,12.5353955338309,6.36110547529611,-3.95024429762465,12.7789763822991,11.8741868905472,-9.74667133562743,0.881303119318666,25.4702073657816
"5","2006-07-18",-1.41834986965659,1.02227889196591,-0.227885914138604,-0.948269759193288,-2444,2750,-8.90865808930794,0.418666381789556,-0.73068499077511,4.88520777747272,3.024433596606,-12.8373232344245,-4.3287466598585,-17.0210098345073
"6","2006-07-25",-2.92538899484409,-5.80452520347468,-0.227194409394116,-2.32495168595293,-5512,-6384,5.83487463437837,1.60635090316177,5.71430392771628,2.86890110013971,-8.06829654748302,-8.18759642763709,-6.57146953469265,-41.3546819470909
"7","2006-08-01",-3.33183649226587,0.651438155055217,-3.76373129758925,-10.9430625309797,2437,12833,-15.7394108574755,2.00394409330453,-7.72224448756909,-15.5935677748426,0.244938812188344,8.5778448330263,7.93182199581377,-27.179359077242
"8","2006-08-08",3.32548373333381,3.63213565437608,2.7636925117724,0.417126142055935,13,5223,2.28108485183256,4.49491252166219,-2.60782780638511,-1.62833507313582,5.16959114035576,-0.493198977621745,2.84167441349634,31.0281023758266
"9","2006-08-15",-3.63464678593477,-5.23948631872688,-3.65277078339314,-6.3643514546742,1486,-1747,1.6804953952418,-1.73744752825566,-1.83777625909993,-8.72523634961819,-7.57831500362602,1.3545518425472,-0.229711450564629,-10.5548886337631
"10","2006-08-22",-0.278608963247962,-1.09215417880115,-1.12835875848081,-1.54797325382656,2102,-151,2.28085969090124,-0.839770605298007,9.90333485270991,-4.83647549716046,-7.36733385081401,4.52961587805927,9.07138776986276,8.15302644717022
