"","Natural_Gas2[-1, 1]","Rd_Long_Tot","Rd_Long_NoProd","Rd_Short_Tot","Rd_Short_NoProd","Rd_Net","Rd_Net_NoProd","Rd_Merc_Long","Rd_Merc_Short","Rd_Swap_Long","Rd_Swap_Short","Rd_Money_Long","Rd_Money_Short","Rd_Other_Long","Rd_Other_Short"
"1","2006-06-20",-1.45361481771129,-6.93973827284502,-0.559710286825243,-6.42895170075803,-2850,736,2.50920922179745,3.99485294426629,-2.8740712375436,2.5570890552757,-7.22710692347377,-24.1329928898756,-18.7575402344731,4.71717867826627
"2","2006-06-27",0.196271492605327,6.27664072540473,0.751845843226917,8.9649152724359,-2203,-6141,-4.21889808802387,-5.76040930678285,2.68716093019687,5.9735395991293,9.40706236148383,20.3078740987856,0.688546523404376,-9.51361389623013
"3","2006-07-03",1.33256697433808,0.98363213514272,0.040937708764055,-0.429121868219262,4420,2218,1.59875302461145,0.440349807590046,1.84566656680012,-2.07184307275128,-2.43793258116316,1.39547116504488,17.2000083761693,1.67158312259517
"4","2006-07-11",4.16076508860979,3.58185026928766,4.1220259258969,4.7446797125799,-1452,-3095,4.59880309096157,3.59220444605679,-0.614094360660644,-0.152406331823052,5.55819783202676,13.579903870979,6.21925015626363,-2.87522458302192
"5","2006-07-18",4.01346287026954,0.382313491711805,4.17763834662548,0.910466865785509,-2292,-1093,6.6626117098993,6.89142520443244,-1.61452137916349,3.31497555586022,4.17778079470743,-3.86989378284621,-14.3865301712712,6.79266986767466
"6","2006-07-25",-3.97795859828882,-4.43324334111495,-4.17388588407146,-6.7268774800521,2405,5363,-3.65732281700186,-2.1622369291304,2.023017059145,1.0100626050809,-5.73972545896453,-20.4933586150723,-19.6994506270135,-0.640655960764214
"7","2006-08-01",-3.74582399773047,-7.33042212732133,-3.10516419477729,-8.57545500766577,-1035,3785,-1.30568697415931,0.91291019871953,-0.503919328429525,-5.40603637120469,-9.91897081296909,-17.4847711830804,-19.1901940655105,-0.21277681668721
"8","2006-08-08",2.58936123723537,4.60988017164965,3.31457841151064,4.97356604531873,-3949,-1622,1.23204648744775,2.13592429376259,3.78405066840557,9.70656216302803,4.01274393873141,0.766750292551244,12.8797189088601,-8.55094947478712
"9","2006-08-15",0.0171123115082494,6.60273794748711,0.334700608651239,5.26516808895021,-1282,805,-4.74527640096341,-3.3752857371347,1.0212530409385,3.40864497105251,9.54236706653422,7.48386104572951,10.1816179629424,9.51494613926798
"10","2006-08-22",5.26218681870247,6.83926737186606,4.1963244789466,4.83002254773837,2037,2189,4.03821806614051,3.69562908264349,3.38453131662533,1.67436284699747,8.97081423205393,11.5943152084522,5.84944309731235,2.94480982641119
"11","2006-08-29",20.1890504585753,5.27213549590009,17.2240317848022,-2.33647591935853,5278,13245,30.5408181502287,30.4296931288354,-1.39322995792686,1.26745352549058,8.4624570220921,-2.39176925295119,7.91012749249465,-23.3512180722787
"12","2006-09-05",-17.9503581750293,0.724226966633879,-16.2898450223901,7.57943224875,-705,-13008,-31.3621780039675,-33.0568000078115,5.72017721249498,3.47322127274836,-7.27388747205406,17.7293832140002,31.9709464820601,-3.69564312181385
"13","2006-09-12",5.86246303437274,8.42983399575079,4.56851046138258,6.78994559828219,3424,1714,3.64690193110384,2.61854343886583,-2.17862718435473,5.29732265144958,19.9669895846888,9.19327238040353,-28.9926594122893,6.82468811502304
