"","Sugar2[-1, 1]","Rd_Long_Tot","Rd_Long_NoProd","Rd_Short_Tot","Rd_Short_NoProd","Rd_Net","Rd_Net_NoProd","Rd_Merc_Long","Rd_Merc_Short","Rd_Swap_Long","Rd_Swap_Short","Rd_Money_Long","Rd_Money_Short","Rd_Other_Long","Rd_Other_Short"
"1","2007-09-11",-0.422255884712541,-1.48122123344567,-0.679997224737505,6.56204732555441,1631,-17222,0.790999606578424,-3.95196502525312,-0.947402018137034,0.887270956518904,-2.68415007466203,10.6396114232078,-0.610741304821794,-6.63965176906576
"2","2007-09-18",-4.43781920724042,6.04445980902675,-5.21603246069908,-8.47634081399153,5046,35749,-17.8121464052886,-3.7003576750438,11.4208209743978,-25.227724072225,0.114061225217021,-4.01249958614205,-10.1978148825287,7.47150445657496
"3","2007-09-25",2.52825488380921,8.39651611012258,5.69262988754478,-20.2337289148346,-19258,62612,-6.56360382045467,15.5560167825344,5.11650465529971,-4.09503732316576,13.6441607970491,-30.3136851360733,12.8267744933062,5.74870909176806
"4","2007-10-02",-1.04532331409839,2.8795563039095,-1.04552300724805,-1.09381574483205,275,12315,-7.96411599255187,-1.03020253474391,3.06878542098836,4.20006681268621,2.53146202608505,-5.04646804635378,2.85851763528022,6.95885971728991
"5","2007-10-09",0.59851804391684,-0.950668628475704,-0.839535608973208,-2.71656370916524,8549,341,3.41958417113197,-0.251537425857684,-0.0761476415531703,-1.16867773631881,-1.44421910821393,-0.0472750552180656,-5.58733435540049,-21.8003636443788
"6","2007-10-16",5.18772582198039,2.88590216697688,7.27858878585472,1.85147843018729,-14307,8289,9.16196901214921,8.89987065852793,1.4906655085678,1.60194985153019,4.28121927067089,-1.22421854190424,7.78487091147859,19.7943897757895
"7","2007-10-23",6.6397505029407,3.79165023369961,6.9301716442796,-0.133490590754626,-4193,15059,11.2312030405453,8.8776908926901,2.70925497099732,-1.3969848046715,4.51594126262833,-3.14643890044728,8.65890039642192,16.5362236962473
"8","2007-10-30",3.70750726392952,2.19154096754064,1.9024554634548,-4.33968317093161,11501,14989,6.01765238065397,3.48446951353818,1.91132557681097,0.985182411270991,2.98740261733066,-16.0286076189669,1.07848314992705,25.2820959181495
"9","2007-11-06",5.99147751116096,4.0577795315377,7.35840217500634,-0.753116134701415,-11831,17951,8.8144005450232,9.23918143738014,7.41463610748632,-4.47564728408967,-2.94428888108857,14.7444633061445,6.49793538125785,-52.0542025196736
"10","2007-11-13",0.272819460590767,-0.279947018829674,0.0793104374251286,12.5857770623835,1374,-19605,1.0555823979054,-2.90235291969712,-0.887509662690533,3.16956898503626,-0.191844733993918,18.7152900672794,3.57675167709868,1.6935810163929
"11","2007-11-20",-0.557332389854537,0.423501147050587,-1.93014414547772,11.5127401486044,10507,-17201,-1.95352136737625,-5.70473624898664,0.0725706425088291,2.11616480634955,0.476237171755933,15.691282733604,2.56791616989425,8.21094063894243
"12","2007-11-27",1.10266734586215,-1.45037867179667,0.694971785359932,10.0568999024549,2798,-24619,4.66940203728115,-2.35234129914677,-1.53871864188311,1.45161566209477,-0.376031356059059,14.2298831065517,-4.50541903730226,1.13155379925747
"13","2007-12-04",2.21926067697158,2.64018541589266,1.844405247639,-8.64694908740553,2388,27236,1.6460723730102,5.23458603625553,3.5113718056996,-1.15394014460932,1.0789211340855,-11.9411757845294,2.10989418605845,-3.05244582106461
"14","2007-12-11",-0.379547363119137,6.35089084033709,2.220179763993,-9.23924341002422,-20006,43901,-10.392290971819,5.43084908649796,1.38838903436849,4.14266570431394,15.6879841233614,-20.6394566848394,5.87838297870213,24.6327490962786
"15","2007-12-18",4.09383020308773,6.79450518251752,5.21116876613377,0.197245430384108,-10800,31972,-0.436361247664152,6.47574457355304,0.496204254539201,8.81367167602143,17.4437817948311,-6.19129994905574,4.14537158045878,9.12920541384956
"16","2007-12-24",2.43392729203045,0.819489900733394,3.59906677568613,-4.9627827357634,-11132,11883,5.18125591938432,5.58461622794653,-1.24990770910465,7.07169396371512,4.76784422732148,-14.4174876242339,-3.77448680491597,3.25700912006397
"17","2007-12-31",5.26921836294818,0.318885722258599,5.38410849288109,0.0103857663164675,-4347,1567,13.0040673466429,6.52818781214801,-5.93316078033173,2.76499515532045,8.57941231602695,-2.40570536034852,-1.05236889447262,1.75780525370151
"18","2008-01-08",7.385714928939,4.57103504219152,8.64842148883902,-1.84669410056273,-17362,26074,11.3757267703841,10.6805643075639,3.56773360574643,2.3939682462963,5.33315532124607,-7.7334781337651,6.72338967931463,6.27278138773182
"19","2008-01-15",10.115389457412,9.40564888508142,9.41007152299971,3.74082163079805,-1180,45564,11.0797668186311,10.4070345218366,12.5256517994925,-3.47979625183203,5.17866400183884,3.20905464975674,11.6317433885683,18.6452404687287
"20","2008-01-22",-3.96946128239879,-4.87696149500074,-5.39005023642893,-5.64180130347154,17917,-18604,-2.75953063131738,-5.3472985245806,1.10131692641513,8.57574583300345,-12.1148269442314,-20.4982968782627,-8.55015525430094,0.668834903002136
"21","2008-01-29",-4.36330503653579,2.07644188756966,-3.12041915197625,1.31412158253212,-9429,9463,-13.5473679920036,-3.89226621496217,5.84569688076648,12.0551942161203,-0.647292525315635,-6.03274520153096,-11.8600418139966,-6.23759879123096
"22","2008-02-05",-0.823016549250077,1.32818835283146,-0.482662943782053,-0.802621830093386,-2735,8636,-4.23430305057924,-0.425616401354922,-0.0326694812301298,2.66438562235276,3.67754424262117,1.02106028751212,-0.286188446418478,-12.6806495356224
"23","2008-02-12",-4.85600998430815,2.22813533367461,-4.3279820801887,-5.907253480237,-1266,21251,-17.6051068374873,-4.04953448445511,-2.03846646856665,-0.357113638670725,9.64467555743642,-7.23590885219529,-6.42883072710365,-18.3357647371876
