"","WTI2[-1, 1]","Rd_Long_Tot","Rd_Long_NoProd","Rd_Short_Tot","Rd_Short_NoProd","Rd_Net","Rd_Net_NoProd","Rd_Merc_Long","Rd_Merc_Short","Rd_Swap_Long","Rd_Swap_Short","Rd_Money_Long","Rd_Money_Short","Rd_Other_Long","Rd_Other_Short"
"1","2006-06-20",-6.04823188568453,-0.457073313442535,-6.32523963093412,-4.88330288508525,992,8822,-11.2513974043221,-7.01499501166598,5.70962163016908,-9.40171832120349,-3.92559792964864,-2.97887010936559,-10.4558181627278,2.40195143294919
"2","2006-06-27",0.952028556639917,1.90840573808693,1.16196414225005,4.13491163510127,-1205,-2523,0.0036906724409036,-0.307710674559125,-4.45785631764615,18.9000151266539,9.2522771025271,-23.6502743381916,3.16965094592074,26.0994094966685
"3","2006-07-03",1.91122215835176,3.08314247022921,1.94886806593342,-0.975370326770175,0,12271,0.724113462882237,3.39498469204109,-2.0856006257965,5.23972052055441,10.7076163517007,-16.2693565367666,-2.49158473326165,6.63748494164338
"4","2006-07-11",4.33004986395868,2.42381175694568,4.7696078326835,7.8649149171147,-2431,-9120,6.2469097003671,3.23691491029763,-4.49313273128418,8.59548259867449,5.44653735240797,5.90222460239982,12.6858965367704,8.66437089990111
"5","2006-07-18",2.99181076905359,0.436634407335212,4.39434395595342,2.26765914179445,-9618,-3758,5.450176668624,5.45500335969127,0.123795991355102,8.05573399722981,6.69297753446667,0.108111556207291,-17.8871402292367,-10.1396299932855
"6","2006-07-25",-6.48386459551205,-5.27669699570001,-6.89780438274354,-0.895228179660101,2720,-15663,-7.62994699516355,-9.98142930586337,-3.19858494397778,0.908268627379982,-12.4699496033335,1.52489334305876,11.1247206127405,-10.0938990399948
"7","2006-08-01",4.87725059158794,2.78999967761102,5.10897956208414,-1.44523448956377,-1453,12609,6.84212371249977,8.462264458894,-0.606925285791249,0.43407513965743,7.66991430307318,-9.33152696015629,-2.42034727864908,4.41106984474722
"8","2006-08-08",4.79126228433202,0.61776258239572,4.90058283227111,0.704444021002182,-710,467,8.49266935366888,6.88138064536616,-6.85312999888481,-1.25630476259797,7.04249949151734,-1.01881353006821,-0.567113018818866,8.8081185067141
"9","2006-08-15",0.298057157799825,-6.31805046191118,-0.688445046702313,-3.32906945220177,7245,-13197,5.61280572316001,0.497215928945671,-3.65495041457535,1.86899612420799,-13.9806013883469,-2.09234301124663,9.77693350729716,-21.4934310584667
"10","2006-08-22",-7.02588146222283,-2.84839467622255,-6.59512781608189,1.64910627469279,-3512,-12652,-10.3073530167634,-10.4540241592124,4.35195708233671,0.35465783621369,-9.40184142621039,17.7471361184352,-2.61259333186814,-23.6261354745592
"11","2006-08-29",3.7230899798903,-0.977468366604661,2.83519519065045,-2.30309970312117,6461,2161,7.39857805712898,5.29474553263753,-3.54707691916669,-10.5734410971495,-4.33663356020979,5.68706180690555,11.982329290635,12.9841383500215
"12","2006-09-05",1.76671576147296,0.316798387629902,1.91827725072571,3.00349269584697,-883,-5794,2.84027740788417,1.41423142147019,1.18466362565428,-3.90412259558808,-3.56695242704994,8.21167009279691,6.21032923636182,14.5776158645367
"13","2006-09-12",7.78244747041175,0.200900543815763,7.42761935071243,3.06318423718839,3596,-6495,12.983114147613,9.40724417900984,6.28875764608381,-2.24591978492512,-2.35049692973579,9.68740668920294,-7.22697385220403,4.49184990472311
"14","2006-09-19",-4.20171836808496,0.706439993683006,-5.19218145187548,-3.7974924817517,6719,10969,-7.49201604572072,-5.81120109168545,10.3838465834698,-3.29109436791555,-5.26113068222855,2.65371269131158,-10.5426870456961,-20.8498918577904
"15","2006-09-26",-0.242423395607894,6.55151262074813,0.203116012798255,1.49017632794219,-3317,17589,-5.27672402987083,-0.379332873338534,5.79385711112064,-0.0607331916206988,2.8026117898726,-4.07758562571914,15.6911739618764,19.5233946479293
"16","2006-10-03",10.1652807197269,-0.384605965995988,11.0242368724387,5.42303067939187,-5144,-14111,17.7414523946966,13.4820205148969,2.87708509343876,-1.88125854584928,-4.95574754398991,13.6649408467123,-0.302968372751344,6.21256521876372
"17","2006-10-10",2.13315445402831,-0.737325761453533,1.73871195023914,-2.60257941160766,3566,3826,3.97173225962231,3.51324207918449,-2.69290493674372,-2.26743932300764,5.47244116580607,2.9907873609039,-7.16978014069962,-17.800923138128
"18","2006-10-17",-3.78685913666601,-1.42608202254362,-3.63717256887242,-6.39656822073302,-1796,10049,-5.29259944789278,-2.56402583040725,3.94460581416016,-3.73188742985828,-0.205835551936318,-15.4618888233859,-19.7688865823933,9.0223971591918
"19","2006-10-24",2.91787614246957,3.02076376156766,3.43837416620794,2.9622735532941,-3907,3215,2.8509158883864,3.61941781783255,2.29748340216727,1.88632861446258,-9.6338337674494,-3.617835790355,29.7666407037578,18.5816659614881
"20","2006-10-31",-1.58046871558017,-0.961402106992182,-0.914897843787621,4.8790995957372,-5637,-14633,-1.98577651494425,-3.20172908608249,-2.55500020454882,3.73322668959553,10.6019893464513,13.9004733688784,-18.0522647319512,-10.5589289371521
"21","2006-11-07",1.4317941519419,1.11728959322477,0.414356552172634,-1.22352813465465,8544,6626,1.63822159980658,1.07968767305362,-1.7535627540699,4.37511331607716,3.07682667546629,-15.8205225138374,5.08902025388132,13.9172229238314
"22","2006-11-14",-0.60767001783173,2.31459814201891,-1.54133079748586,6.20733447364366,7578,-7409,-2.56805022026274,-4.83009347492374,6.54545366583346,6.69868160095266,1.24379816127806,5.86751366863041,-7.75390527782331,5.65027688941875
"23","2006-11-21",-3.50667440671195,-2.15595672673849,-1.28762011759935,-4.37967761420257,-18400,3557,-4.44586349579801,0.0684637541331412,-6.81077550800229,-10.394469721618,1.88208559865188,3.23900493811387,2.62255074819215,-4.25811406732937
