time,open,high,low,close
1998-02-18T00:00:00Z,967,967,967,967
1998-02-19T00:00:00Z,989,989,989,989
1998-02-20T00:00:00Z,1017,1017,1017,1017
1998-02-23T00:00:00Z,1030,1030,1030,1030
1998-02-24T00:00:00Z,1037,1037,1037,1037
1998-02-25T00:00:00Z,1047,1047,1047,1047
1998-02-26T00:00:00Z,1059,1059,1059,1059
1998-02-27T00:00:00Z,1080,1080,1080,1080
1998-03-02T00:00:00Z,1088,1088,1088,1088
1998-03-03T00:00:00Z,1096,1096,1096,1096
1998-03-04T00:00:00Z,1103,1103,1103,1103
1998-03-05T00:00:00Z,1104,1104,1104,1104
1998-03-06T00:00:00Z,1102,1102,1102,1102
1998-03-09T00:00:00Z,1105,1105,1105,1105
1998-03-10T00:00:00Z,1102,1102,1102,1102
1998-03-11T00:00:00Z,1097,1097,1097,1097
1998-03-12T00:00:00Z,1096,1096,1096,1096
1998-03-13T00:00:00Z,1091,1091,1091,1091
1998-03-16T00:00:00Z,1084,1084,1084,1084
1998-03-17T00:00:00Z,1071,1071,1071,1071
1998-03-18T00:00:00Z,1057,1057,1057,1057
1998-03-19T00:00:00Z,1046,1046,1046,1046
1998-03-20T00:00:00Z,1035,1035,1035,1035
1998-03-23T00:00:00Z,1025,1025,1025,1025
1998-03-24T00:00:00Z,1011,1011,1011,1011
1998-03-25T00:00:00Z,997,997,997,997
1998-03-26T00:00:00Z,989,989,989,989
1998-03-27T00:00:00Z,982,982,982,982
1998-03-30T00:00:00Z,973,973,973,973
1998-03-31T00:00:00Z,966,966,966,966
1998-04-01T00:00:00Z,960,960,960,960
1998-04-02T00:00:00Z,956,956,956,956
1998-04-03T00:00:00Z,955,955,955,955
1998-04-06T00:00:00Z,952,952,952,952
1998-04-07T00:00:00Z,956,956,956,956
1998-04-08T00:00:00Z,961,961,961,961
1998-04-09T00:00:00Z,966,966,966,966
1998-04-14T00:00:00Z,970,970,970,970
1998-04-15T00:00:00Z,975,975,975,975
1998-04-16T00:00:00Z,983,983,983,983
1998-04-17T00:00:00Z,992,992,992,992
1998-04-20T00:00:00Z,996,996,996,996
1998-04-21T00:00:00Z,1004,1004,1004,1004
1998-04-22T00:00:00Z,1005,1005,1005,1005
1998-04-23T00:00:00Z,1006,1006,1006,1006
1998-04-24T00:00:00Z,1011,1011,1011,1011
1998-04-27T00:00:00Z,1011,1011,1011,1011
1998-04-28T00:00:00Z,1008,1008,1008,1008
1998-04-29T00:00:00Z,1007,1007,1007,1007
1998-04-30T00:00:00Z,1004,1004,1004,1004
1998-05-01T00:00:00Z,1001,1001,1001,1001
1998-05-05T00:00:00Z,998,998,998,998
1998-05-06T00:00:00Z,1002,1002,1002,1002
1998-05-07T00:00:00Z,1004,1004,1004,1004
1998-05-08T00:00:00Z,1004,1004,1004,1004
1998-05-11T00:00:00Z,1001,1001,1001,1001
1998-05-12T00:00:00Z,993,993,993,993
1998-05-13T00:00:00Z,987,987,987,987
1998-05-14T00:00:00Z,986,986,986,986
1998-05-15T00:00:00Z,983,983,983,983
1998-05-18T00:00:00Z,985,985,985,985
1998-05-19T00:00:00Z,982,982,982,982
1998-05-20T00:00:00Z,977,977,977,977
1998-05-21T00:00:00Z,970,970,970,970
1998-05-22T00:00:00Z,966,966,966,966
1998-05-26T00:00:00Z,960,960,960,960
1998-05-27T00:00:00Z,955,955,955,955
1998-05-28T00:00:00Z,948,948,948,948
1998-05-29T00:00:00Z,946,946,946,946
1998-06-01T00:00:00Z,941,941,941,941
1998-06-02T00:00:00Z,930,930,930,930
1998-06-03T00:00:00Z,918,918,918,918
1998-06-04T00:00:00Z,909,909,909,909
1998-06-05T00:00:00Z,900,900,900,900
1998-06-08T00:00:00Z,893,893,893,893
1998-06-09T00:00:00Z,890,890,890,890
1998-06-10T00:00:00Z,887,887,887,887
1998-06-12T00:00:00Z,894,894,894,894
1998-06-15T00:00:00Z,904,904,904,904
1998-06-16T00:00:00Z,908,908,908,908
1998-06-17T00:00:00Z,911,911,911,911
1998-06-18T00:00:00Z,908,908,908,908
1998-06-19T00:00:00Z,904,904,904,904
1998-06-22T00:00:00Z,901,901,901,901
1998-06-23T00:00:00Z,896,896,896,896
1998-06-24T00:00:00Z,888,888,888,888
1998-06-25T00:00:00Z,876,876,876,876
1998-06-26T00:00:00Z,869,869,869,869
1998-06-29T00:00:00Z,864,864,864,864
1998-06-30T00:00:00Z,856,856,856,856
1998-07-01T00:00:00Z,849,849,849,849
1998-07-02T00:00:00Z,844,844,844,844
1998-07-03T00:00:00Z,838,838,838,838
1998-07-06T00:00:00Z,837,837,837,837
1998-07-07T00:00:00Z,837,837,837,837
1998-07-08T00:00:00Z,841,841,841,841
1998-07-09T00:00:00Z,840,840,840,840
1998-07-10T00:00:00Z,842,842,842,842
1998-07-13T00:00:00Z,844,844,844,844
1998-07-14T00:00:00Z,846,846,846,846
1998-07-15T00:00:00Z,845,845,845,845
1998-07-16T00:00:00Z,846,846,846,846
1998-07-17T00:00:00Z,847,847,847,847
1998-07-20T00:00:00Z,850,850,850,850
1998-07-21T00:00:00Z,847,847,847,847
1998-07-22T00:00:00Z,844,844,844,844
1998-07-23T00:00:00Z,841,841,841,841
1998-07-24T00:00:00Z,837,837,837,837
1998-07-27T00:00:00Z,833,833,833,833
1998-07-28T00:00:00Z,832,832,832,832
1998-07-29T00:00:00Z,829,829,829,829
1998-07-30T00:00:00Z,828,828,828,828
1998-07-31T00:00:00Z,825,825,825,825
1998-08-03T00:00:00Z,822,822,822,822
1998-08-04T00:00:00Z,815,815,815,815
1998-08-05T00:00:00Z,808,808,808,808
1998-08-06T00:00:00Z,798,798,798,798
1998-08-07T00:00:00Z,792,792,792,792
1998-08-10T00:00:00Z,788,788,788,788
1998-08-11T00:00:00Z,783,783,783,783
1998-08-12T00:00:00Z,780,780,780,780
1998-08-13T00:00:00Z,780,780,780,780
1998-08-14T00:00:00Z,783,783,783,783
1998-08-17T00:00:00Z,784,784,784,784
1998-08-18T00:00:00Z,785,785,785,785
1998-08-19T00:00:00Z,790,790,790,790
1998-08-20T00:00:00Z,799,799,799,799
1998-08-21T00:00:00Z,806,806,806,806
1998-08-24T00:00:00Z,810,810,810,810
1998-08-25T00:00:00Z,815,815,815,815
1998-08-26T00:00:00Z,816,816,816,816
1998-08-27T00:00:00Z,816,816,816,816
1998-08-28T00:00:00Z,817,817,817,817
1998-09-01T00:00:00Z,817,817,817,817
1998-09-02T00:00:00Z,817,817,817,817
1998-09-03T00:00:00Z,824,824,824,824
1998-09-04T00:00:00Z,827,827,827,827
1998-09-07T00:00:00Z,830,830,830,830
1998-09-08T00:00:00Z,833,833,833,833
1998-09-09T00:00:00Z,839,839,839,839
1998-09-10T00:00:00Z,846,846,846,846
1998-09-11T00:00:00Z,855,855,855,855
1998-09-14T00:00:00Z,859,859,859,859
1998-09-15T00:00:00Z,867,867,867,867
1998-09-16T00:00:00Z,872,872,872,872
1998-09-17T00:00:00Z,876,876,876,876
1998-09-18T00:00:00Z,882,882,882,882
1998-09-21T00:00:00Z,891,891,891,891
1998-09-22T00:00:00Z,900,900,900,900
1998-09-23T00:00:00Z,906,906,906,906
1998-09-24T00:00:00Z,911,911,911,911
1998-09-25T00:00:00Z,917,917,917,917
1998-09-28T00:00:00Z,924,924,924,924
1998-09-29T00:00:00Z,935,935,935,935
1998-09-30T00:00:00Z,946,946,946,946
1998-10-01T00:00:00Z,959,959,959,959
1998-10-02T00:00:00Z,967,967,967,967
1998-10-05T00:00:00Z,975,975,975,975
1998-10-06T00:00:00Z,980,980,980,980
1998-10-07T00:00:00Z,985,985,985,985
1998-10-08T00:00:00Z,990,990,990,990
1998-10-09T00:00:00Z,1000,1000,1000,1000
1998-10-12T00:00:00Z,1004,1004,1004,1004
1998-10-13T00:00:00Z,1007,1007,1007,1007
1998-10-14T00:00:00Z,1008,1008,1008,1008
1998-10-15T00:00:00Z,1008,1008,1008,1008
1998-10-16T00:00:00Z,1005,1005,1005,1005
1998-10-19T00:00:00Z,1003,1003,1003,1003
1998-10-20T00:00:00Z,999,999,999,999
1998-10-21T00:00:00Z,992,992,992,992
1998-10-22T00:00:00Z,987,987,987,987
1998-10-23T00:00:00Z,978,978,978,978
1998-10-26T00:00:00Z,970,970,970,970
1998-10-27T00:00:00Z,966,966,966,966
