"","time","close","Rd"
"1226",2003-01-14,1753,0.400114852168709
"1231",2003-01-21,1715,-2.19155253211945
"1236",2003-01-28,1593,-7.37940496899911
"1241",2003-02-04,1542,-3.25387557867742
"1246",2003-02-11,1627,5.36575530957633
"1251",2003-02-18,1709,4.91705758965528
"1256",2003-02-25,1768,3.3940560081998
"1261",2003-03-04,1754,-0.795007026546024
"1266",2003-03-11,1765,0.625179643526863
"1271",2003-03-18,1887,6.6837576001153
"1276",2003-03-25,1940,2.7699706688824
"1281",2003-04-01,1943,0.154519732006619
"1286",2003-04-08,2022,3.98539502029767
"1291",2003-04-15,2088,3.2119549422112
"1294",2003-04-22,2097,0.430108189939116
"1299",2003-04-29,2139,1.98306781804858
"1303",2003-05-06,2160,0.976979159580438
"1308",2003-05-13,2248,3.99327103353713
"1313",2003-05-20,2337,3.88271235252766
"1317",2003-05-27,2218,-5.22621666285454
"1322",2003-06-03,2123,-4.37757062070565
"1327",2003-06-10,2130,0.32917970002142
"1332",2003-06-17,2149,0.888063793903981
"1337",2003-06-24,2134,-0.70044647808114
"1342",2003-07-01,2123,-0.516797015844261
"1347",2003-07-08,2155,1.49605408345916
"1352",2003-07-15,2238,3.77918863340225
"1357",2003-07-22,2219,-0.852596593927668
"1362",2003-07-29,2197,-0.996385054798399
"1367",2003-08-05,2198,0.0455062578956777
"1372",2003-08-12,2314,5.14297727900557
"1377",2003-08-19,2340,1.11733005981245
"1381",2003-08-26,2297,-1.85470056626489
"1386",2003-09-02,2265,-1.4029164771963
"1391",2003-09-09,2327,2.70051253851573
"1396",2003-09-16,2393,2.79679246060809
"1401",2003-09-23,2539,5.92224937963053
"1406",2003-09-30,2993,16.4505926148022
"1411",2003-10-07,3668,20.3370325523656
"1416",2003-10-14,4299,15.8735883119926
"1421",2003-10-21,4477,4.05707417446841
"1426",2003-10-28,4547,1.55144955840445
"1431",2003-11-04,4524,-0.507111658899895
"1436",2003-11-11,4243,-6.41259920336861
"1441",2003-11-18,4026,-5.24972390025873
"1446",2003-11-25,4257,5.57913596284152
"1451",2003-12-02,4464,4.74805382329944
"1456",2003-12-09,4539,1.66614983953188
"1461",2003-12-16,4668,2.80239909499809
"1466",2003-12-23,4761,1.97270157880727
"1470",2004-01-06,4764,0.0629921280671297
"1475",2004-01-13,5391,12.3643244976478
"1480",2004-01-20,5418,0.499584719337243
"1485",2004-01-27,5276,-2.65585088078364
"1490",2004-02-03,5664,7.09621215363505
"1495",2004-02-10,5458,-3.70479341052707
"1500",2004-02-17,5290,-3.12641764159398
"1505",2004-02-24,5488,3.67456445533776
"1510",2004-03-02,5150,-6.35671757479397
"1515",2004-03-09,5344,3.69777215586993
"1520",2004-03-16,5204,-2.6546875584085
"1525",2004-03-23,5044,-3.12281425475867
"1530",2004-03-30,4886,-3.18254452671241
"1535",2004-04-06,4631,-5.36011453369341
