"","PP","Maire.PP","Confiance","Nbre_Hab","Etude_Parent1","Categorie_Parent1","Etude_Parent2","Parent2_Categorie","Media_Princ","Ouverture","Satisfaction","Impulsivite","Extraversion","Agreabilite","Anxiete","Pub","Categorie","Revenu","Proprietaire","Type_Habitation","Etude_Nv","Etude_Dom","Sexe","Age","JournalTv","Réseaux","JournalPap","ChaineInfo","Appli","Radio","Internet","Aucun","AxePP.1","AxePP.2","AxePP.3","AxePP.4","AxePP.5","AxePP.6","AxePP.7","AxePP.8","AxePP.9","AxePP.10","AxePP.11","AxePP.12","AxePP.13","AxePP.14","AxePP.15","AxePP.16","AxePP.17","AxePP.18","AxePP.19","Parent1PP.1","Parent1PP.2","Parent1PP.3","Parent1PP.4","Parent1PP.5","Parent1PP.6","Parent1PP.7","Parent1PP.8","Parent1PP.9","Parent1PP.10","Parent1PP.11","Parent1PP.12","Parent1PP.13","Parent1PP.14","Parent1PP.15","Parent1PP.16","Parent1PP.17","Parent1PP.18","Parent1PP.19","Parent2PP.1","Parent2PP.2","Parent2PP.3","Parent2PP.4","Parent2PP.5","Parent2PP.6","Parent2PP.7","Parent2PP.8","Parent2PP.9","Parent2PP.10","Parent2PP.11","Parent2PP.12","Parent2PP.13","Parent2PP.14","Parent2PP.15","Parent2PP.16","Parent2PP.17","Parent2PP.18","Parent2PP.19"
"1",16,10,7,2,10,2,4,5,"14",8,8,4,4,9,4,7,9,3,1,1,5,32,1,2,"0","0","0","1","0","0","0","0",0,0,0.1,0.0666666666666667,0,0.105263157894737,0,0,0.157894736842105,0,0,0,0,0,0.182795698924731,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2",9,7,5,1,1,3,1,5,"8",4,8,2,7,8,1,3,9,1,3,5,6,1,1,2,"1","0","1","0","1","0","0","0",0,0.333333333333333,0.1,0.0666666666666667,0,0.473684210526316,0,1,0.526315789473684,0,0,0.6,0.25,0,0.32258064516129,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",12,7,5,3,9,2,9,8,"1",7,8,5,3,7,8,1,7,7,2,2,2,2,1,6,"1","0","0","0","0","0","0","0",1,1.33333333333333,1.5,1.46666666666667,2,1,1,0,0.578947368421053,1,0,1.6,0.875,0,1.19354838709677,0.777777777777778,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",15,7,1,2,2,2,4,2,"14",8,8,3,5,10,9,1,9,5,1,1,5,1,1,2,"0","1","0","0","0","0","0","0",1,0.666666666666667,1.2,0.666666666666667,1,0.578947368421053,1,0,0.578947368421053,1,0,1.2,0.75,0,0.731182795698925,0.444444444444444,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"5",12,5,6,3,1,4,1,8,"1",7,9,7,5,8,9,6,7,7,2,2,5,3,0,5,"1","1","0","0","0","0","0","0",1,1,1.3,0.733333333333333,1,1.05263157894737,1,1,1.10526315789474,1,0,1.8,1,0,1.05376344086022,0.777777777777778,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6",4,7,7,3,5,3,4,3,"10",7,5,6,4,7,8,3,9,2,1,1,6,1,1,2,"0","0","0","0","1","0","0","0",1,0.666666666666667,1,0.6,0,0.263157894736842,1,0,0.157894736842105,1,0,0.8,0.125,0,0.462365591397849,0.222222222222222,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,7,8,4,3,7,7,3,"1",10,7,6,6,8,7,1,9,5,1,4,6,1,0,2,"1","1","0","1","1","0","0","0",1,0.666666666666667,1,0.6,0,0.263157894736842,1,0,0.157894736842105,1,0,0.8,0.125,0,0.462365591397849,0.222222222222222,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"8",15,3,4,4,8,3,2,8,"1",6,9,3,6,5,3,5,9,3,1,1,6,1,1,2,"0","1","0","0","0","0","0","0",0,0.333333333333333,0.1,0.0666666666666667,0,0.473684210526316,0,1,0.526315789473684,0,0,0.6,0.25,0,0.32258064516129,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"9",6,9,7,2,2,6,2,5,"10",9,8,4,6,7,7,7,9,1,3,2,6,1,1,2,"1","1","0","1","0","0","0","0",1,1.33333333333333,1.5,1.46666666666667,2,1,1,0,0.578947368421053,1,0,1.6,0.875,0,1.19354838709677,0.777777777777778,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",6,2,5,4,4,3,4,4,"10",9,8,8,7,6,4,3,9,2,1,1,7,4,0,2,"0","0","0","0","1","0","0","0",0,0.666666666666667,0.3,0.8,1,0.421052631578947,0,0,0,0,0,0.4,0.125,0,0.462365591397849,0.333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
