"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"28/09/2012","5.054,8081","5.030,0000","5.061,2002","5.011,5000","-","0,83%"
"27/09/2012","5.013,3032","4.964,6001","5.026,8999","4.947,0000","-","1,29%"
"26/09/2012","4.949,5620","4.990,3999","4.995,8999","4.910,3999","-","-1,03%"
"25/09/2012","5.001,1411","5.007,7998","5.050,6001","4.989,0000","-","0,15%"
"24/09/2012","4.993,6411","5.001,1001","5.015,8999","4.967,0000","-","-0,95%"
"21/09/2012","5.041,3281","5.027,3999","5.059,7998","5.017,8999","-","0,85%"
"20/09/2012","4.998,6528","4.989,1001","5.013,3999","4.942,7998","-","0,25%"
"19/09/2012","4.986,3550","4.989,1001","4.989,1001","4.989,1001","-","-2,00%"
"18/09/2012","5.088,0928","5.157,8999","5.161,7002","5.079,6001","-","-1,26%"
"17/09/2012","5.153,0122","5.263,8999","5.269,2998","5.105,3999","-","-2,24%"
"14/09/2012","5.270,8452","5.242,0000","5.309,0000","5.241,8999","-","1,00%"
"13/09/2012","5.218,8862","5.186,1001","5.234,6001","5.158,0000","-","0,63%"
"12/09/2012","5.186,1841","5.175,8999","5.215,7002","5.160,7998","-","0,25%"
"11/09/2012","5.173,4551","5.138,2998","5.176,6001","5.131,7002","-","0,47%"
"10/09/2012","5.149,2002","5.144,7002","5.166,1001","5.128,2002","-","0,18%"
"07/09/2012","5.140,0791","5.077,7998","5.152,6001","5.071,6001","-","0,73%"
"06/09/2012","5.102,6782","5.100,7998","5.151,0000","5.087,0000","-","0,45%"
"05/09/2012","5.079,8911","5.106,2002","5.109,6001","5.069,1001","-","-0,57%"
"04/09/2012","5.108,9370","5.172,6001","5.182,8999","5.102,2002","-","-0,37%"
"31/08/2012","5.127,7368","5.065,7998","5.136,2002","5.064,2002","-","1,21%"
"30/08/2012","5.066,4229","5.066,1001","5.097,2002","5.049,6001","-","-0,26%"
"29/08/2012","5.079,6411","5.066,1001","5.094,6001","5.053,0000","-","0,03%"
"28/08/2012","5.078,0889","5.060,7998","5.085,7998","5.053,1001","-","0,23%"
"27/08/2012","5.066,3701","5.156,1001","5.159,1001","5.047,0000","-","-0,53%"
"24/08/2012","5.093,2769","5.103,2002","5.138,6001","5.079,1001","-","-0,54%"
"23/08/2012","5.120,7778","5.170,5000","5.183,2002","5.101,2998","-","-0,38%"
