"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"28/09/2012","2.454,26","2.515,48","2.522,79","2.454,26","70,00M","-2,07%"
"27/09/2012","2.506,06","2.510,47","2.518,30","2.497,23","63,02M","0,30%"
"26/09/2012","2.498,52","2.552,58","2.552,58","2.496,38","83,76M","-2,72%"
"25/09/2012","2.568,48","2.555,28","2.573,50","2.544,21","56,76M","0,41%"
"24/09/2012","2.557,89","2.565,66","2.566,19","2.545,77","41,83M","-0,74%"
"21/09/2012","2.577,08","2.560,56","2.580,66","2.552,98","106,81M","0,94%"
"20/09/2012","2.553,03","2.550,80","2.558,09","2.535,77","73,44M","-0,57%"
"19/09/2012","2.567,67","2.562,01","2.572,64","2.546,16","78,32M","0,56%"
"18/09/2012","2.553,40","2.573,38","2.573,38","2.541,74","83,94M","-1,17%"
"17/09/2012","2.583,57","2.585,36","2.589,37","2.577,75","58,32M","-0,42%"
"14/09/2012","2.594,56","2.567,96","2.604,77","2.567,96","92,47M","2,02%"
"13/09/2012","2.543,22","2.563,36","2.565,60","2.532,80","60,52M","-0,84%"
"12/09/2012","2.564,80","2.563,84","2.591,18","2.554,37","84,92M","0,28%"
"11/09/2012","2.557,65","2.524,19","2.557,81","2.509,39","69,70M","1,15%"
"10/09/2012","2.528,53","2.536,18","2.540,66","2.522,72","41,93M","-0,40%"
"07/09/2012","2.538,60","2.530,70","2.565,81","2.530,70","117,95M","0,54%"
"06/09/2012","2.524,95","2.446,73","2.525,26","2.446,71","123,38M","3,40%"
"05/09/2012","2.441,81","2.435,95","2.459,97","2.420,46","65,35M","0,22%"
"04/09/2012","2.436,54","2.465,63","2.467,66","2.435,21","52,39M","-1,08%"
"03/09/2012","2.463,17","2.435,35","2.463,17","2.429,09","40,60M","0,92%"
"31/08/2012","2.440,71","2.402,81","2.446,70","2.398,72","73,96M","1,54%"
"30/08/2012","2.403,80","2.428,93","2.431,81","2.397,60","46,49M","-1,25%"
"29/08/2012","2.434,23","2.441,99","2.444,53","2.423,71","40,39M","-0,32%"
"28/08/2012","2.442,12","2.452,51","2.457,92","2.433,16","41,82M","-0,80%"
"27/08/2012","2.461,82","2.431,34","2.461,82","2.420,41","41,59M","1,13%"
"24/08/2012","2.434,23","2.428,88","2.440,75","2.405,68","52,69M","0,21%"
"23/08/2012","2.429,17","2.466,45","2.477,17","2.413,97","59,50M","-0,96%"
"22/08/2012","2.452,73","2.477,38","2.480,21","2.452,50","61,80M","-1,51%"
"21/08/2012","2.490,27","2.471,73","2.494,06","2.471,73","50,66M","0,97%"
"20/08/2012","2.466,32","2.471,22","2.493,19","2.450,99","61,13M","-0,21%"
"17/08/2012","2.471,53","2.463,34","2.479,66","2.460,82","71,45M","0,61%"
"16/08/2012","2.456,53","2.432,74","2.456,53","2.421,62","60,70M","1,08%"
"15/08/2012","2.430,39","2.425,89","2.438,11","2.414,82","33,52M","-0,08%"
"14/08/2012","2.432,29","2.423,23","2.441,47","2.419,60","37,32M","0,68%"
"13/08/2012","2.415,96","2.419,52","2.438,86","2.404,28","39,36M","-0,30%"
"10/08/2012","2.423,22","2.426,62","2.427,35","2.406,86","40,29M","-0,57%"
"09/08/2012","2.437,04","2.442,24","2.450,07","2.412,47","60,01M","0,20%"
"08/08/2012","2.432,28","2.433,37","2.439,26","2.414,07","58,80M","-0,33%"
"07/08/2012","2.440,24","2.396,27","2.440,73","2.395,13","84,28M","1,71%"
"06/08/2012","2.399,32","2.369,36","2.409,05","2.362,69","82,10M","1,13%"
"03/08/2012","2.372,58","2.268,71","2.372,58","2.261,77","92,29M","4,83%"
"02/08/2012","2.263,36","2.331,47","2.376,85","2.262,81","109,22M","-3,00%"
"01/08/2012","2.333,38","2.326,34","2.342,63","2.322,62","60,51M","0,33%"
"31/07/2012","2.325,72","2.338,81","2.354,75","2.321,23","71,12M","-0,62%"
"30/07/2012","2.340,31","2.307,63","2.346,31","2.307,63","79,81M","1,70%"
"27/07/2012","2.301,23","2.256,82","2.301,23","2.234,02","87,65M","2,23%"
"26/07/2012","2.251,05","2.163,60","2.251,05","2.145,91","104,04M","4,26%"
"25/07/2012","2.159,09","2.147,50","2.181,63","2.142,46","58,81M","0,35%"
"24/07/2012","2.151,54","2.184,06","2.190,04","2.151,54","69,16M","-1,27%"
"23/07/2012","2.179,31","2.220,12","2.220,12","2.163,71","116,92M","-2,59%"
"20/07/2012","2.237,33","2.298,76","2.302,06","2.235,44","115,08M","-2,83%"
"19/07/2012","2.302,45","2.288,96","2.309,82","2.285,42","73,30M","0,78%"
"18/07/2012","2.284,70","2.258,48","2.285,01","2.252,42","72,31M","1,51%"
"17/07/2012","2.250,75","2.255,38","2.271,33","2.242,46","64,59M","-0,05%"
"16/07/2012","2.251,96","2.256,63","2.258,37","2.234,80","51,74M","-0,32%"
"13/07/2012","2.259,09","2.230,65","2.260,19","2.225,54","66,77M","1,39%"
"12/07/2012","2.228,01","2.236,48","2.243,68","2.215,32","66,99M","-0,81%"
"11/07/2012","2.246,23","2.232,95","2.258,56","2.225,55","61,08M","0,20%"
"10/07/2012","2.241,85","2.231,76","2.263,31","2.221,15","64,11M","0,63%"
"09/07/2012","2.227,91","2.233,66","2.242,78","2.214,24","67,73M","-0,34%"
"06/07/2012","2.235,51","2.277,15","2.279,94","2.235,51","83,12M","-2,16%"
"05/07/2012","2.284,92","2.309,73","2.332,08","2.266,59","105,00M","-1,19%"
"04/07/2012","2.312,41","2.315,50","2.317,07","2.297,86","56,16M","-0,35%"
"03/07/2012","2.320,43","2.295,49","2.320,43","2.295,49","75,66M","1,24%"
"02/07/2012","2.292,08","2.266,41","2.305,31","2.260,38","96,59M","1,21%"
"29/06/2012","2.264,72","2.184,95","2.264,72","2.184,95","139,58M","4,96%"
"28/06/2012","2.157,62","2.167,89","2.172,06","2.134,64","75,66M","-0,37%"
"27/06/2012","2.165,61","2.133,91","2.165,61","2.130,76","67,03M","1,77%"
"26/06/2012","2.127,95","2.132,56","2.145,19","2.121,09","77,42M","-0,13%"
"25/06/2012","2.130,71","2.178,33","2.178,33","2.124,98","82,01M","-2,57%"
"22/06/2012","2.186,81","2.189,13","2.207,62","2.174,02","97,56M","-0,57%"
"21/06/2012","2.199,42","2.201,10","2.231,55","2.186,17","101,91M","-0,37%"
"20/06/2012","2.207,49","2.200,49","2.212,62","2.188,75","75,92M","0,43%"
"19/06/2012","2.198,01","2.160,54","2.201,20","2.143,81","83,44M","1,97%"
"18/06/2012","2.155,64","2.198,37","2.209,58","2.147,69","97,96M","-1,17%"
"15/06/2012","2.181,23","2.156,65","2.189,49","2.156,65","201,37M","1,54%"
"14/06/2012","2.148,21","2.138,51","2.150,97","2.120,44","91,21M","0,22%"
"13/06/2012","2.143,50","2.146,98","2.163,20","2.129,58","80,57M","0,01%"
"12/06/2012","2.143,38","2.137,68","2.159,67","2.119,19","114,89M","0,27%"
"11/06/2012","2.137,70","2.163,27","2.202,63","2.135,34","142,22M","-0,29%"
"08/06/2012","2.143,90","2.130,18","2.152,00","2.110,00","107,25M","0,04%"
"07/06/2012","2.143,08","2.143,84","2.171,50","2.139,78","106,29M","0,25%"
"06/06/2012","2.137,73","2.095,63","2.141,47","2.095,63","112,20M","2,42%"
"05/06/2012","2.087,31","2.085,87","2.097,68","2.069,02","73,06M","0,40%"
"04/06/2012","2.078,96","2.059,28","2.096,68","2.051,26","71,66M","0,50%"
"01/06/2012","2.068,66","2.120,90","2.120,90","2.050,16","111,64M","-2,37%"
"31/05/2012","2.118,94","2.120,86","2.136,19","2.097,76","59,19M","0,13%"
"30/05/2012","2.116,18","2.147,30","2.164,30","2.108,61","75,00M","-2,04%"
"29/05/2012","2.160,31","2.156,87","2.173,62","2.138,26","81,18M","0,58%"
"28/05/2012","2.147,92","2.173,92","2.190,22","2.142,96","64,59M","-0,65%"
"25/05/2012","2.161,87","2.159,91","2.181,02","2.138,33","76,68M","0,25%"
"24/05/2012","2.156,52","2.143,02","2.168,28","2.118,02","89,70M","1,05%"
"23/05/2012","2.134,05","2.174,03","2.174,03","2.125,93","93,96M","-2,68%"
"22/05/2012","2.192,85","2.160,28","2.198,99","2.155,19","91,44M","1,99%"
"21/05/2012","2.150,16","2.141,17","2.160,69","2.125,45","73,43M","0,26%"
"18/05/2012","2.144,69","2.136,39","2.168,62","2.112,77","118,15M","-0,10%"
"17/05/2012","2.146,91","2.177,89","2.182,42","2.134,57","89,73M","-1,31%"
"16/05/2012","2.175,34","2.169,12","2.201,09","2.142,78","108,15M","-0,15%"
"15/05/2012","2.178,67","2.209,67","2.227,17","2.166,81","113,89M","-1,06%"
"14/05/2012","2.201,95","2.234,35","2.234,35","2.187,15","95,62M","-2,33%"
"11/05/2012","2.254,54","2.238,46","2.257,05","2.208,85","97,59M","0,32%"
"10/05/2012","2.247,38","2.227,48","2.258,51","2.206,41","121,96M","0,98%"
"09/05/2012","2.225,63","2.240,44","2.248,37","2.194,50","105,94M","-0,47%"
"08/05/2012","2.236,11","2.273,79","2.284,42","2.226,97","89,99M","-2,06%"
"07/05/2012","2.283,09","2.227,20","2.287,25","2.204,73","71,42M","1,55%"
"04/05/2012","2.248,34","2.280,88","2.295,74","2.241,66","85,33M","-1,69%"
"03/05/2012","2.287,10","2.295,71","2.327,08","2.275,40","91,00M","-0,14%"
"02/05/2012","2.290,31","2.323,74","2.344,95","2.276,67","97,42M","-0,71%"
"01/05/2012","2.306,69","2.306,48","2.306,69","2.306,31","-","0,01%"
"30/04/2012","2.306,43","2.345,90","2.350,95","2.305,42","59,11M","-1,60%"
"27/04/2012","2.344,02","2.303,07","2.354,82","2.280,49","86,53M","0,92%"
"26/04/2012","2.322,69","2.329,06","2.341,24","2.294,00","87,83M","-0,01%"
"25/04/2012","2.322,91","2.289,79","2.339,63","2.289,79","92,83M","1,70%"
"24/04/2012","2.284,08","2.251,45","2.288,24","2.244,43","88,18M","1,75%"
"23/04/2012","2.244,83","2.299,16","2.299,16","2.238,45","100,50M","-2,87%"
"20/04/2012","2.311,27","2.283,86","2.317,14","2.271,39","112,97M","1,16%"
"19/04/2012","2.284,67","2.332,54","2.353,37","2.284,67","113,76M","-1,85%"
"18/04/2012","2.327,84","2.364,50","2.366,72","2.320,26","94,50M","-1,66%"
"17/04/2012","2.367,05","2.299,87","2.367,05","2.297,31","91,14M","2,86%"
"16/04/2012","2.301,19","2.287,25","2.329,15","2.280,07","82,76M","0,42%"
"13/04/2012","2.291,51","2.349,21","2.349,48","2.282,23","101,04M","-2,58%"
"12/04/2012","2.352,24","2.344,32","2.358,07","2.315,75","105,22M","0,46%"
"11/04/2012","2.341,36","2.320,36","2.359,02","2.314,49","110,10M","0,85%"
