"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"28/09/2012","92,19","92,35","92,71","91,40","210,20K","0,37%"
"27/09/2012","91,85","90,08","92,39","89,88","237,29K","2,08%"
"26/09/2012","89,98","90,82","91,34","88,95","272,06K","-1,52%"
"25/09/2012","91,37","92,11","93,20","90,57","239,02K","-0,61%"
"24/09/2012","91,93","93,18","93,18","91,06","188,32K","-1,03%"
"21/09/2012","92,89","92,93","93,84","92,59","181,04K","1,11%"
"20/09/2012","91,87","91,77","92,37","90,66","30,14K","-0,12%"
"19/09/2012","91,98","95,49","96,17","91,25","133,04K","-3,47%"
"18/09/2012","95,29","96,71","97,23","95,11","196,21K","-1,38%"
"17/09/2012","96,62","99,15","99,52","94,65","308,27K","-2,40%"
"14/09/2012","99,00","98,04","100,42","97,99","271,79K","0,70%"
"13/09/2012","98,31","96,93","98,58","96,51","291,06K","1,34%"
"12/09/2012","97,01","96,85","98,06","96,31","223,53K","-0,16%"
"11/09/2012","97,17","96,29","97,31","96,08","222,01K","0,65%"
"10/09/2012","96,54","96,24","96,63","95,34","222,00K","0,12%"
"07/09/2012","96,42","94,70","96,74","94,08","293,03K","0,93%"
"06/09/2012","95,53","96,00","97,71","94,59","327,08K","0,18%"
"05/09/2012","95,36","95,61","96,03","94,26","233,04K","0,06%"
"04/09/2012","95,30","96,38","97,37","94,97","256,15K","-1,21%"
"31/08/2012","96,47","94,75","96,92","94,51","249,06K","1,96%"
"30/08/2012","94,62","95,30","95,60","93,95","192,46K","-0,91%"
"29/08/2012","95,49","96,08","96,37","94,76","185,89K","-0,87%"
"28/08/2012","96,33","95,66","96,54","95,14","198,46K","0,90%"
"27/08/2012","95,47","96,67","97,72","94,41","230,84K","-0,71%"
"24/08/2012","96,15","96,06","97,17","95,41","204,23K","-0,12%"
"23/08/2012","96,27","97,30","98,29","95,75","225,16K","-1,02%"
"22/08/2012","97,26","96,94","97,54","96,26","217,44K","0,60%"
"21/08/2012","96,68","95,97","97,60","95,81","33,07K","0,74%"
"20/08/2012","95,97","96,36","96,53","95,02","113,31K","-0,04%"
"17/08/2012","96,01","95,23","96,28","94,98","162,59K","0,43%"
"16/08/2012","95,60","94,21","95,75","93,93","212,63K","1,35%"
"15/08/2012","94,33","93,25","94,90","92,68","281,64K","0,96%"
"14/08/2012","93,43","92,71","93,92","92,56","200,41K","0,75%"
"13/08/2012","92,73","93,25","94,14","92,05","280,27K","-0,15%"
"10/08/2012","92,87","93,46","93,87","91,71","224,51K","-0,52%"
"09/08/2012","93,36","93,43","94,21","93,07","258,64K","0,01%"
"08/08/2012","93,35","93,41","94,72","92,82","269,93K","-0,34%"
"07/08/2012","93,67","92,05","94,42","91,78","260,01K","1,59%"
"06/08/2012","92,20","91,34","92,33","90,63","194,37K","0,88%"
"03/08/2012","91,40","87,26","91,74","87,23","301,78K","4,90%"
"02/08/2012","87,13","88,87","89,63","86,92","302,70K","-2,00%"
"01/08/2012","88,91","88,03","89,47","87,51","281,20K","0,97%"
"31/07/2012","88,06","89,67","90,30","87,31","282,85K","-1,92%"
"30/07/2012","89,78","90,14","90,95","89,33","191,10K","-0,39%"
"27/07/2012","90,13","89,43","90,45","89,13","210,41K","0,83%"
"26/07/2012","89,39","89,10","90,47","88,07","233,40K","0,47%"
"25/07/2012","88,97","88,20","89,36","86,84","289,55K","0,53%"
"24/07/2012","88,50","88,05","89,09","87,43","309,87K","0,41%"
"23/07/2012","88,14","91,61","91,64","87,91","290,36K","-3,61%"
"20/07/2012","91,44","92,22","92,30","90,66","22,10K","-1,32%"
"19/07/2012","92,66","90,08","92,94","89,86","102,93K","3,10%"
"18/07/2012","89,87","89,13","90,04","88,59","192,85K","0,73%"
"17/07/2012","89,22","88,26","89,46","87,41","262,79K","0,89%"
"16/07/2012","88,43","87,13","88,48","86,41","223,12K","1,53%"
"13/07/2012","87,10","85,86","87,61","85,58","260,83K","1,18%"
"12/07/2012","86,08","86,20","86,37","84,21","240,73K","0,31%"
"11/07/2012","85,81","84,01","86,49","84,01","307,82K","2,26%"
"10/07/2012","83,91","85,84","85,95","83,65","291,41K","-2,42%"
"09/07/2012","85,99","84,20","86,48","84,00","256,90K","1,82%"
"06/07/2012","84,45","86,73","87,13","84,02","296,20K","-3,18%"
"05/07/2012","87,22","87,75","88,98","86,50","368,62K","-0,50%"
"03/07/2012","87,66","83,67","88,04","83,33","336,19K","4,67%"
"02/07/2012","83,75","84,65","85,05","82,10","299,10K","-1,42%"
"29/06/2012","84,96","78,46","85,34","78,28","439,01K","9,36%"
"28/06/2012","77,69","80,48","80,84","77,28","310,15K","-3,14%"
"27/06/2012","80,21","79,47","80,92","78,68","253,01K","1,07%"
"26/06/2012","79,36","79,23","79,68","78,36","253,30K","0,19%"
"25/06/2012","79,21","80,20","80,68","78,03","249,00K","-0,69%"
"22/06/2012","79,76","78,11","80,37","77,56","293,22K","1,99%"
"21/06/2012","78,20","81,08","81,20","77,93","376,97K","-4,40%"
"20/06/2012","81,80","84,04","84,34","80,91","37,37K","-2,65%"
"19/06/2012","84,03","83,06","84,41","82,28","109,01K","0,91%"
"18/06/2012","83,27","85,09","85,60","82,04","216,96K","-0,90%"
"15/06/2012","84,03","84,33","84,80","83,42","216,55K","0,14%"
"14/06/2012","83,91","82,44","84,42","82,27","278,94K","1,56%"
"13/06/2012","82,62","83,51","84,01","82,15","327,54K","-0,84%"
"12/06/2012","83,32","81,18","83,72","81,07","320,80K","0,75%"
"11/06/2012","82,70","85,72","86,64","81,11","343,21K","-1,66%"
"08/06/2012","84,10","83,63","84,67","82,00","304,64K","-0,85%"
"07/06/2012","84,82","85,50","87,03","83,43","339,00K","-0,24%"
"06/06/2012","85,02","84,12","86,27","84,03","313,10K","0,87%"
"05/06/2012","84,29","84,14","84,92","83,31","246,36K","0,37%"
"04/06/2012","83,98","82,96","84,38","81,21","309,78K","0,90%"
"01/06/2012","83,23","86,44","86,59","82,29","407,58K","-3,81%"
"31/05/2012","86,53","87,55","88,28","85,86","345,43K","-1,47%"
"30/05/2012","87,82","90,86","90,92","87,27","297,20K","-3,24%"
"29/05/2012","90,76","91,00","92,21","90,25","262,56K","-0,11%"
"25/05/2012","90,86","90,79","91,32","90,20","153,92K","0,22%"
"24/05/2012","90,66","90,53","91,52","89,81","231,52K","0,85%"
"23/05/2012","89,90","91,54","91,72","89,28","275,52K","-1,92%"
"22/05/2012","91,66","92,64","93,01","91,39","27,36K","-0,98%"
"21/05/2012","92,57","91,27","93,06","90,84","107,24K","1,19%"
