"","WTI","SPGSCI","SP500"
"188",102.96,5049.1631,127.5
"187",103.22,5076.4321,127.7
"186",101.81,5009.541,128.04
"185",101.56,5013.9658,127.71
"184",101.31,5016.689,128.02
"183",102.24,5059.2461,129.13
"182",100.87,5019.8389,129.2
"181",99.1,4956.3711,129.51
"180",98.7,4925.1289,128.84
"179",100.71,4985.79,129.34
"178",100.59,4968.7871,130.77
"177",100.39,4987.375,131.46
"176",98.46,4928.7388,131.95
"175",99.58,4980.4678,131.61
"174",98.95,4980.375,131.46
"173",99.4,5000.5718,132.56
"172",99.7,5026.375,131.88
"171",99.56,5039.332,131.82
"170",98.78,4998.3638,131.37
"169",98.48,4994.3071,131.32
"168",97.61,4994.9712,132.47
"167",96.36,4971.8711,132.68
"166",97.84,5037.7798,134.54
"165",96.91,5053.7002,134.45
"164",98.41,5082.8628,134.79
"163",98.71,5094.1362,135.19
"162",99.84,5130.8501,135.36
"161",98.67,5074.0308,134.36
"160",100.91,5120.7632,135.36
"159",100.74,5109.4839,135.19
"158",101.8,5141.4258,134.56
"157",102.31,5168.2241,136.05
"156",103.24,5183.604,136.41
"155",105.84,5270.1191,136.47
"154",106.28,5294.0991,136.03
"153",107.83,5329.019,136.63
"152",109.77,5387.6182,136.93
"151",108.56,5358.29,137.16
"150",106.55,5296.8452,137.56
"149",107.07,5297.1348,137.02
"148",108.84,5370.0928,137.73
"147",106.7,5303.71,137.31
"146",106.72,5296.7168,136.75
"145",104.7,5215.2598,134.75
"144",106.16,5250.0459,135.69
"143",106.58,5288.2471,137.04
"142",107.4,5317.0562,137.57
"141",106.34,5292.147,137.58
"140",106.71,5324.2588,140.06
"139",105.43,5279.9141,139.91
"138",105.11,5263.606,140.72
"137",107.06,5335.1221,140.3
"136",108.09,5349.7358,140.85
"135",105.61,5268.7852,140.44
"134",107.27,5279.8809,140.21
"133",105.35,5224.0322,139.2
"132",106.87,5282.3618,139.65
"131",107.03,5297.1348,141.61
"130",107.33,5289.2109,141.17
"129",105.41,5224.416,140.47
"128",102.78,5135.1128,140.23
"127",103.02,5172.6392,140.81
"126",105.23,5260.4639,141.84
"125",104.01,5239.1309,141.26
"124",101.47,5133.5601,139.86
"123",103.31,5175.9302,139.79
"122",102.46,5143.6289,138.22
"121",101.02,5065.23,135.9
"120",102.7,5104.3628,137
"119",103.64,5164.1338,138.79
"118",102.83,5125.5532,137.14
"117",102.93,5076.1338,137.05
"116",104.2,5100.0669,139.08
"115",102.67,5046.0649,138.61
"114",102.27,5053.9521,137.72
"113",103.05,5082.0928,137.95
"112",103.11,5067.5659,136.79
"111",103.55,5070.4878,137.31
"110",104.12,5091.1309,139.19
"109",104.55,5125.021,140.16
"108",104.93,5142.8281,140.39
"107",104.87,5146.0889,139.87
"106",106.16,5166.5981,140.74
"105",105.22,5099.333,140.32
"104",102.54,5029.52,139.25
"103",98.49,4911.0869,137
"102",97.94,4900.332,137.1
"101",97.01,4872.0732,136.55
"100",96.81,4869.543,135.74
"99",97.08,4863.4121,136.02
"98",96.13,4826.3579,135.61
"97",94.78,4775.2002,134.11
"96",93.98,4777.7358,133.34
"95",92.81,4757.4458,132.83
"94",92.56,4736.584,130.86
"93",91.48,4728.1738,129.74
"92",92.57,4759.6079,131.97
"91",91.66,4718.6729,132.2
"90",89.9,4629.0332,132.27
"89",90.66,4647.7051,132.53
"88",90.86,4660.7222,132.1
"87",90.76,4639.416,133.7
"86",87.82,4531.3848,131.76
"85",86.53,4478.23,131.47
"84",83.23,4363.9502,128.16
"83",83.98,4389.542,128.1
"82",84.29,4395.7402,129.07
"81",85.02,4454.6401,131.97
"80",84.82,4451.5898,132.05
"79",84.1,4427.4282,133.1
"78",82.7,4389.77,131.41
"77",83.32,4385.1528,132.92
"76",82.62,4361.1621,132.07
"75",83.91,4398.9922,133.47
"74",84.03,4404.6548,134.14
"73",83.27,4395.8799,134.4
"72",84.03,4432.625,135.7
"71",81.8,4349.3018,135.48
"70",78.2,4226.1792,132.44
"69",79.76,4261.832,133.46
"68",79.21,4291.2358,131.32
"67",79.36,4329.375,131.98
"66",80.21,4362.3188,133.17
"65",77.69,4290.3018,132.79
"64",84.96,4532.0298,136.1
"63",83.75,4516.583,136.51
"62",87.66,4672.3662,137.41
"61",87.22,4688.6328,136.79
"60",84.45,4575.2822,135.49
"59",85.99,4659.1582,135.32
"58",83.91,4585.5229,134.14
"57",85.81,4637.7271,134.16
"56",86.08,4659.418,133.51
"55",87.1,4709.7349,135.75
"54",88.43,4781.3472,135.43
"53",89.22,4795.667,136.36
"52",89.87,4850.5259,137.37
"51",92.66,4964.1079,137.73
"50",91.44,4942.4048,136.47
"49",88.14,4802.916,135.09
"48",88.5,4777.9839,133.93
"47",88.97,4806.4092,133.96
"46",89.39,4817.833,136.17
"45",90.13,4865.937,138.68
"44",89.78,4887.4331,138.68
"43",88.06,4820.8789,137.71
"42",88.91,4834.4438,137.59
"41",87.13,4779.2739,136.64
"40",91.4,4910.5908,139.35
"39",92.2,4931.0439,139.62
"38",93.67,4988.0781,140.32
"37",93.35,4999.353,140.49
"36",93.36,5023.4268,140.61
"35",92.87,4983.708,140.84
"34",92.73,4964.7241,140.77
"33",93.43,4979.3491,140.79
"32",94.33,5029.542,140.95
"31",95.6,5070.8481,141.99
"30",96.01,5070.728,142.18
"29",95.97,5083.791,142.19
"28",96.68,5131.4961,141.76
"27",97.26,5140.209,141.82
"26",96.27,5120.7778,140.66
"25",96.15,5093.2769,141.51
"24",95.47,5066.3701,141.54
"23",96.33,5078.0889,141.4
"22",95.49,5079.6411,141.51
"21",94.62,5066.4229,140.49
"20",96.47,5127.7368,141.16
"19",95.3,5108.937,141.03
"18",95.36,5079.8911,140.91
"17",95.53,5102.6782,143.77
"16",96.42,5140.0791,144.33
"15",96.54,5149.2002,143.51
"14",97.17,5173.4551,143.91
"13",97.01,5186.1841,144.39
"12",98.31,5218.8862,146.59
"11",99,5270.8452,147.24
"10",96.62,5153.0122,146.74
"9",95.29,5088.0928,146.62
"8",91.98,4986.355,146.7
"7",91.87,4998.6528,146.71
"6",92.89,5041.3281,145.87
"5",91.93,4993.6411,145.65
"4",91.37,5001.1411,144.1
"3",89.98,4949.562,143.29
"2",91.85,5013.3032,144.64
"1",92.19,5054.8081,143.97
