"Libellé";"Nuitées dans l'hôtellerie - Total - Auvergne-Rhône-Alpes";"Codes"
"idBank";"010598653";""
"Période";"";""
"2019-12";"1856";"A"
"2019-11";"1407";"A"
"2019-10";"1656";"A"
"2019-09";"1934";"A"
"2019-08";"2635";"A"
"2019-07";"2529";"A"
"2019-06";"2080";"A"
"2019-05";"1682";"A"
"2019-04";"1830";"A"
"2019-03";"2392";"A"
"2019-02";"2226";"A"
"2019-01";"1922";"A"
"2018-12";"1744";"A"
"2018-11";"1341";"A"
"2018-10";"1632";"A"
"2018-09";"1950";"A"
"2018-08";"2609";"A"
"2018-07";"2454";"A"
"2018-06";"1985";"A"
"2018-05";"1725";"A"
"2018-04";"1738";"A"
"2018-03";"2436";"A"
"2018-02";"2213";"A"
"2018-01";"1817";"A"
"2017-12";"1716";"A"
"2017-11";"1310";"A"
"2017-10";"1600";"A"
"2017-09";"1909";"A"
"2017-08";"2588";"A"
"2017-07";"2534";"A"
"2017-06";"1980";"A"
"2017-05";"1643";"A"
"2017-04";"1777";"A"
"2017-03";"2183";"A"
"2017-02";"2301";"A"
"2017-01";"1897";"A"
"2016-12";"1688";"A"
"2016-11";"1239";"A"
"2016-10";"1612";"A"
"2016-09";"1841";"A"
"2016-08";"2540";"A"
"2016-07";"2514";"A"
"2016-06";"1997";"A"
"2016-05";"1727";"A"
"2016-04";"1686";"A"
"2016-03";"2409";"A"
"2016-02";"2380";"A"
"2016-01";"1867";"A"
"2015-12";"1633";"A"
"2015-11";"1150";"A"
"2015-10";"1508";"A"
"2015-09";"1819";"A"
"2015-08";"2506";"A"
"2015-07";"2377";"A"
"2015-06";"1889";"A"
"2015-05";"1637";"A"
"2015-04";"1640";"A"
"2015-03";"2168";"A"
"2015-02";"2241";"A"
"2015-01";"1848";"A"
"2014-12";"1732";"A"
"2014-11";"1166";"A"
"2014-10";"1540";"A"
"2014-09";"1775";"A"
"2014-08";"2506";"A"
"2014-07";"2206";"A"
"2014-06";"1849";"A"
"2014-05";"1533";"A"
"2014-04";"1596";"A"
"2014-03";"2165";"A"
"2014-02";"2056";"A"
"2014-01";"1728";"A"
"2013-12";"1670";"A"
"2013-11";"1222";"A"
"2013-10";"1489";"A"
"2013-09";"1792";"A"
"2013-08";"2487";"A"
"2013-07";"2430";"A"
"2013-06";"1925";"A"
"2013-05";"1628";"A"
"2013-04";"1583";"A"
"2013-03";"2404";"A"
"2013-02";"2082";"A"
"2013-01";"1850";"A"
"2012-12";"1708";"A"
"2012-11";"1272";"A"
"2012-10";"1461";"A"
"2012-09";"1793";"A"
"2012-08";"2419";"A"
"2012-07";"2314";"A"
"2012-06";"1865";"A"
"2012-05";"1539";"A"
"2012-04";"1615";"A"
"2012-03";"2206";"A"
"2012-02";"2183";"A"
"2012-01";"1850";"A"
"2011-12";"1607";"A"
"2011-11";"1162";"A"
"2011-10";"1475";"A"
"2011-09";"1799";"A"
"2011-08";"2432";"A"
"2011-07";"2405";"A"
"2011-06";"1910";"A"
"2011-05";"1507";"A"
"2011-04";"1682";"A"
"2011-03";"2149";"A"
"2011-02";"2052";"A"
"2011-01";"1792";"A"
